"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"	""
"120"	"火"	"火"	"hue阴上"	""	""	""	""
"121"	"夥"	"伙"	"hue阴上"	""	""	""	""
"122"	"貨"	"货"	"hue去声"	""	""	""	""
"123"	"禾"	"禾"	"hua阳平"	"白"	""	""	""
"124"	"禾"	"禾"	"ho阳平"	"文"	""	""	""
"125"	"和"	"和"	"hua阳平"	"文"	""	""	""
"126"	"和"	"和"	"hue阳平"	"白"	""	""	""
"127"	"禍"	"祸"	"hua阳上"	""	""	""	""
"128"	"倭"	"倭"	"o阴平"	""	""	""	""
"129"	"窩"	"窝"	"o阴平"	""	""	""	""
"130"	"涴"	"涴"	"u去声"	""	""	""	""
"131"	"瘸"	"瘸"	"kʰue阳平"	""	""	""	""
"132"	"靴"	"靴"	"hia阴平"	""	""	""	""
"133"	"巴"	"巴"	"pa阴平"	""	""	""	""
"134"	"疤"	"疤"	"pa阴平"	""	""	""	""
"135"	"芭"	"芭"	"pa阴平"	""	""	""	""
"136"	"把"	"把"	"pa阴平"	"文"	""	""	""
"137"	"把"	"把"	"pe阴平"	"白"	""	""	""
"138"	"爸"	"爸"	"pa阴平"	"俗"	""	""	""
"139"	"爸"	"爸"	"pe阳上"	"白"	""	""	""
"140"	"欛"	"欛"	"pa去声"	""	""	""	""
"141"	"壩"	"坝"	"pa去声"	""	""	""	""
"142"	"垻"	"坝"	"pa去声"	""	""	""	""
"143"	"霸"	"霸"	"pa去声"	""	""	""	""
"144"	"怕"	"怕"	"pʰã去声"	""	""	""	""
"145"	"琶"	"琶"	"pe阳平"	"白"	""	""	""
"146"	"琶"	"琶"	"pʰa阳平"	"文"	""	""	""
"147"	"爬"	"爬"	"pe阳平"	"白"	""	""	""
"148"	"爬"	"爬"	"ba阳平"	"白"	""	""	""
"149"	"爬"	"爬"	"peʔ阴入"	"替"	""	""	""
"150"	"麻"	"麻"	"mua阳平"	"白"	""	""	""
"151"	"麻"	"麻"	"ba阳平"	"文"	""	""	""
"152"	"麻"	"麻"	"ma阳平"	"文"	""	""	""
"153"	"蟆"	"蟆"	"ma阳平"	""	""	""	""
"154"	"媽"	"妈"	"ma阴上"	"祖母"	""	""	""
"155"	"媽"	"妈"	"ma阴平"	"母亲"	""	""	""
"156"	"媽"	"妈"	"ma阳平"	"母亲"	""	""	""
"157"	"馬"	"马"	"be阴上"	"白"	""	""	""
"158"	"馬"	"马"	"ma阴上"	"文"	""	""	""
"159"	"碼"	"码"	"be阴上"	"白"	""	""	""
"160"	"碼"	"码"	"ma阴上"	"文"	""	""	""
"161"	"碼"	"码"	"bue阴上"	"又"	""	""	""
"162"	"罵"	"骂"	"me去声"	""	""	""	""
"163"	"拿"	"拿"	"na阴上"	""	""	""	""
"164"	"詫"	"诧"	"tʰe去声"	""	""	""	""
"165"	"茶"	"茶"	"te阳平"	""	""	""	""
"166"	"搽"	"搽"	"te阳平"	"白"	""	""	""
"167"	"搽"	"搽"	"tsʰa阳平"	"文"	""	""	""
"168"	"查"	"查"	"tsʰe阳平"	""	""	""	""
"169"	"查"	"查"	"tsa阴平"	"姓氏音"	""	""	""
"170"	"渣"	"渣"	"tsa阴平"	""	""	""	""
"171"	"詐"	"诈"	"tsa去声"	""	""	""	""
"172"	"榨"	"榨"	"tsa去声"	""	""	""	""
"173"	"炸"	"炸"	"tsa去声"	""	""	""	""
"174"	"叉"	"叉"	"tsʰe阴平"	"白"	""	""	""
"175"	"叉"	"叉"	"tsʰa阴平"	"文"	""	""	""
"176"	"杈"	"杈"	"tsʰe阴平"	""	""	""	""
"177"	"差"	"差"	"tsʰe阴平"	"白"	""	""	""
"178"	"差"	"差"	"tsʰa阴平"	"文"	""	""	""
"179"	"差"	"差"	"tsʰi阴平"	"文"	""	""	""
"180"	"差"	"差"	"tsʰai阴平"	"文"	""	""	""
"181"	"岔"	"岔"	"tsʰe阴平"	"白"	""	""	""
"182"	"岔"	"岔"	"tsʰa阴平"	"文"	""	""	""
"183"	"汊"	"汊"	"tsʰa去声"	""	""	""	""
"184"	"乍"	"乍"	"tsa去声"	""	""	""	""
"185"	"沙"	"沙"	"sua阴平"	"白"	""	""	""
"186"	"沙"	"沙"	"sa阴平"	"文"	""	""	""
"187"	"紗"	"纱"	"se阴平"	"白"	""	""	""
"188"	"紗"	"纱"	"sa阴平"	"文"	""	""	""
"189"	"灑"	"洒"	"sa去声"	""	""	""	""
"190"	"灑"	"洒"	"sai去声"	""	""	""	""
"191"	"嘉"	"嘉"	"kia阴平"	""	""	""	""
"192"	"家"	"家"	"ke阴平"	"白"	""	""	""
"193"	"家"	"家"	"ka阴平"	"家己"	""	""	""
