"繁體"	"简体"	"拼音"	"音標"	"註釋"	"聲"	"韻"	"調"
"苛"	"苛"	"khu1"	"kʰʋ˦˦"		"kʰ"	"ʋ"	"˦˦"
"荷"	"荷"	"vu2"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"賀"	"贺"	"vu6"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"阿"	"阿"	"a1"	"ʔa˦˦"	"張嘴"	"ʔ"	"a"	"˦˦"
"阿"	"阿"	"a3"	"ʔa˧˥"	"疑問"	"ʔ"	"a"	"˧˥"
"阿"	"阿"	"a5"	"ʔa˥˨"	"驚訝"	"ʔ"	"a"	"˥˨"
"阿"	"阿"	"a7"	"ʔa˧˨˨"	"阿綴名詞"	"ʔ"	"a"	"˧˨˨"
"□"	"□"	"a7"	"ʔa˧˨˨"	"也"	"ʔ"	"a"	"˧˨˨"
"阿"	"阿"	"ao1"	"ʔɔ˦˦"	"阿彌陀佛"	"ʔ"	"ɔ"	"˦˦"
"阿"	"阿"	"o5"	"ʔo˥˨"		"ʔ"	"o"	"˥˨"
"阿"	"阿"	"u1"	"ʔʋ˦˦"	"阿膠"	"ʔʋ"	"Ø"	"˦˦"
"茄"	"茄"	"ji2"	"dʑi˧˩"	"綠茄"	"dʑ"	"i"	"˧˩"
"茄"	"茄"	"ga2"	"ga˧˩"	"番茄"	"g"	"a"	"˧˩"
"波"	"波"	"pu1"	"pʋ˦˦"		"p"	"ʋ"	"˦˦"
"波"	"波"	"peu1"	"pʉ˦˦"		"p"	"ʉ"	"˦˦"
"跛"	"跛"	"pu3"	"pʋ˧˥"		"p"	"ʋ"	"˧˥"
"簸"	"簸"	"pu5"	"pʋ˥˨"		"p"	"ʋ"	"˥˨"
"播"	"播"	"pu1"	"pʋ˦˦"		"p"	"ʋ"	"˦˦"
"簸"	"簸"	"pu3"	"pʋ˧˥"		"p"	"ʋ"	"˧˥"
"頗"	"颇"	"phu1"	"pʰʋ˦˦"		"pʰ"	"ʋ"	"˦˦"
"坡"	"坡"	"phu1"	"pʰʋ˦˦"		"pʰ"	"ʋ"	"˦˦"
"玻"	"玻"	"bu2"	"bʋ˧˩"		"b"	"ʋ"	"˧˩"
"頗"	"颇"	"phu3"	"pʰʋ˧˥"		"pʰ"	"ʋ"	"˧˥"
"婆"	"婆"	"beu2"	"bʉ˧˩"		"b"	"ʉ"	"˧˩"
"魔"	"魔"	"mu2"	"mʋ˧˩"		"m"	"ʋ"	"˧˩"
"磨"	"磨"	"mu2"	"mʋ˧˩"		"m"	"ʋ"	"˧˩"
"摩"	"摩"	"mu2"	"mʋ˧˩"		"m"	"ʋ"	"˧˩"
"磨"	"磨"	"mu6"	"mʋ˨˨"		"m"	"ʋ"	"˨˨"
"朵"	"朵"	"to1"	"to˦˦"		"t"	"o"	"˦˦"
"朵"	"朵"	"to3"	"to˧˥"		"t"	"o"	"˧˥"
"躲"	"躲"	"tou3"	"tɤu˧˥"		"t"	"ɤu"	"˧˥"
"挆"	"挆"	"to5"	"to˥˨"	"東西拿著"	"t"	"o"	"˥˨"
"剁"	"剁"	"tou5"	"tɤu˥˨"	"剁，剁碎"	"t"	"ɤu"	"˥˨"
"妥"	"妥"	"thou3"	"tʰɤu˧˥"		"tʰ"	"ɤu"	"˧˥"
"唾"	"唾"	"thou5"	"tʰɤu˥˨"		"tʰ"	"ɤu"	"˥˨"
"惰"	"惰"	"dou4"	"dɤu˩˧"		"d"	"ɤu"	"˩˧"
"墮"	"堕"	"dou4"	"dɤu˩˧"		"d"	"ɤu"	"˩˧"
"囉"	"囉"	"lou2"	"lɤu˧˩"		"l"	"ɤu"	"˧˩"
"糯"	"糯"	"non5"	"noŋ˥˨"	"糯米"	"n"	"oŋ"	"˥˨"
"騾"	"骡"	"lou2"	"lɤu˧˩"		"l"	"ɤu"	"˧˩"
"螺"	"螺"	"lou2"	"lɤu˧˩"		"l"	"ɤu"	"˧˩"
"腡"	"脶"	"lou2"	"lɤu˧˩"		"l"	"ɤu"	"˧˩"
"摞"	"摞"	"lou6"	"lɤu˨˨"		"l"	"ɤu"	"˨˨"
"銼"	"锉"	"zo6"	"zo˨˨"		"z"	"o"	"˨˨"
"銼"	"锉"	"tsho5"	"tsʰo˥˨"		"tsʰ"	"o"	"˥˨"
"矬"	"矬"	"zo2"	"zo˧˩"		"z"	"o"	"˧˩"
"矬"	"矬"	"zo6"	"zo˨˨"		"z"	"o"	"˨˨"
"坐"	"坐"	"zo4"	"zo˩˧"		"z"	"o"	"˩˧"
"座"	"座"	"zo6"	"zo˨˨"		"z"	"o"	"˨˨"
"蓑"	"蓑"	"sou1"	"sɤu˦˦"		"s"	"ɤu"	"˦˦"
"梭"	"梭"	"sou1"	"sɤu˦˦"		"s"	"ɤu"	"˦˦"
"唆"	"唆"	"sou1"	"sɤu˦˦"		"s"	"ɤu"	"˦˦"
"鎖"	"锁"	"sou3"	"sɤu˧˥"		"s"	"ɤu"	"˧˥"
"瑣"	"琐"	"sai5"	"sai˥˨"	"小個的"	"s"	"ai"	"˥˨"
"鍋"	"锅"	"ku1"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"過"	"过"	"ku5"	"kʋ˥˨"		"k"	"ʋ"	"˥˨"
"戈"	"戈"	"ku1"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"果"	"果"	"ku3"	"kʋ˧˥"		"k"	"ʋ"	"˧˥"
"裹"	"裹"	"ku3"	"kʋ˧˥"		"k"	"ʋ"	"˧˥"
"科"	"科"	"khu1"	"kʰʋ˦˦"		"kʰ"	"ʋ"	"˦˦"
"棵"	"棵"	"khu1"	"kʰʋ˦˦"		"kʰ"	"ʋ"	"˦˦"
"窠"	"窠"	"khu1"	"kʰʋ˦˦"		"kʰ"	"ʋ"	"˦˦"
"顆"	"颗"	"khu1"	"kʰʋ˦˦"		"kʰ"	"ʋ"	"˦˦"
"課"	"课"	"khu5"	"kʰʋ˥˨"		"kʰ"	"ʋ"	"˥˨"
"訛"	"讹"	"ng2"	"ŋ˧˩"		"Ø"	"ŋ"	"˧˩"
"臥"	"卧"	"ng6"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"火"	"火"	"fu3"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"夥"	"伙"	"vu4"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"貨"	"货"	"fu5"	"fʋ˥˨"		"f"	"ʋ"	"˥˨"
"禾"	"禾"	"vu2"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"和"	"和"	"vu2"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"禍"	"祸"	"vu4"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"和"	"和"	"vu6"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"倭"	"倭"	"u1"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"窩"	"窝"	"u1"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"涴"	"涴"	"u5"	"ʔʋ˥˨"	"屎，涴臀：屁股"	"ʔʋ"	"Ø"	"˥˨"
"瘸"	"瘸"	"jiou2"	"dʑiɤu˧˩"		"dʑ"	"iɤu"	"˧˩"
"靴"	"靴"	"shiou1"	"ɕiɤu˦˦"		"ɕ"	"iɤu"	"˦˦"
"巴"	"巴"	"po1"	"po˦˦"		"p"		"˦˦"
"疤"	"疤"	"po1"	"po˦˦"		"p"		"˦˦"
"芭"	"芭"	"po1"	"po˦˦"		"p"		"˦˦"
"把"	"把"	"po3"	"po˧˥"		"p"	"o"	"˧˥"
"爸"	"爸"	"pa1"	"pa˦˦"		"p"	"a"	"˦˦"
"欛"	"欛"	"pa5"	"pa˥˨"		"p"	"a"	"˥˨"
"壩"	"坝"	"pa5"	"pa˥˨"		"p"	"a"	"˥˨"
"垻"	"垻"	"pa5"	"pa˥˨"		"p"	"a"	"˥˨"
"霸"	"霸"	"pa5"	"pa˥˨"		"p"	"a"	"˥˨"
"怕"	"怕"	"pho5"	"pʰo˥˨"		"pʰ"	"o"	"˥˨"
"琶"	"琶"	"bo2"	"bo˧˩"		"b"	"o"	"˧˩"
"爬"	"爬"	"bo2"	"bo˧˩"		"b"	"o"	"˧˩"
"麻"	"麻"	"mo2"	"mo˧˩"		"m"	"o"	"˧˩"
"蟆"	"蟆"	"mo2"	"mo˧˩"		"m"	"o"	"˧˩"
"媽"	"妈"	"ma1"	"ʔma˦˦"	"媽媽"	"ʔm"	"a"	"˦˦"
"媽"	"妈"	"ma3"	"ma˧˥"	"媽媽"	"m"	"a"	"˧˥"
"馬"	"马"	"mo2"	"mo˧˩"		"m"	"o"	"˧˩"
"碼"	"码"	"mo2"	"mo˧˩"		"m"	"o"	"˧˩"
"罵"	"骂"	"mo2"	"mo˧˩"		"m"	"o"	"˧˩"
"拿"	"拿"	"nao2"	"nɔ˧˩"		"n"	"ɔ"	"˧˩"
"詫"	"诧"	"tsho5"	"tsʰo˥˨"		"tsʰ"	"o"	"˥˨"
"茶"	"茶"	"dzo2"	"dzo˧˩"		"dz"	"o"	"˧˩"
"搽"	"搽"	"dzo2"	"dzo˧˩"	"搽掃：掃帚"	"dz"	"o"	"˧˩"
"查"	"查"	"tso1"	"tso˦˦"		"ts"	"o"	"˦˦"
"渣"	"渣"	"tso1"	"tso˦˦"		"ts"	"o"	"˦˦"
"□"	"□"	"tso3"	"tso˧˥"	"東西拿著"	"ts"	"o"	"˧˥"
"詐"	"诈"	"tso5"	"tso˥˨"		"ts"	"o"	"˥˨"
"榨"	"榨"	"tso5"	"tso˥˨"		"ts"	"o"	"˥˨"
"炸"	"炸"	"tso5"	"tso˥˨"		"ts"	"o"	"˥˨"
"叉"	"叉"	"tsho1"	"tsʰo˦˦"		"tsʰ"	"o"	"˦˦"
"杈"	"杈"	"tsho1"	"tsʰo˦˦"		"tsʰ"	"o"	"˦˦"
"差"	"差"	"tsho1"	"tsʰo˦˦"		"tsʰ"	"o"	"˦˦"
"差"	"差"	"tsha1"	"tsʰa˦˦"		"tsʰ"	"a"	"˦˦"
"岔"	"岔"	"tsho5"	"tsʰo˥˨"		"tsʰ"	"o"	"˥˨"
"汊"	"汊"	"tsho5"	"tsʰo˥˨"		"tsʰ"	"o"	"˥˨"
"查"	"查"	"dzo2"	"dzo˧˩"		"dz"	"o"	"˧˩"
"乍"	"乍"	"dzo2"	"dzo˧˩"		"dz"	"o"	"˧˩"
"沙"	"沙"	"so1"	"so˦˦"		"s"	"o"	"˦˦"
"紗"	"纱"	"so1"	"so˦˦"		"s"	"o"	"˦˦"
"灑"	"洒"	"so5"	"so˥˨"		"s"	"o"	"˥˨"
"灑"	"洒"	"sa3"	"sa˧˥"		"s"	"a"	"˧˥"
"嘉"	"嘉"	"ko1"	"ko˦˦"		"k"	"o"	"˦˦"
"家"	"家"	"ko1"	"ko˦˦"		"k"	"o"	"˦˦"
"傢"	"家"	"ko1"	"ko˦˦"		"k"	"o"	"˦˦"
"加"	"加"	"ko1"	"ko˦˦"		"k"	"o"	"˦˦"
"假"	"假"	"ko3"	"ko˧˥"		"k"	"o"	"˧˥"
"賈"	"贾"	"ko3"	"ko˧˥"		"k"	"o"	"˧˥"
"稼"	"稼"	"ko5"	"ko˥˨"		"k"	"o"	"˥˨"
"假"	"假"	"ko5"	"ko˥˨"		"k"	"o"	"˥˨"
"價"	"价"	"ko5"	"ko˥˨"		"k"	"o"	"˥˨"
"架"	"架"	"ko5"	"ko˥˨"		"k"	"o"	"˥˨"
"駕"	"驾"	"ko5"	"ko˥˨"		"k"	"o"	"˥˨"
"嫁"	"嫁"	"ko5"	"ko˥˨"		"k"	"o"	"˥˨"
"牙"	"牙"	"ngo2"	"ŋo˧˩"		"ŋ"	"o"	"˧˩"
"芽"	"芽"	"ngo2"	"ŋo˧˩"		"ŋ"	"o"	"˧˩"
"衙"	"衙"	"ngo2"	"ŋo˧˩"		"ŋ"	"o"	"˧˩"
"雅"	"雅"	"ngo4"	"ŋo˩˧"		"ŋ"	"o"	"˩˧"
"訝"	"讶"	"ngo6"	"ŋo˨˨"		"ŋ"	"o"	"˨˨"
"迓"	"迓"	"ngo6"	"ŋo˨˨"		"ŋ"	"o"	"˨˨"
"蝦"	"虾"	"ho1"	"ho˦˦"		"h"	"o"	"˦˦"
"嚇"	"吓"	"ho7"	"ho˧˨˨"		"h"	"o"	"˧˨˨"
"霞"	"霞"	"gho2"	"ɦo˧˩"		"ɦ"	"o"	"˧˩"
"遐"	"遐"	"gho2"	"ɦo˧˩"		"ɦ"	"o"	"˧˩"
"瑕"	"瑕"	"gho2"	"ɦo˧˩"		"ɦ"	"o"	"˧˩"
"下"	"下"	"gho6"	"ɦo˨˨"		"ɦ"	"o"	"˨˨"
"夏"	"夏"	"gho6"	"ɦo˨˨"		"ɦ"	"o"	"˨˨"
"廈"	"厦"	"gho6"	"ɦo˨˨"		"ɦ"	"o"	"˨˨"
"暇"	"暇"	"gho6"	"ɦo˨˨"		"ɦ"	"o"	"˨˨"
"夏"	"夏"	"gho6"	"ɦo˨˨"		"ɦ"	"o"	"˨˨"
"丫"	"丫"	"iao1"	"ʔyɔ˦˦"		"ʔ"	"yɔ"	"˦˦"
"丫"	"丫"	"o1"	"ʔo˦˦"		"ʔ"	"o"	"˦˦"
"鴉"	"鸦"	"o1"	"ʔo˦˦"		"ʔ"	"o"	"˦˦"
"啞"	"哑"	"o5"	"ʔo˥˨"	"啞佬：啞巴"	"ʔ"	"o"	"˥˨"
"亞"	"亚"	"o5"	"ʔo˥˨"		"ʔ"	"o"	"˥˨"
"嗟"	"嗟"	"tsei1"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"姐"	"姐"	"tsei3"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"□"	"□"	"tsa1"	"tsa˦˦"	"姐姐"	"ts"	"a"	"˦˦"
"借"	"借"	"tsei5"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"且"	"且"	"tshei3"	"tsʰei˧˥"		"tsʰ"	"ei"	"˧˥"
"藉"	"藉"	"tsei7"	"tsei˧˨˨"		"ts"	"ei"	"˧˨˨"
"褯"	"褯"	"zei6"	"zei˨˨"		"z"	"ei"	"˨˨"
"□"	"□"	"sei1"	"sei˦˦"	"搞亂東西"	"s"	"ei"	"˦˦"
"些"	"些"	"sei1"	"sei˦˦"		"s"	"ei"	"˦˦"
"寫"	"写"	"sei3"	"sei˧˥"		"s"	"ei"	"˧˥"
"瀉"	"泻"	"sei5"	"sei˥˨"		"s"	"ei"	"˥˨"
"卸"	"卸"	"sei5"	"sei˥˨"		"s"	"ei"	"˥˨"
"卸"	"卸"	"shia7"	"ɕia˧˨˨"	"卸貨，上海話借詞"	"ɕ"	"ia"	"˧˨˨"
"邪"	"邪"	"zei2"	"zei˧˩"		"z"	"ei"	"˧˩"
"斜"	"斜"	"zei2"	"zei˧˩"		"z"	"ei"	"˧˩"
"謝"	"谢"	"zei6"	"zei˨˨"		"z"	"ei"	"˨˨"
"爹"	"爹"	"tei1"	"tei˦˦"		"t"	"ei"	"˦˦"
"遮"	"遮"	"tsei1"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"者"	"者"	"tsei3"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"蔗"	"蔗"	"tsei5"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"車"	"车"	"tsho1"	"tsʰo˦˦"		"tsʰ"	"o"	"˦˦"
"車"	"车"	"tshei1"	"tsʰei˦˦"		"tsʰ"	"ei"	"˦˦"
"□"	"□"	"tshei1"	"tsʰei˦˦"	"斜著"	"tsʰ"	"ei"	"˦˦"
"扯"	"扯"	"tshei3"	"tsʰei˧˥"		"tsʰ"	"ei"	"˧˥"
"□"	"□"	"tshei7"	"tsʰei˧˨˨"	"斜著"	"tsʰ"	"ei"	"˧˨˨"
"蛇"	"蛇"	"zei2"	"zei˧˩"		"z"	"ei"	"˧˩"
"射"	"射"	"zei6"	"zei˨˨"		"z"	"ei"	"˨˨"
"□"	"□"	"zei8"	"zei˨˩˩"	"跑步"	"z"	"ei"	"˨˩˩"
"奢"	"奢"	"sei1"	"sei˦˦"		"s"	"ei"	"˦˦"
"賒"	"赊"	"sei1"	"sei˦˦"		"s"	"ei"	"˦˦"
"捨"	"舍"	"sei3"	"sei˧˥"		"s"	"ei"	"˧˥"
"赦"	"赦"	"sei5"	"sei˥˨"		"s"	"ei"	"˥˨"
"舍"	"舍"	"sei3"	"sei˧˥"		"s"	"ei"	"˧˥"
"社"	"社"	"zei4"	"zei˩˧"		"z"	"ei"	"˩˧"
"惹"	"惹"	"zei4"	"zei˩˧"		"z"	"ei"	"˩˧"
"耶"	"耶"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"椰"	"椰"	"i1"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"爺"	"爷"	"yi2"	"ji˧˩"		"j"	"i"	"˧˩"
"冶"	"冶"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"也"	"也"	"gha4"	"ɦa˩˧"		"ɦ"	"a"	"˩˧"
"也"	"也"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"野"	"野"	"yi4"	"ji˩˧"		"j"	"i"	"˩˧"
"夜"	"夜"	"yi6"	"ji˨˨"		"j"	"i"	"˨˨"
"傻"	"傻"	"so3"	"so˧˥"		"s"	"o"	"˧˥"
"耍"	"耍"	"so3"	"so˧˥"		"s"	"o"	"˧˥"
"瓜"	"瓜"	"ko1"	"ko˦˦"		"k"	"o"	"˦˦"
"蝸"	"蜗"	"o1"	"ʔo˦˦"		"ʔ"	"o"	"˦˦"
"寡"	"寡"	"ko3"	"ko˧˥"		"k"	"o"	"˧˥"
"剮"	"剐"	"ko3"	"ko˧˥"		"k"	"o"	"˧˥"
"咵"	"咵"	"kho1"	"kʰo˦˦"		"kʰ"	"o"	"˦˦"
"垮"	"垮"	"kho3"	"kʰo˧˥"		"kʰ"	"o"	"˧˥"
"跨"	"跨"	"kho5"	"kʰo˥˨"		"kʰ"	"o"	"˥˨"
"娃"	"娃"	"o1"	"ʔo˦˦"		"ʔ"	"o"	"˦˦"
"瓦"	"瓦"	"ngo4"	"ŋo˩˧"		"ŋ"	"o"	"˩˧"
"花"	"花"	"ho1"	"ho˦˦"		"h"	"o"	"˦˦"
"化"	"化"	"ho5"	"ho˥˨"		"h"	"o"	"˥˨"
"華"	"华"	"gho2"	"ɦo˧˩"		"ɦ"	"o"	"˧˩"
"華"	"华"	"gho6"	"ɦo˨˨"		"ɦ"	"o"	"˨˨"
"蛙"	"蛙"	"o1"	"ʔo˦˦"		"ʔ"	"o"	"˦˦"
"窪"	"洼"	"o1"	"ʔo˦˦"		"ʔ"	"o"	"˦˦"
"補"	"补"	"peu3"	"pʉ˧˥"		"p"	"ʉ"	"˧˥"
"譜"	"谱"	"peu3"	"pʉ˧˥"		"p"	"ʉ"	"˧˥"
"布"	"布"	"peu5"	"pʉ˥˨"		"p"	"ʉ"	"˥˨"
"佈"	"布"	"pu5"	"pʋ˥˨"		"p"	"ʋ"	"˥˨"
"鋪"	"铺"	"phu5"	"pʰʋ˥˨"		"pʰ"	"ʋ"	"˥˨"
"普"	"普"	"phu3"	"pʰʋ˧˥"		"pʰ"	"ʋ"	"˧˥"
"浦"	"浦"	"phu3"	"pʰʋ˧˥"		"pʰ"	"ʋ"	"˧˥"
"鋪"	"铺"	"phu1"	"pʰʋ˦˦"		"pʰ"	"ʋ"	"˦˦"
"怖"	"怖"	"pu5"	"pʋ˥˨"		"p"	"ʋ"	"˥˨"
"菩"	"菩"	"bu2"	"bʋ˧˩"		"b"	"ʋ"	"˧˩"
"蒲"	"蒲"	"bu2"	"bʋ˧˩"		"b"	"ʋ"	"˧˩"
"脯"	"脯"	"fu3"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"脯"	"脯"	"bu2"	"bʋ˧˩"		"b"	"ʋ"	"˧˩"
"部"	"部"	"bu6"	"bʋ˨˨"		"b"	"ʋ"	"˨˨"
"簿"	"簿"	"bu4"	"bʋ˩˧"		"b"	"ʋ"	"˩˧"
"步"	"步"	"bu6"	"bʋ˨˨"		"b"	"ʋ"	"˨˨"
"捕"	"捕"	"bu4"	"bʋ˩˧"		"b"	"ʋ"	"˩˧"
"埠"	"埠"	"beu6"	"bʉ˨˨"		"b"	"ʉ"	"˨˨"
"模"	"模"	"mu4"	"mʋ˩˧"		"m"	"ʋ"	"˩˧"
"暮"	"暮"	"mu6"	"mʋ˨˨"		"m"	"ʋ"	"˨˨"
"墓"	"墓"	"mu6"	"mʋ˨˨"		"m"	"ʋ"	"˨˨"
"募"	"募"	"mu6"	"mʋ˨˨"		"m"	"ʋ"	"˨˨"
"慕"	"慕"	"mu6"	"mʋ˨˨"		"m"	"ʋ"	"˨˨"
"都"	"都"	"teu1"	"tɵʉ˦˦"		"t"	"ɵʉ"	"˦˦"
"堵"	"堵"	"teu3"	"tɵʉ˧˥"		"t"	"ɵʉ"	"˧˥"
"賭"	"赌"	"teu3"	"tɵʉ˧˥"		"t"	"ɵʉ"	"˧˥"
"肚"	"肚"	"teu3"	"tɵʉ˧˥"		"t"	"ɵʉ"	"˧˥"
"妒"	"妒"	"teu5"	"tɵʉ˥˨"		"t"	"ɵʉ"	"˥˨"
"蠹"	"蠹"	"teu5"	"tɵʉ˥˨"		"t"	"ɵʉ"	"˥˨"
"土"	"土"	"theu3"	"tʰɵʉ˧˥"		"tʰ"	"ɵʉ"	"˧˥"
"吐"	"吐"	"theu5"	"tʰɵʉ˥˨"		"tʰ"	"ɵʉ"	"˥˨"
"兔"	"兔"	"theu5"	"tʰɵʉ˥˨"		"tʰ"	"ɵʉ"	"˥˨"
"途"	"途"	"deu2"	"dɵʉ˧˩"		"d"	"ɵʉ"	"˧˩"
"鈽"	"钸"	"pu1"	"pʋ˦˦"		"p"	"ʋ"	"˦˦"
"屠"	"屠"	"deu2"	"dɵʉ˧˩"		"d"	"ɵʉ"	"˧˩"
"圖"	"图"	"deu2"	"dɵʉ˧˩"		"d"	"ɵʉ"	"˧˩"
"徒"	"徒"	"dou4"	"dɤu˩˧"		"d"	"ɤu"	"˩˧"
"徒"	"徒"	"deu4"	"dɵʉ˩˧"		"d"	"ɵʉ"	"˩˧"
"肚"	"肚"	"deu4"	"dɵʉ˩˧"		"d"	"ɵʉ"	"˩˧"
"杜"	"杜"	"deu4"	"dɵʉ˩˧"		"d"	"ɵʉ"	"˩˧"
"度"	"度"	"deu6"	"dɵʉ˨˨"		"d"	"ɵʉ"	"˨˨"
"渡"	"渡"	"deu6"	"dɵʉ˨˨"		"d"	"ɵʉ"	"˨˨"
"鍍"	"镀"	"deu6"	"dɵʉ˨˨"		"d"	"ɵʉ"	"˨˨"
"奴"	"奴"	"neu2"	"nɵʉ˧˩"		"n"	"ɵʉ"	"˧˩"
"努"	"努"	"nou4"	"nɤu˩˧"		"n"	"ɤu"	"˩˧"
"怒"	"怒"	"nou6"	"nɤu˨˨"		"n"	"ɤu"	"˨˨"
"盧"	"卢"	"leu2"	"lɵʉ˧˩"		"l"	"ɵʉ"	"˧˩"
"爐"	"炉"	"leu2"	"lɵʉ˧˩"		"l"	"ɵʉ"	"˧˩"
"鹵"	"卤"	"leu4"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"魯"	"鲁"	"leu4"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"櫓"	"橹"	"leu4"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"虜"	"虏"	"leu4"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"露"	"露"	"leu6"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"路"	"路"	"leu6"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"賂"	"赂"	"leu6"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"租"	"租"	"tseu1"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"祖"	"祖"	"tseu3"	"tsɵʉ˧˥"		"ts"	"ɵʉ"	"˧˥"
"組"	"组"	"tseu3"	"tsɵʉ˧˥"		"ts"	"ɵʉ"	"˧˥"
"做"	"做"	"tsou5"	"tsɤu˥˨"		"ts"	"ɤu"	"˥˨"
"粗"	"粗"	"tsheu1"	"tsʰɵʉ˦˦"		"tsʰ"	"ɵʉ"	"˦˦"
"醋"	"醋"	"tsheu5"	"tsʰɵʉ˥˨"		"tsʰ"	"ɵʉ"	"˥˨"
"錯"	"错"	"tshou5"	"tsʰɤu˥˨"		"tsʰ"	"ɤu"	"˥˨"
"措"	"措"	"tshou5"	"tsʰɤu˥˨"		"tsʰ"	"ɤu"	"˥˨"
"蘇"	"苏"	"seu1"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
