"繁體"	"简体"	"聲韻"	"聲調"	"注釋"		"1：˧˧"	"2：˧˩"
"蒡"	"蒡"	"buɔ"	31				
"蒱"	"蒱"	"bu"	31				
"蒲"	"蒲"	"bu"	31				
"蒲"	"蒲"	"bøy"	31	"蒲鞋"			
"蓬"	"蓬"	"boŋ"	31				
"薄"	"薄"	"bu"	31	"～荷"			
"薸"	"薸"	"biɛ"	31	"浮萍"			
"蘋"	"苹"	"beŋ"	31				
"虻"	"虻"	"biɛ"	31				
"螃"	"螃"	"buɔ"	31				
"蟛"	"蟛"	"biɛ"	31	"～蜞，蟹名"			
"蟠"	"蟠"	"bø"	31				
"袍"	"袍"	"bɜ"	31				
"裨"	"裨"	"bei"	31				
"裴"	"裴"	"bai"	31				
"評"	"评"	"beŋ"	31				
"貧"	"贫"	"beŋ"	31				
"賠"	"赔"	"bai"	31				
"跑"	"跑"	"buɔ"	31	"虎～"			
"蹣"	"蹒"	"bø"	31	"～跚"			
"鄱"	"鄱"	"bu"	31				
"酺"	"酺"	"bu"	31				
"醅"	"醅"	"bai"	31				
"鈀"	"钯"	"bo"	31				
"錇"	"锫"	"bai"	31	"元素名"			
"鎊"	"镑"	"buɔ"	31				
"陪"	"陪"	"bai"	31				
"鞶"	"鞶"	"bø"	31				
"頻"	"频"	"beŋ"	31				
"顰"	"颦"	"beŋ"	31				
"駢"	"骈"	"bi"	31				
"鵬"	"鹏"	"boŋ"	31				
"鶓"	"鹋"	"biɛ"	31				
"麅"	"狍"	"buɔ"	31				
"鼙"	"鼙"	"bei"	31				
"齙"	"龅"	"buɔ"	31				
"龐"	"庞"	"buɔ"	31				
"□"	"□"	"da"	31	"<干/火>燎火"			
"□"	"□"	"dɜ"	31	"推"			
"亭"	"亭"	"deŋ"	31				
"佃"	"佃"	"di"	31				
"佗"	"佗"	"dɤu"	31				
"停"	"停"	"deŋ"	31				
"僮"	"僮"	"doŋ"	31				
"匋"	"匋"	"dɜ"	31				
"同"	"同"	"doŋ"	31				
"咷"	"咷"	"dɜ"	31				
"唐"	"唐"	"duɔ"	31				
"啕"	"啕"	"dɜ"	31				
"啼"	"啼"	"dei"	31				
"囤"	"囤"	"dø"	31	"～積"			
"圖"	"图"	"døy"	31				
"團"	"团"	"daŋ"	31				
"團"	"团"	"dø"	31				
"堂"	"堂"	"duɔ"	31				
"堤"	"堤"	"dei"	31				
"塗"	"涂"	"døy"	31				
"塘"	"塘"	"duɔ"	31				
"填"	"填"	"di"	31				
"壇"	"坛"	"da"	31				
"婷"	"婷"	"deŋ"	31				
"屠"	"屠"	"døy"	31				
"屯"	"屯"	"dø"	31				
"岧"	"岧"	"diɛ"	31				
"峒"	"峒"	"doŋ"	31				
"庭"	"庭"	"deŋ"	31				
"廷"	"廷"	"deŋ"	31				
"彈"	"弹"	"da"	31	"～琴"			
"彤"	"彤"	"doŋ"	31				
"徒"	"徒"	"døy"	31	"～弟"			
"徒"	"徒"	"dɤu"	31				
"恬"	"恬"	"di"	31				
"投"	"投"	"dau"	31				
"抬"	"抬"	"de"	31				
"掏"	"掏"	"dɜ"	31				
"提"	"提"	"dei"	31				
"搪"	"搪"	"duɔ"	31				
"摶"	"抟"	"dø"	31				
"曇"	"昙"	"dø"	31				
"桃"	"桃"	"dɜ"	31				
"桐"	"桐"	"doŋ"	31				
"條"	"条"	"diɛ"	31				
"樘"	"樘"	"duɔ"	31				
"檀"	"檀"	"da"	31				
"汏"	"汏"	"da"	31	"水中晃蕩洗滌"			
"沌"	"沌"	"dø"	31				
"沱"	"沱"	"dɤu"	31				
"淘"	"淘"	"dɜ"	31				
"溏"	"溏"	"duɔ"	31				
"滇"	"滇"	"di"	31				
"滕"	"滕"	"daŋ"	31				
"漙"	"漙"	"dø"	31				
"潭"	"潭"	"dø"	31				
"濤"	"涛"	"dɜ"	31				
"炱"	"炱"	"de"	31				
"燾"	"焘"	"dɜ"	31				
"瑭"	"瑭"	"duɔ"	31				
"甜"	"甜"	"di"	31				
"田"	"田"	"di"	31				
"畋"	"畋"	"di"	31				
"疼"	"疼"	"daŋ"	31				
"痰"	"痰"	"da"	31				
"瞳"	"瞳"	"doŋ"	31				
"童"	"童"	"doŋ"	31				
"筒"	"筒"	"doŋ"	31				
"糖"	"糖"	"duɔ"	31				
"膛"	"膛"	"duɔ"	31				
"臀"	"臀"	"dø"	31				
"臺"	"台"	"de"	31				
"苔"	"苔"	"de"	31	"苔蘚"			
"苕"	"苕"	"diɛ"	31				
"荑"	"荑"	"dei"	31				
"荼"	"荼"	"dɤu"	31				
"菟"	"菟"	"døy"	31				
"萄"	"萄"	"dɜ"	31				
"薹"	"薹"	"de"	31				
"藤"	"藤"	"daŋ"	31				
"蜓"	"蜓"	"daŋ"	31	"蜻～"			
"蜓"	"蜓"	"deŋ"	31				
"蜩"	"蜩"	"diɛ"	31				
"螗"	"螗"	"duɔ"	31				
"螳"	"螳"	"duɔ"	31				
"覃"	"覃"	"dø"	31				
"調"	"调"	"diɛ"	31	"～解"			
"談"	"谈"	"da"	31				
"謄"	"誊"	"daŋ"	31				
"譚"	"谭"	"da"	31				
"豚"	"豚"	"dø"	31				
"贉"	"贉"	"dø"	31	"～堆，論堆買賣"			
"赯"	"赯"	"duɔ"	31				
"跎"	"跎"	"dɤu"	31				
"跳"	"跳"	"diɛ"	31	"走"			
"蹄"	"蹄"	"dei"	31				
"迢"	"迢"	"diɛ"	31				
"逃"	"逃"	"dɜ"	31				
"途"	"途"	"døy"	31				
"郯"	"郯"	"da"	31				
"鄌"	"鄌"	"duɔ"	31				
"醄"	"醄"	"dɜ"	31				
"銅"	"铜"	"doŋ"	31				
"錢"	"钱"	"di"	31	"白"			
"鏜"	"镗"	"duɔ"	31				
"闐"	"阗"	"di"	31				
"陀"	"陀"	"dɤu"	31				
"陶"	"陶"	"dɜ"	31				
"隤"	"隤"	"dai"	31				
"霆"	"霆"	"deŋ"	31				
"鞀"	"鼗"	"dɜ"	31				
"頭"	"头"	"dɤu"	31				
"頽"	"頽"	"dai"	31				
"題"	"题"	"dei"	31				
"飩"	"饨"	"daŋ"	31				
"馱"	"驮"	"dɤu"	31				
"駘"	"骀"	"de"	31				
"駝"	"驼"	"dɤu"	31				
"騰"	"腾"	"daŋ"	31				
"髫"	"髫"	"diɛ"	31				
"魨"	"魨"	"dø"	31				
"鰷"	"鲦"	"diɛ"	31				
"齠"	"龆"	"diɛ"	31				
"□"	"□"	"gaŋ"	31	"<匚@汵>下覆"			
"何"	"何"	"ga"	31	"～樣，什么"			
"含"	"含"	"gaŋ"	31				
"啣"	"啣"	"ga"	31				
"懷"	"怀"	"ga"	31	"～底，怀裏"			
"摳"	"抠"	"gau"	31	"重刮"			
"曠"	"旷"	"guɔ"	31				
"枷"	"枷"	"go"	31	"飯鑊～兒，箅子"			
"渠"	"渠"	"giɛ"	31	"阿～，「渠唉合音」，對平輩人匿稱"			
"渠"	"渠"	"gi"	31	"第三人稱"			
"萑"	"萑"	"gaŋ"	31	"竹萑：貓頭鷹"			
"跔"	"跔"	"gau"	31	"蜷縮"			
"跔"	"跔"	"gu"	31	"踞縮"			
"銜"	"衔"	"ga"	31				
"□"	"□"	"vu"	31	"<巾監>～，不修邊幅"			
"乎"	"乎"	"vu"	31				
"何"	"何"	"vu"	31				
"俞"	"俞"	"vu"	31				
"偉"	"伟"	"vu"	31				
"凡"	"凡"	"va"	31				
"和"	"和"	"vu"	31				
"唯"	"唯"	"vu"	31				
"回"	"回"	"vai"	31				
"圍"	"围"	"vu"	31				
"圜"	"圜"	"va"	31				
"圩"	"圩"	"vu"	31				
"墳"	"坟"	"vaŋ"	31				
"壺"	"壶"	"vu"	31				
"夫"	"夫"	"vu"	31	"助詞"			
"妤"	"妤"	"vu"	31				
"寰"	"寰"	"va"	31				
"嵬"	"嵬"	"vai"	31				
"巍"	"巍"	"vai"	31				
"巫"	"巫"	"vu"	31				
"帆"	"帆"	"va"	31				
"帷"	"帷"	"vu"	31				
"幃"	"帏"	"vu"	31				
"弧"	"弧"	"vu"	31				
"徊"	"徊"	"vai"	31				
"微"	"微"	"vei"	31				
"惟"	"惟"	"vu"	31				
"愉"	"愉"	"vu"	31				
"懷"	"怀"	"va"	31				
"扶"	"扶"	"vu"	31				
"扶"	"扶"	"vøy"	31				
"揄"	"揄"	"vu"	31				
"攜"	"携"	"vu"	31				
"文"	"文"	"vaŋ"	31				
"於"	"于"	"vu"	31				
"桅"	"桅"	"vai"	31				
"梧"	"梧"	"vu"	31				
"梵"	"梵"	"va"	31				
"榆"	"榆"	"vu"	31				
"槐"	"槐"	"va"	31				
"橫"	"横"	"viɛ"	31				
"歟"	"欤"	"vu"	31				
"毋"	"毋"	"vu"	31				
"河"	"河"	"vu"	31				
"洄"	"洄"	"vai"	31				
"浮"	"浮"	"vøy"	31				
"浮"	"浮"	"vɜ"	31				
"涪"	"涪"	"vɜ"	31	"～江"			
"淮"	"淮"	"va"	31				
"渝"	"渝"	"vu"	31				
"湖"	"湖"	"vu"	31				
"澴"	"澴"	"va"	31				
"濰"	"潍"	"vu"	31				
"為"	"为"	"vu"	31	"作～"			
"焚"	"焚"	"vaŋ"	31				
"無"	"无"	"vu"	31				
"煩"	"烦"	"va"	31				
"燔"	"燔"	"va"	31				
"狐"	"狐"	"vu"	31				
"狳"	"狳"	"vu"	31				
"猢"	"猢"	"vu"	31				
"瑚"	"瑚"	"vu"	31				
"瑜"	"瑜"	"vu"	31				
"璠"	"璠"	"va"	31				
"環"	"环"	"va"	31				
"盂"	"盂"	"vu"	31				
"盉"	"盉"	"vu"	31				
"礬"	"矾"	"va"	31				
"禾"	"禾"	"vu"	31				
"竽"	"竽"	"vu"	31				
"符"	"符"	"vøy"	31				
"糊"	"糊"	"vu"	31				
"紋"	"纹"	"vaŋ"	31				
"維"	"维"	"vu"	31				
"繁"	"繁"	"va"	31				
"繯"	"缳"	"va"	31				
"罘"	"罘"	"vɜ"	31				
"聞"	"闻"	"vaŋ"	31				
"肥"	"肥"	"vei"	31	"文"			
"胡"	"胡"	"vu"	31				
"腴"	"腴"	"vu"	31				
"膰"	"膰"	"va"	31				
"臾"	"臾"	"vu"	31				
"舁"	"舁"	"vu"	31				
"芙"	"芙"	"vøy"	31				
"芣"	"芣"	"vɜ"	31				
"茴"	"茴"	"vai"	31				
"荷"	"荷"	"vu"	31				
"萸"	"萸"	"vu"	31				
"葦"	"苇"	"vu"	31				
"葫"	"葫"	"vu"	31				
"蕃"	"蕃"	"va"	31				
"蕪"	"芜"	"vu"	31				
"薇"	"薇"	"vei"	31				
"藩"	"藩"	"va"	31				
"蘩"	"蘩"	"va"	31				
"蚊"	"蚊"	"vaŋ"	31				
"蛔"	"蛔"	"vai"	31				
"蜉"	"蜉"	"vɜ"	31				
"蝴"	"蝴"	"vu"	31				
"覦"	"觎"	"vu"	31				
"誣"	"诬"	"vu"	31				
"諛"	"谀"	"vu"	31				
"蹯"	"蹯"	"va"	31				
"輿"	"舆"	"vu"	31				
"逾"	"逾"	"vu"	31				
"違"	"违"	"vu"	31				
"遺"	"遗"	"vu"	31				
"還"	"还"	"va"	31				
"郇"	"郇"	"va"	31				
"醐"	"醐"	"vu"	31				
"釩"	"钒"	"va"	31				
"鍰"	"锾"	"va"	31				
"闈"	"闱"	"vu"	31				
"雩"	"雩"	"vu"	31				
"雯"	"雯"	"vaŋ"	31				
"韋"	"韦"	"vu"	31				
"頑"	"顽"	"va"	31				
"餘"	"余"	"vu"	31				
"餛"	"馄"	"vaŋ"	31				
"餬"	"餬"	"vu"	31				
"鬟"	"鬟"	"va"	31				
"鶘"	"鹕"	"vu"	31				
"伽"	"伽"	"dzɿ"	31	"～藍"			
"儲"	"储"	"dzɿ"	31				
"其"	"其"	"dzɿ"	31				
"呈"	"呈"	"dzeŋ"	31				
"呈"	"呈"	"dzeŋ"	31	"酒壇"			
"坻"	"坻"	"dzei"	31				
"垂"	"垂"	"dzɿ"	31				
"塵"	"尘"	"dzaŋ"	31				
"墀"	"墀"	"dzei"	31				
"奇"	"奇"	"dzɿ"	31	"～怪"			
"岐"	"岐"	"dzɿ"	31				
"巉"	"巉"	"dza"	31				
"廚"	"厨"	"dzɿ"	31				
"忱"	"忱"	"dzaŋ"	31				
"慚"	"惭"	"dza"	31				
"懲"	"惩"	"dzeŋ"	31				
"才"	"才"	"dze"	31				
"持"	"持"	"dzɿ"	31				
"搽"	"搽"	"dzo"	31				
"摧"	"摧"	"dzai"	31				
"旗"	"旗"	"dzɿ"	31				
"曾"	"曾"	"dzaŋ"	31	"～經"			
"期"	"期"	"dzɿ"	31				
"查"	"查"	"dzo"	31				
"棋"	"棋"	"dzɿ"	31				
"槌"	"槌"	"dzɿ"	31				
"槎"	"槎"	"dzo"	31				
"橙"	"橙"	"dzeŋ"	31				
"橙"	"橙"	"dziɛ"	31				
"殘"	"残"	"dza"	31				
"池"	"池"	"dzei"	31				
"沈"	"沈"	"dzaŋ"	31				
"沉"	"沉"	"dzaŋ"	31				
"淇"	"淇"	"dzɿ"	31				
"潺"	"潺"	"dza"	31				
"澂"	"澂"	"dzeŋ"	31				
"澄"	"澄"	"dzeŋ"	31				
"爭"	"争"	"dziɛ"	31	"搶"			
"琦"	"琦"	"dzɿ"	31				
"畿"	"畿"	"dzɿ"	31				
"祁"	"祁"	"dzɿ"	31				
"祈"	"祈"	"dzɿ"	31				
"祺"	"祺"	"dzɿ"	31				
"程"	"程"	"dzeŋ"	31				
"箎"	"箎"	"dzei"	31				
"缶"	"缶"	"dzeŋ"	31				
"耆"	"耆"	"dzɿ"	31				
"臣"	"臣"	"dzaŋ"	31				
"茄"	"茄"	"dzɿ"	31				
"茬"	"茬"	"dzo"	31				
"茶"	"茶"	"dzo"	31				
"蓍"	"蓍"	"dzɿ"	31				
"蜍"	"蜍"	"dzɿ"	31				
"蜞"	"蜞"	"dzɿ"	31				
"讒"	"谗"	"dza"	31				
"躇"	"躇"	"dzɿ"	31				
"遲"	"迟"	"dzɿ"	31				
"錘"	"锤"	"dzɿ"	31				
"除"	"除"	"dzɿ"	31				
"陳"	"陈"	"dzaŋ"	31				
"頎"	"颀"	"dzɿ"	31				
"饞"	"馋"	"dza"	31				
"馳"	"驰"	"dzɿ"	31				
"騎"	"骑"	"dzɿ"	31				
"鰭"	"鳍"	"dzɿ"	31				
"丞"	"丞"	"zeŋ"	31				
"乘"	"乘"	"zeŋ"	31				
"人"	"人"	"zaŋ"	31				
"仁"	"仁"	"zaŋ"	31				
"仍"	"仍"	"zeŋ"	31				
"佘"	"佘"	"zei"	31				
"僝"	"僝"	"za"	31				
"儒"	"儒"	"zɿ"	31				
"儕"	"侪"	"za"	31				
"匙"	"匙"	"zei"	31				
"叢"	"丛"	"zoŋ"	31				
"嘈"	"嘈"	"zɜ"	31				
"城"	"城"	"zeŋ"	31				
"塍"	"塍"	"zeŋ"	31				
"塒"	"埘"	"zɿ"	31				
"如"	"如"	"zɿ"	31				
"妊"	"妊"	"zaŋ"	31				
"娠"	"娠"	"zaŋ"	31				
"存"	"存"	"zø"	31				
"孱"	"孱"	"za"	31	"～弱"			
"孺"	"孺"	"zɿ"	31				
"宸"	"宸"	"zaŋ"	31				
"尋"	"寻"	"zaŋ"	31				
"層"	"层"	"zaŋ"	31				
"岑"	"岑"	"zaŋ"	31				
"崇"	"崇"	"zoŋ"	31				
"巉"	"巉"	"za"	31				
"巢"	"巢"	"zuɔ"	31				
"徂"	"徂"	"zɤu"	31				
"徐"	"徐"	"zei"	31				
"情"	"情"	"zeŋ"	31				
"愁"	"愁"	"zau"	31				
"慈"	"慈"	"zɿ"	31				
"慚"	"惭"	"za"	31				
"戎"	"戎"	"zoŋ"	31				
"成"	"成"	"zeŋ"	31				
"才"	"才"	"ze"	31				
"承"	"承"	"zeŋ"	31				
"斜"	"斜"	"zei"	31				
"斜"	"斜"	"zo"	31				
"昨"	"昨"	"zo"	31				
"時"	"时"	"zɿ"	31				
"晨"	"晨"	"zaŋ"	31				
"晴"	"晴"	"zeŋ"	31				
"曹"	"曹"	"zɜ"	31				
"曾"	"曾"	"zaŋ"	31	"～經"			
"材"	"材"	"ze"	31				
"柴"	"柴"	"za"	31				
"栭"	"栭"	"zɿ"	31				
"槽"	"槽"	"zɜ"	31				
"殂"	"殂"	"zɤu"	31				
"殊"	"殊"	"zɿ"	31				
"殘"	"残"	"za"	31				
"殳"	"殳"	"zɿ"	31				
"洏"	"洏"	"zɿ"	31				
"洳"	"洳"	"zɿ"	31				
"漕"	"漕"	"zɜ"	31				
"潯"	"浔"	"zaŋ"	31				
"潺"	"潺"	"za"	31				
"瓷"	"瓷"	"zɿ"	31				
"疵"	"疵"	"zɿ"	31				
"痤"	"痤"	"zo"	31				
"瘥"	"瘥"	"zo"	31				
"盛"	"盛"	"zeŋ"	31				
"睉"	"睉"	"zo"	31	"～眼，晃眼"			
"磁"	"磁"	"zɿ"	31				
"神"	"神"	"zaŋ"	31				
"祠"	"祠"	"zɿ"	31				
"秦"	"秦"	"zaŋ"	31				
"糍"	"糍"	"zɿ"	31				
"純"	"纯"	"zoŋ"	31				
"絨"	"绒"	"zoŋ"	31				
"繩"	"绳"	"zeŋ"	31				
"而"	"而"	"zɿ"	31				
"胹"	"胹"	"zɿ"	31				
"臍"	"脐"	"zei"	31				
"艚"	"艚"	"zɜ"	31				
"茈"	"茈"	"zɿ"	31	"鳧～，荸薺"			
"茨"	"茨"	"zɿ"	31				
"茲"	"兹"	"zɿ"	31	"龜～：古國名"			
"茸"	"茸"	"zoŋ"	31				
"茹"	"茹"	"zɿ"	31				
"蒓"	"蒓"	"zoŋ"	31				
"蒔"	"莳"	"zɿ"	31				
"蕤"	"蕤"	"zɿ"	31				
"薯"	"薯"	"zei"	31				
"薷"	"薷"	"zɿ"	31				
"藏"	"藏"	"zuɔ"	31	"隱～"			
"蛇"	"蛇"	"zei"	31				
"螬"	"螬"	"zɜ"	31				
"蠐"	"蛴"	"zei"	31				
"蠕"	"蠕"	"zɿ"	31				
"袽"	"袽"	"zɿ"	31				
"裁"	"裁"	"ze"	31				
"襦"	"襦"	"zɿ"	31				
"詞"	"词"	"zɿ"	31				
"誠"	"诚"	"zeŋ"	31				
"誰"	"谁"	"zɿ"	31				
"讒"	"谗"	"za"	31				
"豉"	"豉"	"zɿ"	31				
"豺"	"豺"	"za"	31				
"財"	"财"	"ze"	31				
"輀"	"輀"	"zɿ"	31				
"辭"	"辞"	"zɿ"	31				
"辰"	"辰"	"zaŋ"	31				
"遂"	"遂"	"zɿ"	31	"半身不～"			
"邪"	"邪"	"zei"	31				
"醇"	"醇"	"zoŋ"	31				
"銣"	"铷"	"zɿ"	31	"元素名"			
"鋤"	"锄"	"zɤu"	31				
"鋤"	"锄"	"zɿ"	31	"板～"			
"隋"	"隋"	"zɿ"	31				
"隨"	"随"	"zɿ"	31				
"雛"	"雏"	"zɤu"	31				
"餈"	"餈"	"zɿ"	31				
"餳"	"饧"	"zeŋ"	31				
"饞"	"馋"	"za"	31				
"鰣"	"鲥"	"zɿ"	31				
"鴯"	"鸸"	"zɿ"	31				
"鶉"	"鹑"	"zoŋ"	31				
"鶿"	"鹚"	"zɿ"	31				
"鹺"	"鹾"	"zo"	31				
"齊"	"齐"	"zei"	31				
"仇"	"仇"	"dʑau"	31	"姓"			
"伽"	"伽"	"dʑa"	31				
"俅"	"俅"	"dʑau"	31				
"傳"	"传"	"dʑy"	31	"宣～"			
"僑"	"侨"	"dʑiɛ"	31				
"儔"	"俦"	"dʑɤu"	31				
"劬"	"劬"	"dʑy"	31				
"勤"	"勤"	"dʑaŋ"	31				
"售"	"售"	"dʑɤu"	31				
"喬"	"乔"	"dʑiɛ"	31				
"嘲"	"嘲"	"dʑiɛ"	31				
"囚"	"囚"	"dʑɤu"	31				
"場"	"场"	"dʑi"	31				
"夔"	"夔"	"dʑy"	31				
"岑"	"岑"	"dʑaŋ"	31				
"巰"	"巯"	"dʑau"	31				
"常"	"常"	"dʑi"	31	"～～"			
"幢"	"幢"	"dʑyɔ"	31	"經～"			
"幹"	"干"	"dʑi"	31	"～坤"			
"廛"	"廛"	"dʑi"	31				
"強"	"强"	"dʑi"	31				
"惆"	"惆"	"dʑɤu"	31				
"惓"	"惓"	"dʑy"	31				
"懃"	"懃"	"dʑaŋ"	31				
"拳"	"拳"	"dʑy"	31				
"揆"	"揆"	"dʑy"	31				
"撞"	"撞"	"dʑyɔ"	31	"～鐘"			
"擎"	"擎"	"dʑaŋ"	31				
"擒"	"擒"	"dʑaŋ"	31				
"晁"	"晁"	"dʑiɛ"	31				
"朐"	"朐"	"dʑy"	31				
"朝"	"朝"	"dʑiɛ"	31				
"椽"	"椽"	"dʑy"	31				
"樁"	"桩"	"dʑyɔ"	31	"樹～"			
"樵"	"樵"	"dʑiɛ"	31				
"橋"	"桥"	"dʑiɛ"	31				
"檎"	"檎"	"dʑaŋ"	31				
"權"	"权"	"dʑy"	31				
"求"	"求"	"dʑau"	31				
"渠"	"渠"	"dʑy"	31				
"潮"	"潮"	"dʑiɛ"	31				
"焭"	"焭"	"dʑoŋ"	31				
"犰"	"犰"	"dʑau"	31				
"狂"	"狂"	"dʑyɔ"	31				
"球"	"球"	"dʑau"	31				
"琴"	"琴"	"dʑaŋ"	31				
"璆"	"璆"	"dʑau"	31				
"璩"	"璩"	"dʑy"	31				
"瓊"	"琼"	"dʑoŋ"	31				
"瘸"	"瘸"	"dʑy"	31				
"瞿"	"瞿"	"dʑy"	31				
"禽"	"禽"	"dʑaŋ"	31				
"稠"	"稠"	"dʑɤu"	31				
"窮"	"穷"	"dʑoŋ"	31				
"筇"	"筇"	"dʑoŋ"	31				
"籌"	"筹"	"dʑɤu"	31				
"籧"	"籧"	"dʑy"	31				
"綢"	"绸"	"dʑɤu"	31				
"纏"	"缠"	"dʑi"	31				
"纏"	"缠"	"dʑy"	31	"盤～"			
"羣"	"羣"	"dʑoŋ"	31				
"翹"	"翘"	"dʑiɛ"	31	"～首"			
"腸"	"肠"	"dʑi"	31				
"臒"	"癯"	"dʑy"	31				
"臞"	"臞"	"dʑy"	31				
"芹"	"芹"	"dʑaŋ"	31				
"荍"	"荍"	"dʑiɛ"	31				
"葵"	"葵"	"dʑy"	31				
"蕎"	"荞"	"dʑiɛ"	31				
"蕖"	"蕖"	"dʑy"	31				
"藭"	"藭"	"dʑoŋ"	31				
"蘧"	"蘧"	"dʑy"	31				
"虔"	"虔"	"dʑi"	31				
"虯"	"虬"	"dʑau"	31				
"蜷"	"蜷"	"dʑy"	31				
"蟲"	"虫"	"dʑoŋ"	31				
"衢"	"衢"	"dʑy"	31				
"裘"	"裘"	"dʑau"	31				
"裙"	"裙"	"dʑoŋ"	31				
"訄"	"訄"	"dʑau"	31				
"誑"	"诳"	"dʑyɔ"	31				
"讎"	"雠"	"dʑɤu"	31				
"賕"	"赇"	"dʑau"	31				
"跔"	"跔"	"dʑau"	31	"蜷縮"			
"躔"	"躔"	"dʑi"	31				
"軥"	"軥"	"dʑy"	31				
"逑"	"逑"	"dʑau"	31				
"逛"	"逛"	"dʑyɔ"	31				
"逵"	"逵"	"dʑy"	31				
"遒"	"遒"	"dʑɤu"	31				
"酬"	"酬"	"dʑɤu"	31				
"重"	"重"	"dʑyɔ"	31	"～復"			
"鈐"	"钤"	"dʑi"	31				
"鉗"	"钳"	"dʑi"	31				
"銶"	"銶"	"dʑau"	31				
"錢"	"钱"	"dʑi"	31	"舊文讀"			
"長"	"长"	"dʑi"	31	"～短"			
"顴"	"颧"	"dʑy"	31				
"馗"	"馗"	"dʑy"	31				
"騤"	"騤"	"dʑy"	31				
"鬈"	"鬈"	"dʑy"	31				
"鯨"	"鲸"	"dʑaŋ"	31				
"鴝"	"鸲"	"dʑy"	31				
"黔"	"黔"	"dʑi"	31				
"鼂"	"鼂"	"dʑiɛ"	31				
"丸"	"丸"	"ɦy"	31				
"亡"	"亡"	"ɦuɔ"	31				
"交"	"交"	"ɦuɔ"	31	"表完成的體標志"			
"何"	"何"	"ɦa"	31	"～樣，什么"			
"侯"	"侯"	"ɦau"	31				
"傭"	"佣"	"ɦioŋ"	31				
"償"	"偿"	"ɦi"	31				
"全"	"全"	"ɦy"	31				
"兮"	"兮"	"ɦi"	31				
"凰"	"凰"	"ɦuɔ"	31				
"函"	"函"	"ɦa"	31				
