"流水序"	"常用字"	"简体"	"声母"	"韵母"	"声调"	"例词"	"备注"
"00277"	"兒"	"儿"	"n"	"i"	1	"兒子"	
	"兒"	"儿"	"n"		1		"口语音"
"00278"	"兗"	"兖"	"gh"	"ie"	2		
"00279"	"兜"		"t"	"eu"	1		
"00280"	"兢"		"k"	"ieon"	1		
"00281"	"入"		"n"	"ih"			
"00282"	"內"	"内"	"n"	"ei"	3		
"00283"	"全"		"z"	"ioe"			
"00284"	"兩"	"两"	"l"	"ian"	2		
"00285"	"八"		"p"	"aeh"			
"00286"	"六"		"l"	"oh"			
"00287"	"兮"		"gh"	"i"	1		
"00288"	"公"		"k"	"on"	1		
"00289"	"共"		"g"	"ion"	3		
"00290"	"兵"		"p"	"ieon"	1		
"00291"	"具"		"g"	"iu"	3		
"00292"	"其"		"g"	"i"	1		
"00293"	"典"		"t"	"iae"	2		
"00294"	"兼"		"k"	"iae"	1		
"00295"	"冀"		"k"	"i"	3		
"00296"	"冉"		"n"	"ie"	2		
"00297"	"冊"		"tsh"	"ah"			
"00298"	"再"		"ts"	"ai"	3		
"00299"	"冒"		"m"	"au"	3		
"00300"	"冑"	"胄"	"j"	"ieu"	3		
"00301"	"冕"		"m"	"ie"	2		
"00302"	"最"		"ts"	"uei"	3		
"00303"	"冗"		"n"	"ion"	2		
"00304"	"冠"		"k"	"uoe"	1	"雞冠，衣冠"	
	"冠"		"k"	"uoe"	3	"冠軍，冠名"	
"00305"	"冤"			"ioe"	1		
"00306"	"冥"		"m"	"ieon"	1		
"00307"	"冢"		"c"	"ion"	2		
"00308"	"冬"		"t"	"on"	1		
"00309"	"冰"		"p"	"ieon"	1		
"00310"	"冶"		"gh"	"ia"	2		
"00311"	"冷"		"l"	"an"	2		
"00312"	"冽"		"l"	"ieh"			
"00313"	"凍"	"冻"	"t"	"on"	3		
"00314"	"凌"		"l"	"ieon"	1		
"00315"	"准"		"c"	"iuin"	2	"批准，准許"	
"00316"	"凋"		"t"	"iau"	1	"凋謝"	
"00317"	"凜"	"凛"	"l"	"in"	2		
"00318"	"凝"		"ng"	"ieon"	1		
"00319"	"几"		"k"	"i"	2	"茶几，几案"	
"00320"	"凰"		"gh"	"uaon"	1		
"00321"	"凱"	"凯"	"kh"	"ai"	2		
"00322"	"凳"		"t"	"eon"	3		
"00323"	"凶"		"h"	"ion"	1		
"00324"	"凹"			"au"	1		
"00325"	"出"		"ch"	"iuih"			
"00326"	"凸"		"d"	"eh"			
