"流水序"	"常用字"	"简体"	"声母"	"韵母"	"声调"	"例词"	"备注"
"01110"	"岫"		"z"	"ieu"	3		
"01111"	"岱"		"d"	"ai"	3		
"01112"	"岳"		"ng"	"aoh"		"岳飛"	
"01113"	"峙"		"dz"	"y"	2		
"01114"	"峭"		"tsh"	"iau"	3		
"01115"	"峽"	"峡"	"gh"	"aeh"			
"01116"	"峻"		"s"	"iuin"	3		
"01117"	"峪"		"gh"	"ioh"			
"01118"	"峨"		"ng"	"ou"	1		
"01119"	"峰"		"f"	"on"	1		
"01120"	"島"	"岛"	"t"	"au"	2		
"01121"	"崁"		"kh"	"ee"	3		
"01122"	"崇"		"z"	"on"	1		
"01123"	"崆"		"kh"	"on"	1		
"01124"	"崎"		"g"	"i"	1		
"01125"	"崛"		"g"	"iuih"			
"01126"	"崖"		"ng"	"a"	1		
"01127"	"崢"	"峥"	"z"	"an"	1		
"01128"	"崑"	"昆"	"kh"	"uen"	1	"崑崙山，崑山"	
"01129"	"崩"		"p"	"eon"	1		
"01130"	"崔"		"tsh"	"ei"	1		
"01131"	"崙"	"仑"	"l"	"en"	1	"崑崙山"	
"01132"	"嵌"		"kh"	"ae"	3		
"01133"	"嵐"	"岚"	"l"	"ee"	1		
"01134"	"嵩"		"s"	"ion"	1		
"01135"	"嶄"	"崭"	"ts"	"ae"	2		
"01136"	"嶇"	"岖"	"kh"	"iu"	1		
"01137"	"嶝"		"t"	"eon"	3		
"01138"	"嶼"	"屿"	"z"	"i"	2		
"01139"	"嶺"	"岭"	"l"	"ieon"	2		
"01140"	"嶽"	"岳"	"ng"	"aoh"		"五嶽"	
"01141"	"巍"		"ng"	"iu"	1		
"01142"	"巔"	"巅"	"t"	"iae"	1		
"01143"	"巒"	"峦"	"l"	"oe"	1		
"01144"	"巖"	"岩"	"ng"	"ae"	1		
"01145"	"川"		"ch"	"ioe"	1		
"01146"	"州"		"c"	"ieu"	1		
"01147"	"巢"		"z"	"au"	1		
"01148"	"工"		"k"	"on"	1		
"01149"	"巨"	"巨"	"g"	"ei"	2		
"01150"	"巧"		"kh"	"au"	2		
"01151"	"左"		"ts"	"ou"	2		
"01152"	"巫"		"v"	"u"	1		
"01153"	"差"		"tsh"	"a"	1	"差遣"	
	"差"		"tsh"	"o"	1	"差別"	
	"差"		"tsh"	"y"	1	"參差"	
"01154"	"己"		"k"	"i"	2		
"01155"	"已"		"gh"	"i"	2		
"01156"	"巳"		"z"	"y"	2		
"01157"	"巴"		"p"	"o"	1	"尾巴"	
	"巴"		"b"	"o"	1	"下巴"	
"01158"	"巷"		"gh"	"aon"	3		
"01159"	"巽"		"s"	"en"	3		
"01160"	"巾"		"k"	"in"	1		
"01161"	"市"		"z"	"y"	2		
"01162"	"布"		"p"	"u"	3		
"01163"	"帆"		"v"	"ae"	1		
"01164"	"希"		"h"	"i"	1		
"01165"	"帘"		"l"	"ie"	1		
"01166"	"帚"		"c"	"ieu"	2		
"01167"	"帖"		"th"	"iaeh"			
"01168"	"帕"		"ph"	"ah"			
"01169"	"帛"		"b"	"ah"			
"01170"	"帑"		"th"	"aon"	2		
"01171"	"帝"		"t"	"i"	3		
"01172"	"帥"	"帅"	"s"	"a"	3		
"01173"	"席"		"z"	"ieoh"			
"01174"	"師"	"师"	"s"	"y"	1		
"01175"	"常"		"zh"	"ian"	1		
"01176"	"帶"	"带"	"t"	"a"	3		
"01177"	"帳"	"帐"	"c"	"ian"	3		
"01178"	"帷"		"gh"	"iu"	1		
"01179"	"幅"		"f"	"oh"			
"01180"	"帽"		"m"	"au"	3		
"01181"	"幀"	"帧"	"c"	"ieon"	3		
"01182"	"幌"		"h"	"uaon"	2		
"01183"	"幛"		"c"	"ian"	3		
"01184"	"幣"	"币"	"b"	"i"	3		
"01185"	"幕"		"m"	"aoh"			
"01186"	"幗"	"帼"	"k"	"uah"			
"01187"	"幔"		"m"	"oe"	3		
"01188"	"幢"		"dz"	"iaon"	3		
"01189"	"幟"	"帜"	"ts"	"y"	3		
"01190"	"幫"	"帮"	"p"	"aon"	1		
"01191"	"干"		"k"	"oe"	1	"干擾，天干，干涉"	
"01192"	"平"		"b"	"ieon"	1		
"01193"	"并"		"p"	"ieon"	1	"并州"	
"01194"	"年"		"n"	"iae"	1		
"01195"	"幸"		"gh"	"an"	2		
"01196"	"幹"	"干"	"k"	"oe"	3	"幹部，事幹"	
"01197"	"幻"		"gh"	"uae"	3		
"01198"	"幼"			"ieu"	3		
"01199"	"幽"			"ieu"	1		
"01200"	"幾"	"几"	"k"	"i"	3	"幾個，幾回，幾何"	
	"幾"	"几"	"k"	"i"	1	"幾乎，庶幾"	
"01201"	"序"		"z"	"i"	2		
"01202"	"庇"		"p"	"i"	3		
"01203"	"床"		"zh"	"iaon"	1		
"01204"	"庚"		"k"	"an"	1		
"01205"	"店"		"t"	"iae"	3		
"01206"	"府"		"f"	"u"	2		
"01207"	"底"		"t"	"i"	2		
"01208"	"庖"		"b"	"au"	1		
"01209"	"庠"		"z"	"ian"	1		
"01210"	"度"		"d"	"u"	3	"溫度"	
	"度"		"d"	"aoh"		"忖度"	
"01211"	"庫"	"库"	"kh"	"u"	3		
"01212"	"庭"		"d"	"ieon"	1		
"01213"	"座"		"z"	"ou"	3		
"01214"	"康"		"kh"	"aon"	1		
"01215"	"庸"		"gh"	"ion"	1		
"01216"	"庶"		"s"	"y"	3		
"01217"	"庵"			"ee"	1		
"01218"	"庾"		"gh"	"iu"	2		
"01219"	"廊"		"l"	"aon"	1		
"01220"	"廁"	"厕"	"tsh"	"y"	3		
"01221"	"廂"	"厢"	"s"	"ian"	1		
"01222"	"廉"		"l"	"ie"	1		
"01223"	"廈"	"厦"	"gh"	"o"	2	"廣廈，大廈，廈門"	
"01224"	"廓"		"kh"	"uaoh"			
"01225"	"廖"		"l"	"iau"	3		
"01226"	"廢"	"废"	"f"	"i"	3		
"01227"	"廚"	"厨"	"j"	"iu"	1		
"01228"	"廟"	"庙"	"m"	"iau"	3		
"01229"	"廝"	"厮"	"s"	"y"	1		
"01230"	"廣"	"广"	"k"	"uaon"	2		
"01231"	"廠"	"厂"	"ch"	"ian"	2		
"01232"	"龐"	"庞"	"b"	"aon"	1		
"01233"	"廬"	"庐"	"l"	"u"	1		
"01234"	"廳"	"厅"	"th"	"ieon"	1		
"01235"	"廷"		"d"	"ieon"	1		
"01236"	"延"		"gh"	"ie"	1		
"01237"	"建"		"k"	"ie"	3		
"01238"	"廿"		"n"	"iae"	3		
"01239"	"弁"		"b"	"ie"	3		
"01240"	"弄"		"l"	"on"	3		
"01241"	"弈"		"gh"	"ieoh"			
"01242"	"弊"		"b"	"i"	3		
"01243"	"式"		"sh"	"ieoh"			
"01244"	"弒"	"弑"	"s"	"y"	3		
"01245"	"弓"		"k"	"ion"	1		
"01246"	"弔"	"吊"	"t"	"iau"	3	"弔唁"	
"01247"	"引"		"gh"	"in"	2		
"01248"	"弘"		"gh"	"uon"	1		
"01249"	"弗"		"f"	"eh"			
"01250"	"弛"		"s"	"y"	2		
"01251"	"弟"		"d"	"i"	2		
"01252"	"弦"		"gh"	"iae"	1		
"01253"	"弧"		"gh"	"u"	1		
"01254"	"弩"		"n"	"u"	2		
"01255"	"弭"		"m"	"i"	2		
"01256"	"弱"		"n"	"iah"			
"01257"	"張"	"张"	"c"	"ian"	1		
"01258"	"強"	"强"	"g"	"ian"	1	"強烈，強度，堅強"	
	"強"	"强"	"g"	"ian"	2	"勉強，牽強"	
	"強"	"强"	"g"	"ian"	3	"倔強"	
"01259"	"弼"		"b"	"ih"			
"01260"	"彆"	"别"	"p"	"iaeh"			
"01261"	"彈"	"弹"	"d"	"ae"	1	"彈琴，評彈"	
	"彈"	"弹"	"d"	"ae"	3	"子彈，彈丸"	
"01262"	"彌"	"弥"	"m"	"i"	1		
"01263"	"彎"	"弯"		"uae"	1		
"01264"	"彗"		"gh"	"uei"	3		
"01265"	"彙"	"汇"	"gh"	"iu"	3	"詞彙"	
"01266"	"彞"	"彝"	"gh"	"i"	1		
"01267"	"彤"		"d"	"on"	1		
"01268"	"形"		"gh"	"ieon"	1		
"01269"	"彥"	"彦"	"ng"	"ie"	3		
"01270"	"彬"		"p"	"in"	1		
"01271"	"彩"		"tsh"	"ai"	2		
"01272"	"彫"	"雕"	"t"	"iau"	1		
"01273"	"彭"		"b"	"an"	1		
"01274"	"彰"		"c"	"ian"	1		
"01275"	"影"			"ieon"	2		
"01276"	"彷"		"b"	"aon"	1	"彷徨"	
	"彷"		"f"	"aon"	2	"彷彿"	
"01277"	"役"		"gh"	"ioh"			
"01278"	"往"		"gh"	"iaon"	2		
"01279"	"征"		"c"	"ieon"	1		
"01280"	"彿"		"f"	"eh"		"彷彿"	
"01281"	"彼"		"p"	"i"	2		
							
"01283"	"待"		"d"	"ai"	2		
"01284"	"徊"		"gh"	"uei"	1		
"01285"	"律"		"l"	"iuih"			"可念作lih或leh"
"01286"	"徇"		"z"	"iuin"	3		
"01287"	"後"	"后"	"gh"	"eu"	2	"前後，後面"	
	"後"	"后"	"gh"	"eu"	3		"动词"
"01288"	"徒"		"d"	"u"	1		
"01289"	"徑"	"径"	"k"	"ieon"	3		
"01290"	"徐"		"z"	"i"	1		
"01291"	"得"		"t"	"eoh"			
"01292"	"徙"		"s"	"i"	2		
"01293"	"從"	"从"	"z"	"ion"	1	"跟從，從來"	
	"從"	"从"	"tsh"	"ion"	1	"從容"	
	"從"	"从"	"z"	"ion"	3	"從兄弟"	
"01294"	"徘"		"b"	"ei"	1	"徘徊"	
"01295"	"御"		"ng"	"ei"	3	"御用，御賜"	
"01296"	"復"	"复"	"v"	"oh"		"復習，恢復"	
"01297"	"循"		"z"	"iuin"	1		
"01298"	"徨"		"gh"	"uaon"	1		
"01299"	"徬"		"b"	"aon"	3		
"01300"	"微"		"v"	"i"	1		
	"微"		"m"	"i"	1		"口语音"
"01301"	"徹"	"彻"	"ch"	"ieh"			
"01302"	"德"		"t"	"eoh"			
"01303"	"徵"	"征"	"c"	"ieon"	1	"徵兆，特徵"	
	"徵"	"徵"	"ts"	"y"	2	"宫商角徵羽"	
"01304"	"徽"		"h"	"iu"	1		
"01305"	"心"		"s"	"in"	1		
"01306"	"必"		"p"	"ih"			
"01307"	"忙"		"m"	"aon"	1		
"01308"	"忖"		"ts"	"en"	2		
"01309"	"忘"		"m"	"aon"	3		"口语音"
	"忘"		"v"	"aon"	3		
"01310"	"忌"		"g"	"i"	3		
"01311"	"志"		"ts"	"y"	3	"志气"	
"01312"	"忍"		"n"	"in"	2		
"01313"	"忱"		"zh"	"in"	1		
"01314"	"快"		"kh"	"ua"	3		
"01315"	"忝"		"th"	"iae"	2		
"01316"	"忠"		"c"	"ion"	1		
"01317"	"忽"		"h"	"ueh"			
"01318"	"念"		"n"	"iae"	3		
"01319"	"忿"		"v"	"en"	2	"忿忿"	
"01320"	"怏"			"ian"	3		
"01321"	"怔"		"c"	"ieon"	1		
"01322"	"怯"		"kh"	"ieh"			
"01323"	"怵"		"ch"	"iuih"			
"01324"	"怖"		"p"	"u"	3		
"01325"	"怪"		"k"	"ua"	3		
"01326"	"怕"		"ph"	"o"	3		
"01327"	"怡"		"gh"	"i"	1		
"01328"	"性"		"s"	"ieon"	3		
"01329"	"怒"		"n"	"u"	3		
"01330"	"思"		"s"	"y"	1		
"01331"	"怠"		"d"	"ai"	2		
"01332"	"急"		"k"	"ih"			
"01333"	"怎"		"ts"	"en"	2		
"01334"	"怨"			"ioe"	3		
"01335"	"恍"		"h"	"uaon"	2		
"01336"	"恰"		"kh"	"aeh"			
"01337"	"恨"		"gh"	"en"	3		
"01338"	"恢"		"kh"	"uei"	1		
"01339"	"恆"	"恒"	"gh"	"eon"	1		
"01340"	"恃"		"z"	"y"	2		
"01341"	"恬"		"d"	"iae"	1		
"01342"	"恫"		"d"	"on"	3		
"01343"	"恪"		"kh"	"aoh"			
"01344"	"恤"		"s"	"iuih"			
"01345"	"恙"		"gh"	"ian"	3		
"01346"	"恣"		"ts"	"y"	3		
"01347"	"恥"	"耻"	"tsh"	"y"	2		
"01348"	"恐"		"kh"	"ion"	2		
"01349"	"恕"		"s"	"y"	3		
"01350"	"恭"		"k"	"ion"	1		
"01351"	"恩"			"en"	1		
"01352"	"息"		"s"	"ieoh"			
"01353"	"悄"		"tsh"	"iau"	2		
"01354"	"悟"		"ng"	"u"	3		
"01355"	"悚"		"s"	"ion"	2		
"01356"	"悍"		"gh"	"oe"	3		
"01357"	"悔"		"h"	"uei"	3		
"01358"	"悌"		"d"	"i"	3		
"01359"	"悅"		"gh"	"ioeh"			
"01360"	"悖"		"b"	"ei"	3		
"01361"	"恿"		"gh"	"ion"	2		
"01362"	"患"		"gh"	"uae"	3		
"01363"	"悉"		"s"	"ih"			
"01364"	"悠"		"gh"	"ieu"	1		
							
"01366"	"惋"			"uoe"	3		
"01367"	"悴"		"z"	"iu"	3		
"01368"	"惦"		"t"	"iae"	3		
"01369"	"悽"		"ts"	"i"	1		
"01370"	"情"		"z"	"ieon"	1		
"01371"	"悻"		"gh"	"an"	2		
"01372"	"悵"	"怅"	"ch"	"ian"	3		
"01373"	"惜"		"s"	"ieoh"			
"01374"	"悼"		"d"	"au"	3		
"01375"	"惘"		"v"	"aon"	2		
"01376"	"惕"		"th"	"ieoh"			
"01377"	"惆"		"ch"	"ieu"	1		
"01378"	"惟"		"gh"	"iu"	1		
"01379"	"悸"		"gh"	"iu"	3		
"01380"	"惚"		"h"	"ueh"			
"01381"	"惑"		"gh"	"uoh"			
"01382"	"惡"	"恶"		"aoh"		"惡人，兇惡"	
	"惡"	"恶"		"u"	3	"可惡，厭惡"	
"01383"	"悲"		"p"	"ei"	1		
"01384"	"悶"	"闷"	"m"	"en"	3		
"01385"	"惠"		"gh"	"uei"	3		
"01386"	"愜"	"惬"	"kh"	"ieh"			
"01387"	"愣"		"l"	"en"	3		
"01388"	"惺"		"s"	"ieon"	1		
"01389"	"愕"		"ng"	"aoh"			
"01390"	"惰"		"d"	"ou"	2		
"01391"	"惻"	"恻"	"tsh"	"eoh"			
"01392"	"惴"		"c"	"iu"	3		
"01393"	"慨"		"kh"	"ai"	3		
"01394"	"惱"	"恼"	"n"	"au"	2		
"01395"	"愎"		"b"	"ieoh"			
"01396"	"惶"		"gh"	"uaon"	1		
"01397"	"愉"		"gh"	"iu"	1		
"01398"	"愀"		"tsh"	"iau"	2		
"01399"	"愚"		"ng"	"iu"	1		
"01400"	"意"			"i"	3		
"01401"	"慈"		"z"	"y"	1		
"01402"	"感"		"k"	"ee"	2		
"01403"	"想"		"s"	"ian"	2		
"01404"	"愛"	"爱"		"ai"	3		
"01405"	"惹"		"n"	"ia"	2		
"01406"	"愁"		"z"	"eu"	1		
"01407"	"愈"		"gh"	"iu"	3		
"01408"	"慎"		"zh"	"in"	3		
"01409"	"慌"		"h"	"uaon"	1		
"01410"	"慄"		"l"	"ih"			
"01411"	"慍"	"愠"		"iuin"	3		
"01412"	"愾"	"忾"	"kh"	"ai"	3		
"01413"	"愴"	"怆"	"ch"	"iaon"	3		
"01414"	"愧"		"k"	"iu"	3		
"01415"	"慇"	"殷"		"in"	1		
"01416"	"愿"		"ng"	"ioe"	3		
"01417"	"態"	"态"	"th"	"ai"	3		
"01418"	"慷"		"kh"	"aon"	2		
"01419"	"慢"		"m"	"ae"	3		
"01420"	"慣"		"k"	"uae"	3		
"01421"	"慟"	"恸"	"d"	"on"	3		
"01422"	"慚"	"惭"	"z"	"ae"	1		
"01423"	"慘"	"惨"	"tsh"	"ee"	2		
"01424"	"慶"	"庆"	"kh"	"ieon"	3		
"01425"	"慧"		"gh"	"uei"	3		
"01426"	"慮"	"虑"	"l"	"i"	3		
"01427"	"慝"		"th"	"eoh"			
"01428"	"慕"		"m"	"u"	3		
"01429"	"憂"	"忧"		"ieu"	1		
"01430"	"慼"		"tsh"	"ih"			
"01431"	"慰"			"iu"	3		
"01432"	"慫"	"怂"	"s"	"ion"	2		
"01433"	"慾"	"欲"	"gh"	"ioh"			
"01434"	"憧"		"ch"	"ion"	1		
"01435"	"憐"	"怜"	"l"	"iae"	1		
"01436"	"憫"	"悯"	"m"	"in"	2		
"01437"	"憎"		"z"	"eon"	1		
"01438"	"憬"		"k"	"ion"	2		
"01439"	"憚"	"惮"	"d"	"ae"	3		
"01440"	"憤"	"愤"	"v"	"en"	2	"憤怒，憤懣"	"怒"
	"憤"	"愤"	"v"	"en"	3	"不憤不啓，發憤"	"满"
"01441"	"憔"		"z"	"iau"	1		
"01442"	"憲"	"宪"	"h"	"ie"	3		
"01443"	"憑"	"凭"	"b"	"ieon"	1	"憑據"	
"01444"	"憩"		"kh"	"i"	3		
"01445"	"憊"	"惫"	"b"	"a"	3		
	"憊"	"惫"	"b"	"i"	3		"慣用音"
"01446"	"懔"		"l"	"in"	2		
"01447"	"憶"	"忆"		"i"	3		
"01448"	"憾"		"gh"	"ee"	3		
"01449"	"懂"		"t"	"on"	2		
"01450"	"懊"			"au"	3		
"01451"	"懈"		"k"	"a"	3		
"01452"	"應"	"应"		"ieon"	1	"應當"	
	"應"	"应"		"ieon"	3	"應答"	
"01453"	"懇"	"恳"	"kh"	"en"	2		
"01454"	"懦"		"n"	"ou"	3		
"01455"	"懣"	"懑"	"m"	"en"	3		
"01456"	"懲"	"惩"	"j"	"ieon"	1		
"01457"	"懷"	"怀"	"gh"	"ua"	1		
"01458"	"懶"	"懒"	"l"	"ae"	2		
"01459"	"懵"	"懵"	"m"	"on"	2		
"01460"	"懸"	"悬"	"gh"	"ioe"	1		
"01461"	"懺"	"忏"	"tsh"	"ae"	3		
"01462"	"懼"	"惧"	"g"	"iu"	3		
"01463"	"懾"	"慑"	"c"	"ieh"			
"01464"	"懿"			"i"	3		
"01465"	"戀"	"恋"	"l"	"ioe"	3		"可念作lie或loe"
"01466"	"戈"		"k"	"ou"	1		
"01467"	"戊"		"v"	"u"	3		
"01468"	"戎"		"n"	"ion"	1		
"01469"	"戌"		"s"	"iuih"			
"01470"	"戍"		"sh"	"iu"	3		
"01471"	"成"		"zh"	"ieon"	1		
"01472"	"戒"		"k"	"a"	3		
"01473"	"我"		"ng"	"ou"	2		
"01474"	"或"		"gh"	"uoh"			
"01475"	"戕"		"z"	"ian"	1		
"01476"	"戚"		"tsh"	"ih"			
"01477"	"戛"		"k"	"aeh"			
"01478"	"戟"		"k"	"ieoh"			
"01479"	"戡"		"kh"	"ee"	1		
"01480"	"戢"		"ts"	"ih"			
"01481"	"截"		"z"	"iaeh"			
"01482"	"戮"		"l"	"oh"			
"01483"	"戰"	"战"	"c"	"ie"	3		
"01484"	"戲"	"戏"	"h"	"i"	3		
"01485"	"戴"		"t"	"ai"	3	"愛戴，感恩戴德"	
	"戴"		"t"	"a"	3	"戴帽，穿戴"	"或写作“带”"
"01486"	"戳"		"tsh"	"iaoh"			
"01487"	"戶"	"户"	"gh"	"u"	2		
"01488"	"房"	"房"	"v"	"aon"	1		
"01489"	"戾"	"戾"	"l"	"i"	3		
"01490"	"所"		"s"	"u"	2		
"01491"	"扁"		"p"	"iae"	2	"扁桃體"	
	"扁"		"ph"	"ie"	1	"扁舟"	
"01492"	"扇"		"sh"	"ie"	3	"風扇"	
"01493"	"扈"		"gh"	"u"	2		
"01494"	"扉"		"f"	"i"	1		
"01495"	"手"		"sh"	"ieu"	2		
"01496"	"才"		"z"	"ai"	1		
"01497"	"扎"		"ts"	"aeh"			
"01498"	"打"		"t"	"an"	2		
"01499"	"扔"		"n"	"ieon"	1		
"01500"	"扒"		"b"	"o"	1		
"01501"	"扣"		"kh"	"eu"	3		
"01502"	"扛"		"k"	"aon"	1		
"01503"	"托"		"th"	"aoh"			
"01504"	"抄"		"tsh"	"au"	1		
"01505"	"抗"		"kh"	"aon"	3		
"01506"	"抖"		"t"	"eu"	2		
"01507"	"技"		"g"	"i"	3		
"01508"	"扶"		"v"	"u"	1		
"01509"	"抉"		"k"	"ioeh"			
"01510"	"扭"		"n"	"ieu"	2		
"01511"	"把"		"p"	"o"	2		
"01512"	"扼"			"ah"			
"01513"	"找"		"ts"	"au"	2		
"01514"	"批"		"ph"	"i"	1		
"01515"	"扳"		"p"	"ae"	1		
"01516"	"抒"		"s"	"y"	1		
"01517"	"扯"		"ch"	"ia"	2		
"01518"	"折"		"c"	"ieh"		"折扣"	
	"折"		"zh"	"ieh"		"折本"	
"01519"	"扮"		"p"	"ae"	3		
"01520"	"投"		"d"	"eu"	1		
"01521"	"抓"		"ts"	"au"	1	"抓頭"	"搔"
"01522"	"抑"			"ieoh"			
"01523"	"承"		"zh"	"ieon"	1		
"01524"	"拉"		"lh"	"a"	1		
"01525"	"拌"		"b"	"oe"	2		
"01526"	"拄"		"c"	"iu"	2		
"01527"	"抿"		"m"	"in"	2		
"01528"	"拂"		"f"	"eh"			
"01529"	"抹"		"m"	"oeh"		"抹殺"	
"01530"	"拒"		"g"	"ei"	2		
"01531"	"招"		"c"	"iau"	1		
"01532"	"披"		"ph"	"i"	1		
"01533"	"拓"		"th"	"aoh"			
"01534"	"拔"		"b"	"aeh"			
"01535"	"拋"	"抛"	"ph"	"au"	1		
"01536"	"拈"		"nh"	"iae"	1		
"01537"	"抨"		"ph"	"an"	1		
"01538"	"抽"		"ch"	"ieu"	1		
	"抽"		"j"	"ieu"	1		"又音"
"01539"	"押"			"aeh"			
"01540"	"拐"	"拐"	"k"	"ua"	2		
"01541"	"拙"		"c"	"ioeh"			
"01542"	"拇"		"m"	"eu"	2		
"01543"	"拍"		"ph"	"ah"			
"01544"	"抵"		"t"	"i"	2		
"01545"	"拚"		"ph"	"oe"	1	"拚命"	
"01546"	"抱"		"b"	"au"	2		
"01547"	"拘"		"k"	"iu"	1		
"01548"	"拖"		"th"	"ou"	1		
	"拖"		"th"	"a"	1		"滞音"
"01549"	"拗"			"au"	2	"拗斷，拗造型"	
	"拗"			"au"	3	"拗口，執拗"	
"01550"	"拆"		"tsh"	"ah"			
"01551"	"抬"		"d"	"ai"	1		
"01552"	"拎"		"lh"	"ieon"	1		
"01553"	"拜"		"p"	"a"	3		
"01554"	"挖"			"uaeh"			
"01555"	"按"			"oe"	3		
"01556"	"拼"		"ph"	"ieon"	1		
"01557"	"拭"		"sh"	"ieoh"			
"01558"	"持"		"dz"	"y"	1		
"01559"	"拮"		"k"	"iaeh"			
"01560"	"拽"		"gh"	"ieh"			
"01561"	"指"		"ts"	"y"	2		
"01562"	"拱"		"k"	"ion"	2		
"01563"	"拷"		"kh"	"au"	2		
"01564"	"拯"		"c"	"ieon"	2		
"01565"	"括"		"k"	"uaeh"			
"01566"	"拾"		"zh"	"ih"		"收拾，拾遺"	
	"拾"		"sh"	"ieh"		"拾級而上"	
							
"01568"	"挑"		"th"	"iau"	1	"挑擔"	
	"挑"		"th"	"iau"	2	"挑撥，挑戰"	
"01569"	"拳"		"g"	"ioe"	1		
"01570"	"挈"		"kh"	"iaeh"			
"01571"	"拿"		"n"	"o"	1		
"01572"	"捎"		"s"	"au"	1		
"01573"	"挾"	"挟"	"gh"	"iaeh"			
"01574"	"振"		"c"	"in"	3		
"01575"	"捕"		"b"	"u"	3		
"01576"	"捂"		"ng"	"u"			"抵触"
"01577"	"捆"		"kh"	"uen"	2		
"01578"	"捏"		"n"	"iaeh"			
"01579"	"捉"		"ts"	"iaoh"			
"01580"	"挺"		"d"	"ieon"	2		
"01581"	"捐"		"k"	"ioe"	1		
"01582"	"挽"		"m"	"ae"	2	"挽救"	
	"挽"		"v"	"ae"	2		
"01583"	"挪"		"n"	"ou"	1		
"01584"	"挫"		"tsh"	"ou"	3		
"01585"	"挨"			"ai"	1		
"01586"	"掠"		"l"	"iah"			
"01587"	"控"		"kh"	"on"	3		
"01588"	"捲"	"卷"	"k"	"ioe"	2		"动词"
"01589"	"掖"		"gh"	"ieoh"			
"01590"	"探"		"th"	"ee"	3		
"01591"	"接"		"ts"	"ieh"			
"01592"	"捷"		"z"	"ieh"			
"01593"	"捧"		"ph"	"on"	2		
"01594"	"掘"		"g"	"iuih"			
"01595"	"措"		"tsh"	"u"	3		
"01596"	"捱"	"挨"	"ng"	"a"	1		
"01597"	"掩"			"ie"	2		
"01598"	"掉"		"d"	"iau"	3		
"01599"	"掃"	"扫"	"s"	"au"	2	"掃地"	
	"掃"	"扫"	"s"	"au"	3	"掃帚星"	
"01600"	"掛"	"挂"	"k"	"uo"	3		
"01601"	"捫"	"扪"	"m"	"en"	1		
"01602"	"推"		"th"	"ei"	1		
"01603"	"掄"	"抡"	"l"	"en"	1		
"01604"	"授"		"zh"	"ieu"	3		
"01605"	"掙"	"挣"	"ts"	"an"	3		
"01606"	"採"	"采"	"tsh"	"ai"	2	"採摘"	
"01607"	"掬"		"k"	"ioh"			
"01608"	"排"		"b"	"a"	1		
"01609"	"掏"		"d"	"au"	1		"不同于普通话“掏”，普通话“掏”来自“搯”。"
"01610"	"掀"		"h"	"ie"	1		
"01611"	"捻"		"n"	"iaeh"			"捏"
	"捻"		"n"	"iae"	2		
"01612"	"捩"		"l"	"iaeh"			
"01613"	"捨"	"舍"	"sh"	"ia"	2	"捨得"	
"01614"	"掣"		"ch"	"i"	3		
"01615"	"掌"		"c"	"ian"	2		
"01616"	"描"		"m"	"iau"	1		
"01617"	"揀"	"拣"	"k"	"ae"	2		
"01618"	"揩"		"kh"	"a"	1		
"01619"	"揉"		"n"	"ieu"	1		
"01620"	"揆"		"g"	"iu"	2		
							
"01622"	"插"		"tsh"	"aeh"			
"01623"	"揣"		"tsh"	"a"	2		
"01624"	"提"		"d"	"i"	1		
"01625"	"握"			"uaoh"			
"01626"	"揖"			"ih"			
"01627"	"揭"		"k"	"ieh"			
"01628"	"揮"	"挥"	"h"	"iu"	1		
"01629"	"捶"		"zh"	"iu"	1		
"01630"	"援"		"gh"	"ioe"	1		
"01631"	"揪"		"ts"	"ieu"	1		
"01632"	"換"	"换"	"gh"	"uoe"	3		
"01633"	"摒"		"p"	"ieon"	3	"摒棄"	
"01634"	"揚"	"扬"	"gh"	"ian"	1		
"01635"	"搓"		"tsh"	"ou"	1		
"01636"	"搾"	"榨"	"ts"	"o"	3		
"01637"	"搞"		"k"	"au"	2		"来自“搅”"
	"搞"		"g"	"au"	2		"惯用音"
"01638"	"搪"		"d"	"aon"	1		
"01639"	"搭"		"t"	"eeh"			
"01640"	"搽"		"dz"	"o"	1		
"01641"	"搬"		"p"	"oe"	1		
"01642"	"搏"		"p"	"aoh"			
"01643"	"搜"		"s"	"eu"	1		
"01644"	"搔"	"搔"	"s"	"au"	1		
"01645"	"損"	"损"	"s"	"en"	2		
"01646"	"搶"	"抢"	"tsh"	"ian"	2		
"01647"	"搖"	"摇"	"gh"	"iau"	1		
"01648"	"搗"	"捣"	"t"	"au"	2		
"01649"	"撇"		"ph"	"iaeh"			
"01650"	"摘"		"ts"	"ah"			
"01651"	"摔"		"s"	"eh"			
"01652"	"撤"		"ch"	"ieh"			
"01653"	"摸"		"m"	"aoh"			
"01654"	"摟"	"搂"	"l"	"eu"	1		
"01655"	"摺"	"折"	"c"	"ieh"		"摺疊"	
"01656"	"摑"	"掴"	"k"	"uah"			
"01657"	"摧"		"z"	"ei"	1		
"01658"	"摩"		"m"	"ou"	1		
"01659"	"摯"	"挚"	"ts"	"y"	3		
"01660"	"摹"		"m"	"u"	1		
"01661"	"撞"		"dz"	"iaon"	3		
"01662"	"撲"	"扑"	"ph"	"oh"			
"01663"	"撈"	"捞"	"l"	"au"	1		
"01664"	"撐"	"撑"	"tsh"	"an"	1		
"01665"	"撰"		"z"	"oe"	2		
"01666"	"撥"	"拨"	"p"	"oeh"			
"01667"	"撓"	"挠"	"n"	"au"	1		
"01668"	"撕"		"s"	"y"	1		
