"汉字"	"拼音"	"IPA"	"注释"
"倭"	"oi3"	"oi˥˨"	"俗"
"窩"	"o1"	"o˧˦"	
"瘸"	"khue2"	"kʰuɛ˥˥"	
"靴"	"hia1"	"hia˧˦"	
"巴"	"pa1"	"pa˧˦"	
"疤"	"pa1"	"pa˧˦"	
"芭"	"pa1"	"pa˧˦"	
"把"	"pa3"	"pa˥˨"	"文"
"把"	"pe3"	"pɛ˥˨"	"白"
"爸"	"pa1"	"pa˧˦"	
"爸"	"pe4"	"pɛ˨˥"	"白"
"欛"	"pa5"	"pa˨˩˨"	
"壩"	"pa5"	"pa˨˩˨"	
"垻"	"pa5"	"pa˨˩˨"	
"霸"	"pa5"	"pa˨˩˨"	
"怕"	"phann5"	"pʰã˨˩˨"	
"琶"	"pe2"	"pɛ˥˥"	
"爬"	"pe2"	"pɛ˥˥"	
"麻"	"ba2"	"ba˥˥"	
"麻"	"mua2"	"mua˥˥"	"白"
"蟆"	"mo1"	"mo˧˦"	"俗"
"媽"	"ma1"	"ma˧˦"	
"媽"	"ma2"	"ma˥˥"	"又"
"媽"	"ma3"	"ma˥˨"	"祖母"
"馬"	"ma3"	"ma˥˨"	"文，~上"
"馬"	"be3"	"bɛ˥˨"	"白"
"碼"	"be3"	"bɛ˥˨"	
"罵"	"me6"	"mɛ˨˨"	
"拿"	"na3"	"na˥˨"	
"茶"	"te2"	"tɛ˥˥"	
"查"	"tsa1"	"tsa˧˦"	
"渣"	"tsa1"	"tsa˧˦"	
"詐"	"tsann5"	"tsã˨˩˨"	
"榨"	"tsann5"	"tsã˨˩˨"	
"炸"	"tsann5"	"tsã˨˩˨"	
"叉"	"tshe1"	"tsʰɛ˧˦"	
"杈"	"tshe1"	"tsʰɛ˧˦"	
"差"	"tsha1"	"tsʰa˧˦"	"文"
"差"	"tshe1"	"tsʰɛ˧˦"	"白"
"岔"	"tsha1"	"tsʰa˧˦"	"文"
"岔"	"tshe1"	"tsʰɛ˧˦"	"白"
"查"	"tshe2"	"tsʰɛ˥˥"	
"乍"	"tsann5"	"tsã˨˩˨"	
"沙"	"sa1"	"sa˧˦"	"文"
"沙"	"sua1"	"sua˧˦"	"白"
"紗"	"sa1"	"sa˧˦"	"文"
"紗"	"se1"	"sɛ˧˦"	"白"
"砂"	"sa1"	"sa˧˦"	
"鯊"	"sua1"	"sua˧˦"	
"嘉"	"kia1"	"kia˧˦"	
"家"	"ke1"	"kɛ˧˦"	
"傢"	"ke1"	"kɛ˧˦"	
"加"	"kia1"	"kia˧˦"	"文"
"加"	"ke1"	"kɛ˧˦"	"白"
"假"	"kia3"	"kia˥˨"	"文"
"假"	"kiann3"	"kiã˥˨"	"假期"
"假"	"ke3"	"kɛ˥˨"	"白"
"賈"	"kia3"	"kia˥˨"	
"稼"	"ke5"	"kɛ˨˩˨"	
"價"	"ke5"	"kɛ˨˩˨"	
"架"	"ke5"	"kɛ˨˩˨"	
"駕"	"ke5"	"kɛ˨˩˨"	
"嫁"	"ke5"	"kɛ˨˩˨"	
"牙"	"ge2"	"gɛ˥˥"	
"芽"	"ge2"	"gɛ˥˥"	
"衙"	"ge2"	"gɛ˥˥"	
"雅"	"ngia3"	"ŋia˥˨"	
"訝"	"gia2"	"gia˥˥"	
"霞"	"hia2"	"hia˥˥"	
"遐"	"hia2"	"hia˥˥"	
"瑕"	"hia2"	"hia˥˥"	
"蝦"	"he2"	"hɛ˥˥"	
"下"	"hia4"	"hia˨˥"	"文"
"下"	"he4"	"hɛ˨˥"	"白，動詞"
"下"	"e4"	"ɛ˨˥"	"白，方位"
"下"	"e6"	"ɛ˨˨"	"白，一~"
"下"	"ke4"	"kɛ˨˥"	"白，低矮"
"廈"	"he6"	"hɛ˨˨"	
"暇"	"hia2"	"hia˥˥"	
"夏"	"he6"	"hɛ˨˨"	
"丫"	"a1"	"a˧˦"	
"鴉"	"a1"	"a˧˦"	
"啞"	"e3"	"ɛ˥˨"	
"亞"	"a5"	"a˨˩˨"	
"亞"	"a1"	"a˧˦"	"又，~洲"
"嗟"	"tsa1"	"tsa˧˦"	
"姐"	"tse3"	"tsɛ˥˨"	
"姐"	"tsia3"	"tsia˥˨"	"小~"
"且"	"tshiann3"	"tsʰiã˥˨"	
"藉"	"tsia4"	"tsia˨˥"	
"些"	"se1"	"sɛ˧˦"	
"寫"	"sia3"	"sia˥˨"	
"瀉"	"sia5"	"sia˨˩˨"	
"卸"	"sia5"	"sia˨˩˨"	
"邪"	"sia2"	"sia˥˥"	
"斜"	"sia2"	"sia˥˥"	"文"
"斜"	"sia1"	"sia˧˦"	"白"
"謝"	"sia6"	"sia˨˨"	"文"
"謝"	"tsia6"	"tsia˨˨"	"白，姓氏"
"爹"	"tia1"	"tia˧˦"	
"遮"	"tsia1"	"tsia˧˦"	
"者"	"tsia3"	"tsia˥˨"	
"蔗"	"tsia5"	"tsia˨˩˨"	
"車"	"tshia1"	"tsʰia˧˦"	
"扯"	"tshe3"	"tsʰɛ˥˨"	
"蛇"	"tsua2"	"tsua˥˥"	
"射"	"sia6"	"sia˨˨"	
"奢"	"tshia1"	"tsʰia˧˦"	
"捨"	"sia5"	"sia˨˩˨"	
"赦"	"sia5"	"sia˨˩˨"	
"舍"	"sia5"	"sia˨˩˨"	
"社"	"sia4"	"sia˨˥"	
"惹"	"jia3"	"dzia˥˨"	
"耶"	"ia1"	"ia˧˦"	
"椰"	"ia2"	"ia˥˥"	
"爺"	"ia2"	"ia˥˥"	
"冶"	"ia3"	"ia˥˨"	
"也"	"ia3"	"ia˥˨"	
"野"	"ia3"	"ia˥˨"	
"夜"	"menn5"	"mɛ̃˨˩˨"	"俗，又"
"夜"	"menn2"	"mɛ̃˥˥"	"訓“暝”"
"傻"	"sa4"	"sa˨˥"	
"耍"	"sng3"	"sŋ˥˨"	"訓“爽”"
"瓜"	"kue1"	"kuɛ˧˦"	
"蝸"	"o1"	"o˧˦"	"俗"
"蝸"	"ua1"	"ua˧˦"	"俗，又"
"寡"	"kuann3"	"kuã˥˨"	
"咵"	"khua1"	"kʰua˧˦"	
"垮"	"khua1"	"kʰua˧˦"	
"跨"	"khua1"	"kʰua˧˦"	
"娃"	"ua1"	"ua˧˦"	
"瓦"	"ua1"	"ua˧˦"	"文"
"瓦"	"hiann4"	"hiã˨˥"	"白"
"花"	"hua1"	"hua˧˦"	"文"
"花"	"hue1"	"huɛ˧˦"	"白"
"化"	"hua1"	"hua˧˦"	"替"
"化"	"hue5"	"huɛ˨˩˨"	
"華"	"hua1"	"hua˧˦"	
"華"	"hua2"	"hua˥˥"	
"划"	"hua2"	"hua˥˥"	"划算"
"划"	"ko5"	"ko˨˩˨"	"~船"
"蛙"	"ua1"	"ua˧˦"	
"洼"	"ua1"	"ua˧˦"	
"補"	"pou3"	"pou˥˨"	
"譜"	"phou3"	"pʰou˥˨"	
"布"	"pou5"	"pou˨˩˨"	
"佈"	"pu5"	"pu˨˩˨"	"文"
"佈"	"pou5"	"pou˨˩˨"	"~田"
"鋪"	"phou1"	"pʰou˧˦"	
"普"	"phou3"	"pʰou˥˨"	
"浦"	"phou3"	"pʰou˥˨"	
"鋪"	"phou5"	"pʰou˨˩˨"	
"怖"	"pu5"	"pu˨˩˨"	
"菩"	"phu2"	"pʰu˥˥"	
"蒲"	"phu2"	"pʰu˥˥"	
"脯"	"pou3"	"pou˥˨"	
"部"	"pou4"	"pou˨˥"	
"簿"	"phou4"	"pʰou˨˥"	
"步"	"pou6"	"pou˨˨"	
"捕"	"pu1"	"pu˧˦"	
"埠"	"pou1"	"pou˧˦"	
"模"	"mo1"	"mo˧˦"	"文"
"模"	"mo2"	"mo˥˥"	"文，又"
"模"	"bou2"	"bou˥˥"	
"暮"	"mo4"	"mo˨˥"	
"墓"	"mo4"	"mo˨˥"	
"募"	"mo4"	"mo˨˥"	
"慕"	"mo4"	"mo˨˥"	
"都"	"tou1"	"tou˧˦"	
"都"	"to1"	"to˧˦"	"口語"
"堵"	"tu3"	"tu˥˨"	
"賭"	"tu3"	"tu˥˨"	
"肚"	"tou3"	"tou˥˨"	
"妒"	"kou5"	"kou˨˩˨"	
"土"	"thou3"	"tʰou˥˨"	
"吐"	"thou5"	"tʰou˨˩˨"	
"兔"	"thou5"	"tʰou˨˩˨"	
"途"	"thu2"	"tʰu˥˥"	
"屠"	"tou2"	"tou˥˥"	
"圖"	"thu2"	"tʰu˥˥"	"文"
"圖"	"tou2"	"tou˥˥"	
"徒"	"thu2"	"tʰu˥˥"	
"塗"	"thu2"	"tʰu˥˥"	"文"
"塗"	"tou2"	"tou˥˥"	
"塗"	"to2"	"to˥˥"	"又，口語"
"塗"	"thou2"	"tʰou˥˥"	"白"
"肚"	"tou4"	"tou˨˥"	
"杜"	"tou4"	"tou˨˥"	
"度"	"tou6"	"tou˨˨"	
"渡"	"tou6"	"tou˨˨"	
"鍍"	"tou6"	"tou˨˨"	
"奴"	"nou2"	"nou˥˥"	
"孥"	"nou1"	"nou˧˦"	
"孥"	"nou2"	"nou˥˥"	
"努"	"no5"	"no˨˩˨"	
"怒"	"no5"	"no˨˩˨"	
"盧"	"lou2"	"lou˥˥"	
"爐"	"lou2"	"lou˥˥"	
"鹵"	"lou3"	"lou˥˨"	
"鹵"	"lou4"	"lou˨˥"	
"魯"	"lu3"	"lu˥˨"	
"櫓"	"lu3"	"lu˥˨"	
"虜"	"lu3"	"lu˥˨"	
"露"	"lou5"	"lou˨˩˨"	
"露"	"lou6"	"lou˨˨"	"名詞"
"路"	"lou6"	"lou˨˨"	
"賂"	"lu4"	"lu˨˥"	
"租"	"tsou1"	"tsou˧˦"	
"祖"	"tsou3"	"tsou˥˨"	
"組"	"tsu1"	"tsu˧˦"	
"粗"	"tshou1"	"tsʰou˧˦"	
"醋"	"tshou5"	"tsʰou˨˩˨"	
"錯"	"tsho5"	"tsʰo˨˩˨"	
"措"	"tshu5"	"tsʰu˨˩˨"	
"厝"	"tshu5"	"tsʰu˨˩˨"	"替"
"蘇"	"sou1"	"sou˧˦"	
"酥"	"sou1"	"sou˧˦"	
"素"	"su5"	"su˨˩˨"	"文"
"素"	"sou5"	"sou˨˩˨"	"味~"
"塑"	"sok7"	"sok˧˨"	"俗"
"塑"	"suak7"	"suak˧˨"	"俗，又"
"訴"	"su5"	"su˨˩˨"	
"辜"	"ku1"	"ku˧˦"	"文"
"辜"	"kou1"	"kou˧˦"	
"孤"	"kou1"	"kou˧˦"	
"箍"	"khou1"	"kʰou˧˦"	
"姑"	"kou1"	"kou˧˦"	
"估"	"kou3"	"kou˥˨"	
"古"	"kou3"	"kou˥˨"	
"股"	"kou3"	"kou˥˨"	
"鼓"	"kou3"	"kou˥˨"	
"故"	"ku5"	"ku˨˩˨"	
"故"	"ku6"	"ku˨˨"	"訓“舊”"
"顧"	"ku5"	"ku˨˩˨"	"文"
"顧"	"kou5"	"kou˨˩˨"	
"固"	"ku5"	"ku˨˩˨"	
"雇"	"kou5"	"kou˨˩˨"	
"枯"	"kou1"	"kou˧˦"	
"苦"	"khou3"	"kʰou˥˨"	
"庫"	"khou5"	"kʰou˨˩˨"	
"褲"	"khou5"	"kʰou˨˩˨"	
"梧"	"ngo2"	"ŋo˥˥"	
"吾"	"u2"	"u˥˥"	
"吳"	"gou2"	"gou˥˥"	
"五"	"u3"	"u˥˨"	"文，二一添作~"
"五"	"ngou3"	"ŋou˥˨"	"文"
"五"	"ngou4"	"ŋou˨˥"	"白"
"午"	"ngou3"	"ŋou˥˨"	"文"
"午"	"ngou4"	"ŋou˨˥"	"白，地支"
"伍"	"ngou3"	"ŋou˥˨"	
"悟"	"ngo4"	"ŋo˨˥"	
"悟"	"ngo2"	"ŋo˥˥"	"又，孫~空"
"誤"	"gou6"	"gou˨˨"	
"呼"	"u1"	"u˧˦"	"文"
"呼"	"hu1"	"hu˧˦"	"文，又"
"呼"	"hou1"	"hou˧˦"	"招~"
"呼"	"khou1"	"kʰou˧˦"	"白"
"虎"	"hounn3"	"hõu˥˨"	
"滸"	"hu3"	"hu˥˨"	
"戽"	"hou5"	"hou˨˩˨"	
"乎"	"hu1"	"hu˧˦"	
"壺"	"hu2"	"hu˥˥"	
"胡"	"hu2"	"hu˥˥"	"文"
"胡"	"hou2"	"hou˥˥"	"~椒"
"胡"	"ou2"	"ou˥˥"	"白，姓氏"
"鬍"	"hou2"	"hou˥˥"	
"狐"	"hu2"	"hu˥˥"	"文"
"狐"	"hou2"	"hou˥˥"	
"湖"	"ou2"	"ou˥˥"	
"糊"	"hu2"	"hu˥˥"	"文"
"糊"	"kou2"	"kou˥˥"	"白"
"戶"	"hou4"	"hou˨˥"	
"滬"	"hu4"	"hu˨˥"	
"互"	"hu4"	"hu˨˥"	
"護"	"hu4"	"hu˨˥"	
"烏"	"ou1"	"ou˧˦"	
"污"	"u1"	"u˧˦"	
"惡"	"u5"	"u˨˩˨"	
"女"	"ni3"	"ni˥˨"	"文，口語"
"女"	"nng3"	"nŋ˥˨"	
"廬"	"lu2"	"lu˥˥"	"文"
"廬"	"lou2"	"lou˥˥"	"~山"
"驢"	"lur2"	"lɯ˥˥"	
"呂"	"lur4"	"lɯ˨˥"	
"侶"	"lur4"	"lɯ˨˥"	
"旅"	"li3"	"li˥˨"	
"慮"	"lur4"	"lɯ˨˥"	
"濾"	"lur4"	"lɯ˨˥"	
"蛆"	"tsu1"	"tsu˧˦"	"俗"
"疽"	"tsu1"	"tsu˧˦"	"俗"
"胥"	"su1"	"su˧˦"	
"絮"	"su5"	"su˨˩˨"	"文"
"絮"	"tsheu5"	"tsʰɛu˨˩˨"	"替"
"徐"	"sur2"	"sɯ˥˥"	"文"
"徐"	"tshur2"	"tsʰɯ˥˥"	"白"
"序"	"su4"	"su˨˥"	
"緒"	"su3"	"su˥˨"	
"叙"	"su4"	"su˨˥"	
"豬"	"tur1"	"tɯ˧˦"	
"貯"	"teu3"	"tɛu˥˨"	
"著"	"tu5"	"tu˨˩˨"	
"褚"	"su3"	"su˥˨"	
"除"	"tur2"	"tɯ˥˥"	
"儲"	"thu2"	"tʰu˥˥"	
"苧"	"teu4"	"tɛu˨˥"	
"箸"	"tur6"	"tɯ˨˨"	
"阻"	"tso3"	"tso˥˨"	
"初"	"tsho1"	"tsʰo˧˦"	"文"
"初"	"tsheu1"	"tsʰɛu˧˦"	"白"
"楚"	"tsho3"	"tsʰo˥˨"	
"鋤"	"tsho2"	"tsʰo˥˥"	"文"
"鋤"	"tur2"	"tɯ˥˥"	"~頭"
"鋤"	"thur2"	"tʰɯ˥˥"	"~草"
"疏"	"so1"	"so˧˦"	"文"
"疏"	"so5"	"so˨˩˨"	"文"
"疏"	"seu1"	"sɛu˧˦"	"白"
"蔬"	"so1"	"so˧˦"	
"梳"	"seu1"	"sɛu˧˦"	
"所"	"so3"	"so˥˨"	
"諸"	"tsu1"	"tsu˧˦"	
"煮"	"tsur3"	"tsɯ˥˨"	
"處"	"tshu5"	"tsʰu˨˩˨"	
"書"	"tsur1"	"tsɯ˧˦"	
"舒"	"su1"	"su˧˦"	"文"
"舒"	"tshur1"	"tsʰɯ˧˦"	"白，鋪"
"鼠"	"tshur3"	"tsʰɯ˥˨"	
"暑"	"su3"	"su˥˨"	
"黍"	"siu3"	"siu˥˨"	
"庶"	"su5"	"su˨˩˨"	
"恕"	"su5"	"su˨˩˨"	
"墅"	"su3"	"su˥˨"	
"薯"	"tsur2"	"tsɯ˥˥"	
"署"	"su3"	"su˥˨"	
"如"	"ju2"	"dzu˥˥"	
"汝"	"ju3"	"dzu˥˨"	"文"
"汝"	"lur3"	"lɯ˥˨"	"白"
"居"	"kur1"	"kɯ˧˦"	
"車"	"kur1"	"kɯ˧˦"	
"舉"	"kur3"	"kɯ˥˨"	
"鋸"	"kur5"	"kɯ˨˩˨"	
"據"	"kur4"	"kɯ˨˥"	
"墟"	"hur1"	"hɯ˧˦"	
"去"	"khur5"	"kʰɯ˨˩˨"	
"渠"	"khur2"	"kʰɯ˥˥"	
"巨"	"kur4"	"kɯ˨˥"	
"距"	"kur4"	"kɯ˨˥"	
"拒"	"kur4"	"kɯ˨˥"	
"遽"	"kur4"	"kɯ˨˥"	
"魚"	"hur2"	"hɯ˥˥"	
"漁"	"hur2"	"hɯ˥˥"	
"語"	"gur3"	"gɯ˥˨"	
"御"	"gur6"	"gɯ˨˨"	
"禦"	"gur4"	"gɯ˨˥"	
"馭"	"gur4"	"gɯ˨˥"	
"虛"	"hur1"	"hɯ˧˦"	
"噓"	"hur1"	"hɯ˧˦"	
"許"	"hur3"	"hɯ˥˨"	
"許"	"khou3"	"kʰou˥˨"	"白，姓氏"
"淤"	"ur5"	"ɯ˨˩˨"	
"於"	"i1"	"i˧˦"	
"余"	"ur2"	"ɯ˥˥"	
"餘"	"ur2"	"ɯ˥˥"	
"與"	"ur3"	"ɯ˥˨"	
"飫"	"ur5"	"ɯ˨˩˨"	
"譽"	"ur4"	"ɯ˨˥"	
"預"	"ur4"	"ɯ˨˥"	
"豫"	"ur4"	"ɯ˨˥"	
"夫"	"hu1"	"hu˧˦"	"文"
"夫"	"pou1"	"pou˧˦"	"白"
"膚"	"hu1"	"hu˧˦"	
"甫"	"phou3"	"pʰou˥˨"	
"斧"	"pou3"	"pou˥˨"	
"府"	"hu3"	"hu˥˨"	
"腑"	"hu3"	"hu˥˨"	
"俯"	"hu3"	"hu˥˨"	
"賦"	"hu5"	"hu˨˩˨"	
"傅"	"hu5"	"hu˨˩˨"	"文"
"傅"	"pou5"	"pou˨˩˨"	"白，姓氏"
"付"	"hu5"	"hu˨˩˨"	
"敷"	"hu1"	"hu˧˦"	"文"
"敷"	"phou1"	"pʰou˧˦"	"白"
"俘"	"hu1"	"hu˧˦"	
"撫"	"bu3"	"bu˥˨"	
"赴"	"hu5"	"hu˨˩˨"	
"訃"	"hu5"	"hu˨˩˨"	
"芙"	"phu2"	"pʰu˥˥"	
"符"	"hu2"	"hu˥˥"	
"扶"	"hu2"	"hu˥˥"	
"釜"	"hu3"	"hu˥˨"	
"腐"	"hu1"	"hu˧˦"	
"腐"	"hu6"	"hu˨˨"	"又，豆~"
"輔"	"hu4"	"hu˨˥"	
"父"	"hu4"	"hu˨˥"	
"父"	"pe4"	"pɛ˨˥"	"訓"
"附"	"hu5"	"hu˨˩˨"	
"毋"	"bo2"	"bo˥˥"	
"巫"	"bu2"	"bu˥˥"	
"誣"	"bu2"	"bu˥˥"	
"無"	"bu2"	"bu˥˥"	"~數"
"無"	"bo2"	"bo˥˥"	
"舞"	"bu3"	"bu˥˨"	
"舞"	"mong4"	"moŋ˨˥"	"白"
"侮"	"bu3"	"bu˥˨"	
"武"	"bu3"	"bu˥˨"	
"鵡"	"bu3"	"bu˥˨"	
"霧"	"bu6"	"bu˨˨"	
"務"	"bu4"	"bu˨˥"	
"縷"	"lu3"	"lu˥˨"	
"屢"	"lu3"	"lu˥˨"	
"趨"	"tshu1"	"tsʰu˧˦"	
"取"	"tshu3"	"tsʰu˥˨"	
"取"	"tshiu3"	"tsʰiu˥˨"	"白"
"娶"	"tshu3"	"tsʰu˥˨"	
"趣"	"tshu5"	"tsʰu˨˩˨"	
"聚"	"tsu4"	"tsu˨˥"	
"需"	"su1"	"su˧˦"	
"須"	"su1"	"su˧˦"	
"鬚"	"tshiu1"	"tsʰiu˧˦"	
"蛛"	"tu1"	"tu˧˦"	
"株"	"tsu1"	"tsu˧˦"	
"誅"	"tu1"	"tu˧˦"	
"駐"	"tsu4"	"tsu˨˥"	
"厨"	"tou2"	"tou˥˥"	
"柱"	"thiau4"	"tʰiau˨˥"	
"住"	"tsu4"	"tsu˨˥"	
"芻"	"tshu1"	"tsʰu˧˦"	
"雛"	"tshu1"	"tsʰu˧˦"	
"數"	"su5"	"su˨˩˨"	"無~"
"數"	"siau5"	"siau˨˩˨"	"白"
"珠"	"tsu1"	"tsu˧˦"	
"珠"	"tsiu1"	"tsiu˧˦"	"白，目~"
"朱"	"tsu1"	"tsu˧˦"	
"主"	"tsu3"	"tsu˥˨"	
"注"	"tsu5"	"tsu˨˩˨"	
"鑄"	"tsu5"	"tsu˨˩˨"	
"樞"	"khu1"	"kʰu˧˦"	
"輸"	"su1"	"su˧˦"	
"戍"	"sue5"	"suɛ˨˩˨"	
"輸"	"su1"	"su˧˦"	
"殊"	"su2"	"su˥˥"	
"豎"	"su4"	"su˨˥"	
"樹"	"su4"	"su˨˥"	"文"
"樹"	"tshiu6"	"tsʰiu˨˨"	"白"
"儒"	"ju2"	"dzu˥˥"	
"乳"	"ju3"	"dzu˥˨"	
"拘"	"khu1"	"kʰu˧˦"	
"駒"	"khu1"	"kʰu˧˦"	
"俱"	"ku4"	"ku˨˥"	
"矩"	"kur3"	"kɯ˥˨"	
"句"	"ku5"	"ku˨˩˨"	
"區"	"khu1"	"kʰu˧˦"	
"驅"	"khu1"	"kʰu˧˦"	
"瞿"	"khur2"	"kʰɯ˥˥"	
"具"	"ku4"	"ku˨˥"	
"懼"	"ku4"	"ku˨˥"	
"栩"	"hu3"	"hu˥˨"	
"虞"	"ngo2"	"ŋo˥˥"	
"愚"	"ngo2"	"ŋo˥˥"	
"娛"	"u2"	"u˥˥"	
"娛"	"gu2"	"gu˥˥"	"又"
"遇"	"ngo4"	"ŋo˨˥"	
"寓"	"ngo4"	"ŋo˨˥"	
"寓"	"ngo2"	"ŋo˥˥"	"又"
"吁"	"ju4"	"dzu˨˥"	
"迂"	"u1"	"u˧˦"	
"于"	"u1"	"u˧˦"	"單~"
"盂"	"hu2"	"hu˥˥"	"訓"
"雨"	"u3"	"u˥˨"	"文，節氣"
"雨"	"hou4"	"hou˨˥"	"白"
"禹"	"u3"	"u˥˨"	
"宇"	"u3"	"u˥˨"	
"羽"	"u3"	"u˥˨"	
"芋"	"ou6"	"ou˨˨"	
"逾"	"ju2"	"dzu˥˥"	
"榆"	"ju2"	"dzu˥˥"	
"愉"	"ju2"	"dzu˥˥"	
"愈"	"ju3"	"dzu˥˨"	
"喻"	"ju4"	"dzu˨˥"	
"裕"	"ju4"	"dzu˨˥"	
"獃"	"tai1"	"tai˧˦"	
"戴"	"tai5"	"tai˨˩˨"	"文"
"戴"	"to5"	"to˨˩˨"	"白，姓氏"
"戴"	"ti5"	"ti˨˩˨"	"白，~帽"
"胎"	"tho1"	"tʰo˧˦"	
"台"	"thai1"	"tʰai˧˦"	
"態"	"thai5"	"tʰai˨˩˨"	
"貸"	"tai5"	"tai˨˩˨"	
"臺"	"thai2"	"tʰai˥˥"	
"臺"	"tai2"	"tai˥˥"	"祝英~"
"苔"	"thai2"	"tʰai˥˥"	"文"
"苔"	"thi2"	"tʰi˥˥"	"白，青~"
"抬"	"thai2"	"tʰai˥˥"	
"殆"	"tai4"	"tai˨˥"	
"待"	"thai4"	"tʰai˨˥"	
"怠"	"tai4"	"tai˨˥"	
"代"	"tai5"	"tai˨˩˨"	"交~"
"代"	"to6"	"to˨˨"	"白"
