"字目"	"读音"	"注释"	"声母"	"韵母"	"声调"
"殴"	"au˨˨˧"		"ʔ"	"au"	"˨˨˧"
"沤"	"au˨˩"		"ʔ"	"au"	"˨˩"
"後"	"au˨˩˧"		"ʔ"	"au"	"˨˩˧"
"咬"	"ãuʔ˥˦"		"ʔ"	"ãuʔ"	"˥˦"
"鸭"	"aʔ˧˨"		"ʔ"	"aʔ"	"˧˨"
"押"	"aʔ˧˨"		"ʔ"	"aʔ"	"˧˨"
"猫"	"ba˦˦"	"老"	"b"	"a"	"˦˦"
"爬"	"ba˨˩"	"口"	"b"	"a"	"˨˩"
"眉"	"bai˦˦"		"b"	"ai"	"˦˦"
"楣"	"bai˦˦"		"b"	"ai"	"˦˦"
"跛"	"bai˥˧"		"b"	"ai"	"˥˧"
"墨"	"bak˥˦"		"b"	"ak"	"˥˦"
"木"	"bak˥˦"		"b"	"ak"	"˥˦"
"卯"	"bau˥˧"		"b"	"au"	"˥˧"
"马"	"be˥˧"		"b"	"e"	"˥˧"
"码"	"be˥˧"		"b"	"e"	"˥˧"
"麦"	"beʔ˥˦"		"b"	"eʔ"	"˥˦"
"微"	"bi˦˦"		"b"	"i"	"˦˦"
"未"	"bi˧˩˩"		"b"	"i"	"˧˩˩"
"味"	"bi˧˩˩"		"b"	"i"	"˧˩˩"
"密"	"bik˥˦"	"满"	"b"	"ik"	"˥˦"
"蜜"	"bik˥˦"		"b"	"ik"	"˥˦"
"描"	"bio˦˦"		"b"	"io"	"˦˦"
"庙"	"bio˧˩˩"		"b"	"io"	"˧˩˩"
"篾"	"biʔ˥˦"		"b"	"iʔ"	"˥˦"
"无"	"bo˦˦"		"b"	"o"	"˦˦"
"母"	"bo˥˧"		"b"	"o"	"˥˧"
"拇"	"bo˥˧"		"b"	"o"	"˥˧"
"磨"	"bo˧˩˩"		"b"	"o"	"˧˩˩"
"帽"	"bo˧˩˩"		"b"	"o"	"˧˩˩"
"买"	"boi˥˧"		"b"	"oi"	"˥˧"
"卖"	"boi˧˩˩"		"b"	"oi"	"˧˩˩"
"模"	"bou˦˦"		"b"	"ou"	"˦˦"
"牡"	"bou˥˧"		"b"	"ou"	"˥˧"
"母"	"bou˥˧"	"妻子"	"b"	"ou"	"˥˧"
"戊"	"bou˧˩˩"		"b"	"ou"	"˧˩˩"
"巫"	"bvu˦˦"		"bv"	"u"	"˦˦"
"诬"	"bvu˦˦"		"bv"	"u"	"˦˦"
"芜"	"bvu˦˦"		"bv"	"u"	"˦˦"
"抚"	"bvu˥˧"		"bv"	"u"	"˥˧"
"武"	"bvu˥˧"		"bv"	"u"	"˥˧"
"舞"	"bvu˥˧"		"bv"	"u"	"˥˧"
"侮"	"bvu˥˧"		"bv"	"u"	"˥˧"
"务"	"bvu˨˩˧"		"bv"	"u"	"˨˩˧"
"妇"	"bvu˨˩˧"	"又"	"bv"	"u"	"˨˩˧"
"孵"	"bvu˧˩˩"		"bv"	"u"	"˧˩˩"
"雾"	"bvu˧˩˩"		"bv"	"u"	"˧˩˩"
"磨"	"bvua˦˦"		"bv"	"ua"	"˦˦"
"亡"	"bvuaŋ˦˦"		"bv"	"uaŋ"	"˦˦"
"忘"	"bvuaŋ˦˦"		"bv"	"uaŋ"	"˦˦"
"望"	"bvuaŋ˨˩˧"		"bv"	"uaŋ"	"˨˩˧"
"万"	"bvuaŋ˧˩˩"		"bv"	"uaŋ"	"˧˩˩"
"末"	"bvuaʔ˥˦"		"bv"	"uaʔ"	"˥˦"
"沫"	"bvuaʔ˥˦"		"bv"	"uaʔ"	"˥˦"
"抹"	"bvuaʔ˧˨"		"bv"	"uaʔ"	"˧˨"
"梅"	"bvue˦˦"		"bv"	"ue"	"˦˦"
"媒"	"bvue˦˦"		"bv"	"ue"	"˦˦"
"煤"	"bvue˦˦"		"bv"	"ue"	"˦˦"
"莓"	"bvue˦˦"		"bv"	"ue"	"˦˦"
"霉"	"bvue˦˦"		"bv"	"ue"	"˦˦"
"尾"	"bvue˥˧"		"bv"	"ue"	"˥˧"
"未"	"bvue˧˩˩"		"bv"	"ue"	"˧˩˩"
"煨"	"bvui˦˦"		"bv"	"ui"	"˦˦"
"微"	"bvui˦˦"	"又"	"bv"	"ui"	"˦˦"
"吠"	"bvui˨˩"		"bv"	"ui"	"˨˩"
"痱"	"bvui˨˩"		"bv"	"ui"	"˨˩"
"玫"	"bvuŋ˦˦"		"bv"	"uŋ"	"˦˦"
"文"	"bvuŋ˦˦"		"bv"	"uŋ"	"˦˦"
"纹"	"bvuŋ˦˦"		"bv"	"uŋ"	"˦˦"
"蚊"	"bvuŋ˨˨˧"		"bv"	"uŋ"	"˨˨˧"
"闻"	"bvuŋ˨˩˧"		"bv"	"uŋ"	"˨˩˧"
"儿"	"dzi˦˦"		"dz"	"i"	"˦˦"
"耳"	"dzi˥˧"	"又"	"dz"	"i"	"˥˧"
"二"	"dzi˨˩˧"		"dz"	"i"	"˨˩˧"
"二"	"dzi˧˩˩"		"dz"	"i"	"˧˩˩"
"字"	"dzi˧˩˩"		"dz"	"i"	"˧˩˩"
"惹"	"dzia˥˧"		"dz"	"ia"	"˥˧"
"热"	"dziak˥˦"		"dz"	"iak"	"˥˦"
"若"	"dziak˥˦"		"dz"	"iak"	"˥˦"
"弱"	"dziak˥˦"		"dz"	"iak"	"˥˦"
"染"	"dziam˥˧"		"dz"	"iam"	"˥˧"
"冉"	"dziam˥˧"		"dz"	"iam"	"˥˧"
"然"	"dziaŋ˦˦"		"dz"	"iaŋ"	"˦˦"
"燃"	"dziaŋ˦˦"		"dz"	"iaŋ"	"˦˦"
"瓤"	"dziaŋ˦˦"		"dz"	"iaŋ"	"˦˦"
"壤"	"dziaŋ˥˧"		"dz"	"iaŋ"	"˥˧"
"攘"	"dziaŋ˥˧"		"dz"	"iaŋ"	"˥˧"
"嚷"	"dziaŋ˥˧"		"dz"	"iaŋ"	"˥˧"
"让"	"dziaŋ˨˩˧"		"dz"	"iaŋ"	"˨˩˧"
"廿"	"dziap˥˦"		"dz"	"iap"	"˥˦"
"挠"	"dziau˦˦"		"dz"	"iau"	"˦˦"
"抓"	"dziau˦˦"	"训"	"dz"	"iau"	"˦˦"
"饶"	"dziau˦˦"		"dz"	"iau"	"˦˦"
"爪"	"dziau˥˧"		"dz"	"iau"	"˥˧"
"扰"	"dziau˥˧"		"dz"	"iau"	"˥˧"
"绕"	"dziau˨˩"		"dz"	"iau"	"˨˩"
"疾"	"dzik˥˦"	"又"	"dz"	"ik"	"˥˦"
"日"	"dzik˥˦"		"dz"	"ik"	"˥˦"
"壬"	"dzim˦˦"		"dz"	"im"	"˦˦"
"赁"	"dzim˨˩˧"		"dz"	"im"	"˨˩˧"
"壬"	"dzim˨˩˧"		"dz"	"im"	"˨˩˧"
"任"	"dzim˨˩˧"		"dz"	"im"	"˨˩˧"
"任"	"dzim˧˩˩"		"dz"	"im"	"˧˩˩"
"人"	"dziŋ˦˦"		"dz"	"iŋ"	"˦˦"
"仁"	"dziŋ˦˦"		"dz"	"iŋ"	"˦˦"
"忍"	"dziŋ˥˧"		"dz"	"iŋ"	"˥˧"
"刃"	"dziŋ˥˧"		"dz"	"iŋ"	"˥˧"
"认"	"dziŋ˧˩˩"		"dz"	"iŋ"	"˧˩˩"
"桡"	"dzio˦˦"		"dz"	"io"	"˦˦"
"尿"	"dzio˧˩˩"		"dz"	"io"	"˧˩˩"
"戎"	"dzioŋ˦˦"		"dz"	"ioŋ"	"˦˦"
"绒"	"dzioŋ˦˦"		"dz"	"ioŋ"	"˦˦"
"茸"	"dzioŋ˦˦"		"dz"	"ioŋ"	"˦˦"
"若"	"dzioʔ˥˦"	"多少"	"dz"	"ioʔ"	"˥˦"
"入"	"dzip˥˦"		"dz"	"ip"	"˥˦"
"揉"	"dziu˦˦"		"dz"	"iu"	"˦˦"
"柔"	"dziu˦˦"		"dz"	"iu"	"˦˦"
"廿"	"dziʔ˥˦"		"dz"	"iʔ"	"˥˦"
"而"	"dzɯ˦˦"	"又"	"dz"	"ɯ"	"˦˦"
"辱"	"dzok˥˦"		"dz"	"ok"	"˥˦"
"如"	"dzu˦˦"		"dz"	"u"	"˦˦"
"儒"	"dzu˦˦"		"dz"	"u"	"˦˦"
"俞"	"dzu˦˦"		"dz"	"u"	"˦˦"
"愉"	"dzu˦˦"		"dz"	"u"	"˦˦"
"逾"	"dzu˦˦"		"dz"	"u"	"˦˦"
"愉"	"dzu˦˦"		"dz"	"u"	"˦˦"
"而"	"dzu˦˦"		"dz"	"u"	"˦˦"
"揉"	"dzu˦˦"		"dz"	"u"	"˦˦"
"汝"	"dzu˥˧"		"dz"	"u"	"˥˧"
"乳"	"dzu˥˧"		"dz"	"u"	"˥˧"
"愈"	"dzu˥˧"		"dz"	"u"	"˥˧"
"耳"	"dzu˥˧"		"dz"	"u"	"˥˧"
"喩"	"dzu˨˩˧"		"dz"	"u"	"˨˩˧"
"裕"	"dzu˨˩˧"		"dz"	"u"	"˨˩˧"
"悦"	"dzuak˥˦"		"dz"	"uak"	"˥˦"
"浊"	"dzuak˥˦"		"dz"	"uak"	"˥˦"
"蜀"	"dzuak˥˦"		"dz"	"uak"	"˥˦"
"乱"	"dzuaŋ˨˩˧"		"dz"	"uaŋ"	"˨˩˧"
"热"	"dzuaʔ˥˦"		"dz"	"uaʔ"	"˥˦"
"挼"	"dzue˦˦"		"dz"	"ue"	"˦˦"
"芮"	"dzue˨˩˧"		"dz"	"ue"	"˨˩˧"
"锐"	"dzue˨˩˧"		"dz"	"ue"	"˨˩˧"
"维"	"dzui˦˦"		"dz"	"ui"	"˦˦"
"维"	"dzui˦˦"		"dz"	"ui"	"˦˦"
"遗"	"dzui˦˦"	"又"	"dz"	"ui"	"˦˦"
"帷"	"dzui˦˦"		"dz"	"ui"	"˦˦"
"潍"	"dzui˦˦"		"dz"	"ui"	"˦˦"
"蕊"	"dzui˥˧"		"dz"	"ui"	"˥˧"
"遗"	"dzui˨˩˧"		"dz"	"ui"	"˨˩˧"
"唯"	"dzui˨˩˧"		"dz"	"ui"	"˨˩˧"
"糯"	"dzuk˥˦"	"训"	"dz"	"uk"	"˥˦"
"允"	"dzuŋ˥˧"		"dz"	"uŋ"	"˥˧"
"润"	"dzuŋ˨˩˧"		"dz"	"uŋ"	"˨˩˧"
"韧"	"dzuŋ˧˩˩"		"dz"	"uŋ"	"˧˩˩"
"闰"	"dzuŋ˧˩˩"		"dz"	"uŋ"	"˧˩˩"
"哑"	"e˥˧"		"ʔ"	"e"	"˥˧"
"下"	"e˨˩˧"	"方位"	"ʔ"	"e"	"˨˩˧"
"华"	"e˨˩˧"		"ʔ"	"e"	"˨˩˧"
"下"	"e˧˩˩"	"一下"	"ʔ"	"e"	"˧˩˩"
"忆"	"ek˥˦"		"ʔ"	"ek"	"˥˦"
"翼"	"ek˥˦"	"小心翼翼"	"ʔ"	"ek"	"˥˦"
"溢"	"ek˥˦"		"ʔ"	"ek"	"˥˦"
"译"	"ek˥˦"		"ʔ"	"ek"	"˥˦"
"易"	"ek˥˦"		"ʔ"	"ek"	"˥˦"
"液"	"ek˥˦"		"ʔ"	"ek"	"˥˦"
"浴"	"ek˥˦"	"洗浴"	"ʔ"	"ek"	"˥˦"
"鹰"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"莺"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"鹦"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"樱"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"缨"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"英"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"婴"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"翁"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"塕"	"eŋ˨˨˧"		"ʔ"	"eŋ"	"˨˨˧"
"应"	"eŋ˨˩"	"应该"	"ʔ"	"eŋ"	"˨˩"
"涌"	"eŋ˥˧"		"ʔ"	"eŋ"	"˥˧"
"用"	"eŋ˧˩˩"		"ʔ"	"eŋ"	"˧˩˩"
"厄"	"eʔ˧˨"		"ʔ"	"eʔ"	"˧˨"
"扼"	"eʔ˧˨"		"ʔ"	"eʔ"	"˧˨"
"轭"	"eʔ˧˨"		"ʔ"	"eʔ"	"˧˨"
"碍"	"gai˧˩˩"		"g"	"ai"	"˧˩˩"
"乐"	"gauʔ˥˦"		"g"	"auʔ"	"˥˦"
"牙"	"ge˦˦"		"g"	"e"	"˦˦"
"芽"	"ge˦˦"		"g"	"e"	"˦˦"
"衙"	"ge˦˦"		"g"	"e"	"˦˦"
"玉"	"gek˥˦"		"g"	"ek"	"˥˦"
"疑"	"gi˦˦"		"g"	"i"	"˦˦"
"业"	"giap˥˦"		"g"	"iap"	"˥˦"
"鹅"	"go˦˦"		"g"	"o"	"˦˦"
"饿"	"go˧˩˩"		"g"	"o"	"˧˩˩"
"倪"	"goi˦˦"		"g"	"oi"	"˦˦"
"艺"	"goi˧˩˩"		"g"	"oi"	"˧˩˩"
"吴"	"gou˦˦"		"g"	"ou"	"˦˦"
"误"	"gou˧˩˩"		"g"	"ou"	"˧˩˩"
"牛"	"gu˦˦"		"g"	"u"	"˦˦"
"御"	"gu˨˩˧"		"g"	"u"	"˨˩˧"
"禦"	"gu˧˩˩"		"g"	"u"	"˧˩˩"
"外"	"gua˧˩˩"		"g"	"ua"	"˧˩˩"
"袜"	"gueʔ˥˦"		"g"	"ueʔ"	"˥˦"
"月"	"gueʔ˥˦"		"g"	"ueʔ"	"˥˦"
"孝"	"ha˨˩"		"h"	"a"	"˨˩"
"孩"	"hai˦˦"		"h"	"ai"	"˦˦"
"谐"	"hai˦˦"		"h"	"ai"	"˦˦"
"海"	"hai˥˧"		"h"	"ai"	"˥˧"
"亥"	"hai˨˩˧"		"h"	"ai"	"˨˩˧"
"解"	"hai˨˩˧"		"h"	"ai"	"˨˩˧"
"懈"	"hai˨˩˧"		"h"	"ai"	"˨˩˧"
"害"	"hai˧˩˩"		"h"	"ai"	"˧˩˩"
"还"	"hãi˦˦"		"h"	"ãi"	"˦˦"
"蚬"	"hãi˥˧"		"h"	"ãi"	"˥˧"
"害"	"hãi˧˩˩"	"让"	"h"	"ãi"	"˧˩˩"
"苋"	"hãi˧˩˩"		"h"	"ãi"	"˧˩˩"
"学"	"hak˥˦"		"h"	"ak"	"˥˦"
"喝"	"hak˧˨"	"喝彩"	"h"	"ak"	"˧˨"
"瞎"	"hak˧˨"		"h"	"ak"	"˧˨"
"辖"	"hak˧˨"		"h"	"ak"	"˧˨"
"郝"	"hak˧˨"		"h"	"ak"	"˧˨"
"壑"	"hak˧˨"		"h"	"ak"	"˧˨"
"含"	"ham˦˦"		"h"	"am"	"˦˦"
"涵"	"ham˦˦"		"h"	"am"	"˦˦"
"函"	"ham˦˦"		"h"	"am"	"˦˦"
"咸"	"ham˦˦"		"h"	"am"	"˦˦"
"衔"	"ham˦˦"		"h"	"am"	"˦˦"
"蚶"	"ham˨˨˧"		"h"	"am"	"˨˨˧"
"憨"	"ham˨˨˧"		"h"	"am"	"˨˨˧"
"酣"	"ham˨˨˧"		"h"	"am"	"˨˨˧"
"喊"	"ham˨˩"		"h"	"am"	"˨˩"
"撼"	"ham˨˩˧"		"h"	"am"	"˨˩˧"
"憾"	"ham˨˩˧"		"h"	"am"	"˨˩˧"
"陷"	"ham˧˩˩"		"h"	"am"	"˧˩˩"
"馅"	"ham˧˩˩"		"h"	"am"	"˧˩˩"
"寒"	"haŋ˦˦"		"h"	"aŋ"	"˦˦"
"韩"	"haŋ˦˦"		"h"	"aŋ"	"˦˦"
"行"	"haŋ˦˦"		"h"	"aŋ"	"˦˦"
"杭"	"haŋ˦˦"		"h"	"aŋ"	"˦˦"
"降"	"haŋ˦˦"	"投降"	"h"	"aŋ"	"˦˦"
"罕"	"haŋ˥˧"		"h"	"aŋ"	"˥˧"
"捍"	"haŋ˥˧"		"h"	"aŋ"	"˥˧"
"杆"	"haŋ˥˧"	"桿"	"h"	"aŋ"	"˥˧"
"汗"	"haŋ˥˧"	"成吉思汗"	"h"	"aŋ"	"˥˧"
"焊"	"haŋ˥˧"		"h"	"aŋ"	"˥˧"
"烘"	"haŋ˨˨˧"		"h"	"aŋ"	"˨˨˧"
"汉"	"haŋ˨˩"		"h"	"aŋ"	"˨˩"
"限"	"haŋ˨˩˧"		"h"	"aŋ"	"˨˩˧"
"项"	"haŋ˨˩˧"		"h"	"aŋ"	"˨˩˧"
"巷"	"haŋ˧˩˩"		"h"	"aŋ"	"˧˩˩"
"合"	"hap˥˦"		"h"	"ap"	"˥˦"
"峡"	"hap˥˦"	"峡山"	"h"	"ap"	"˥˦"
"豪"	"hau˦˦"		"h"	"au"	"˦˦"
"壕"	"hau˦˦"		"h"	"au"	"˦˦"
"毫"	"hau˦˦"		"h"	"au"	"˦˦"
"皓"	"hau˥˧"		"h"	"au"	"˥˧"
"浩"	"hau˥˧"		"h"	"au"	"˥˧"
"灏"	"hau˥˧"		"h"	"au"	"˥˧"
"颢"	"hau˥˧"		"h"	"au"	"˥˧"
"昊"	"hau˥˧"		"h"	"au"	"˥˧"
"镐"	"hau˥˧"		"h"	"au"	"˥˧"
"吼"	"hau˥˧"		"h"	"au"	"˥˧"
"哮"	"hau˨˨˧"		"h"	"au"	"˨˨˧"
"孝"	"hau˨˩"		"h"	"au"	"˨˩"
"校"	"hau˨˩˧"		"h"	"au"	"˨˩˧"
"效"	"hau˨˩˧"		"h"	"au"	"˨˩˧"
"後"	"hau˨˩˧"		"h"	"au"	"˨˩˧"
"侯"	"hau˧˩˩"	"闽侯"	"h"	"au"	"˧˩˩"
"候"	"hau˧˩˩"		"h"	"au"	"˧˩˩"
"鲎"	"hau˧˩˩"		"h"	"au"	"˧˩˩"
"鲎"	"hau˧˩˩"		"h"	"au"	"˧˩˩"
"合"	"haʔ˥˦"		"h"	"aʔ"	"˥˦"
"合"	"haʔ˧˨"	"页"	"h"	"aʔ"	"˧˨"
"虾"	"he˦˦"		"h"	"e"	"˦˦"
"哼"	"hẽ˨˩"		"h"	"ẽ"	"˨˩"
"下"	"he˨˩˧"	"播种"	"h"	"e"	"˨˩˧"
"厦"	"he˧˩˩"		"h"	"e"	"˧˩˩"
"夏"	"he˧˩˩"		"h"	"e"	"˧˩˩"
"乏"	"hek˥˦"	"训"	"h"	"ek"	"˥˦"
"黑"	"hek˧˨"		"h"	"ek"	"˧˨"
"赫"	"hek˧˨"		"h"	"ek"	"˧˨"
"核"	"hek˧˨"		"h"	"ek"	"˧˨"
"行"	"heŋ˦˦"	"行为"	"h"	"eŋ"	"˦˦"
"王"	"heŋ˦˦"	"姓"	"h"	"eŋ"	"˦˦"
"形"	"heŋ˦˦"		"h"	"eŋ"	"˦˦"
"型"	"heŋ˦˦"		"h"	"eŋ"	"˦˦"
"刑"	"heŋ˦˦"		"h"	"eŋ"	"˦˦"
"娙"	"heŋ˦˦"		"h"	"eŋ"	"˦˦"
"兴"	"heŋ˨˨˧"		"h"	"eŋ"	"˨˨˧"
"胸"	"heŋ˨˨˧"		"h"	"eŋ"	"˨˨˧"
"行"	"heŋ˨˩˧"	"品行"	"h"	"eŋ"	"˨˩˧"
"杏"	"heŋ˨˩˧"		"h"	"eŋ"	"˨˩˧"
"幸"	"heŋ˨˩˧"		"h"	"eŋ"	"˨˩˧"
"吓"	"heʔ˧˨"		"h"	"eʔ"	"˧˨"
"吓"	"heʔ˧˨"		"h"	"eʔ"	"˧˨"
"喜"	"hi˥˧"		"h"	"i"	"˥˧"
"戏"	"hi˨˩"		"h"	"i"	"˨˩"
"弦"	"hĩ˦˦"		"h"	"ĩ"	"˦˦"
"擤"	"hĩ˧˨"	"擤鼻涕的动作"	"h"	"ĩ"	"˧˨"
"奚"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"兮"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"携"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"畦"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"牺"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"稀"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"希"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"嬉"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"嘻"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"禧"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"熹"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"熙"	"hi˨˨˧"		"h"	"i"	"˨˨˧"
"系"	"hi˨˩˧"		"h"	"i"	"˨˩˧"
"轩"	"hĩ˨˨˧"		"h"	"ĩ"	"˨˨˧"
"耳"	"hĩ˨˩˧"		"h"	"ĩ"	"˨˩˧"
"霞"	"hia˦˦"		"h"	"ia"	"˦˦"
"遐"	"hia˦˦"		"h"	"ia"	"˦˦"
"瑕"	"hia˦˦"		"h"	"ia"	"˦˦"
"颜"	"hiã˦˦"	"姓"	"h"	"iã"	"˦˦"
"连"	"hiã˦˦"	"姓"	"h"	"iã"	"˦˦"
"蛾"	"hia˨˩˧"	"白"	"h"	"ia"	"˨˩˧"
"下"	"hia˨˩˧"	"文"	"h"	"ia"	"˨˩˧"
"瓦"	"hia˨˩˧"	"白"	"h"	"ia"	"˨˩˧"
"兄"	"hiã˨˨˧"		"h"	"iã"	"˨˨˧"
"艾"	"hiã˧˩˩"		"h"	"iã"	"˧˩˩"
"嫌"	"hiam˦˦"		"h"	"iam"	"˦˦"
"险"	"hiam˥˧"		"h"	"iam"	"˥˧"
"娴"	"hiaŋ˦˦"	"文"	"h"	"iaŋ"	"˦˦"
"贤"	"hiaŋ˦˦"		"h"	"iaŋ"	"˦˦"
"悬"	"hiaŋ˦˦"		"h"	"iaŋ"	"˦˦"
"玄"	"hiaŋ˦˦"		"h"	"iaŋ"	"˦˦"
"显"	"hiaŋ˥˧"		"h"	"iaŋ"	"˥˧"
"享"	"hiaŋ˥˧"		"h"	"iaŋ"	"˥˧"
"响"	"hiaŋ˥˧"		"h"	"iaŋ"	"˥˧"
"掀"	"hiaŋ˨˨˧"	"文"	"h"	"iaŋ"	"˨˨˧"
"香"	"hiaŋ˨˨˧"		"h"	"iaŋ"	"˨˨˧"
"宪"	"hiaŋ˨˩"		"h"	"iaŋ"	"˨˩"
"献"	"hiaŋ˨˩"		"h"	"iaŋ"	"˨˩"
"向"	"hiaŋ˨˩"		"h"	"iaŋ"	"˨˩"
"眩"	"hiaŋ˧˩˩"		"h"	"iaŋ"	"˧˩˩"
"狭"	"hiap˥˦"		"h"	"iap"	"˥˦"
"叶"	"hiap˥˦"		"h"	"iap"	"˥˦"
"胁"	"hiap˥˦"		"h"	"iap"	"˥˦"
"挟"	"hiap˥˦"		"h"	"iap"	"˥˦"
"侠"	"hiap˥˦"		"h"	"iap"	"˥˦"
"协"	"hiap˥˦"		"h"	"iap"	"˥˦"
"侥"	"hiau˨˨˧"		"h"	"iau"	"˨˨˧"
"邀"	"hiau˨˨˧"		"h"	"iau"	"˨˨˧"
"额"	"hiaʔ˥˦"		"h"	"iaʔ"	"˥˦"
"歇"	"hiaʔ˧˨"		"h"	"iaʔ"	"˧˨"
"熊"	"him˦˦"		"h"	"im"	"˦˦"
"眩"	"hiŋ˦˦"	"训"	"h"	"iŋ"	"˦˦"
"很"	"hiŋ˥˧"		"h"	"iŋ"	"˥˧"
"欣"	"hiŋ˨˨˧"		"h"	"iŋ"	"˨˨˧"
"恨"	"hiŋ˨˩˧"		"h"	"iŋ"	"˨˩˧"
"响"	"hiõ˥˧"		"h"	"iõ"	"˥˧"
"香"	"hiõ˨˨˧"		"h"	"iõ"	"˨˨˧"
"乡"	"hiõ˨˨˧"		"h"	"iõ"	"˨˨˧"
"向"	"hiõ˨˩"		"h"	"iõ"	"˨˩"
"郁"	"hiok˧˨"		"h"	"iok"	"˧˨"
"雄"	"hioŋ˦˦"		"h"	"ioŋ"	"˦˦"
"匈"	"hioŋ˨˨˧"		"h"	"ioŋ"	"˨˨˧"
"凶"	"hioŋ˨˨˧"		"h"	"ioŋ"	"˨˨˧"
"页"	"hioʔ˥˦"	"训"	"h"	"ioʔ"	"˥˦"
"箬"	"hioʔ˥˦"		"h"	"ioʔ"	"˥˦"
"朽"	"hiũ˥˧"		"h"	"iũ"	"˥˧"
"休"	"hiũ˨˨˧"		"h"	"iũ"	"˨˨˧"
"园"	"hŋ˦˦"		"h"	"ŋ"	"˦˦"
"昏"	"hŋ˨˨˧"	"暝昏，黄昏的意思"	"h"	"ŋ"	"˨˨˧"
