"简体"	"繁體"	"拼音"	"音標"
"他"	"他"	"tha1"	"tʰa˦˦"
"塌"	"塌"	"tha1"	"tʰa˦˦"
"搽"	"搽"	"tha7"	"tʰa˧˨˧"
"塔"	"塔"	"tha7"	"tʰa˧˨˧"
"榻"	"榻"	"tha7"	"tʰa˧˨˧"
"獷"	"獷"	"tha7"	"tʰa˧˨˧"
"遢"	"遢"	"tha7"	"tʰa˧˨˧"
"噠"	"噠"	"tha7"	"tʰa˧˨˧"
"遝"	"遝"	"da8"	"da˨˩˨"
"踏"	"踏"	"da8"	"da˨˩˨"
"達"	"達"	"da8"	"da˨˩˨"
"挪"	"挪"	"na1"	"na˦˦"
"那"	"那"	"na3"	"na˦˥"
"哪"	"哪"	"na3"	"na˦˥"
"鬧"	"鬧"	"na6"	"na˨˨"
"拿"	"拿"	"na8"	"na˨˩˨"
"掠"	"掠"	"na8"	"na˨˩˨"
"拉"	"拉"	"la1"	"la˦˦"
"冷"	"冷"	"la4"	"la˧˦"
"臘"	"臘"	"la8"	"la˨˩˨"
"蠟"	"蠟"	"la8"	"la˨˩˨"
"辣"	"辣"	"la8"	"la˨˩˨"
"瘌"	"瘌"	"la8"	"la˨˩˨"
"鏇"	"鏇"	"la8"	"la˨˩˨"
"生"	"生"	"sa1"	"sa˦˦"
"笙"	"笙"	"sa1"	"sa˦˦"
"牲"	"牲"	"sa1"	"sa˦˦"
"甥"	"甥"	"sa1"	"sa˦˦"
"稍"	"稍"	"sa1"	"sa˦˦"
"傻"	"傻"	"sa1"	"sa˦˦"
"省"	"省"	"sa3"	"sa˦˥"
"殺"	"殺"	"sa7"	"sa˧˨˧"
"薩"	"薩"	"sa7"	"sa˧˨˧"
"閘"	"閘"	"za8"	"za˨˩˨"
"鍘"	"鍘"	"za8"	"za˨˩˨"
"薑"	"薑"	"cia1"	"tɕia˦˦"
"爭"	"爭"	"cia1"	"tɕia˦˦"
"箏"	"箏"	"cia1"	"tɕia˦˦"
"姐"	"姐"	"cia1"	"tɕia˦˦"
"僵"	"僵"	"cia1"	"tɕia˦˦"
"韁"	"韁"	"cia1"	"tɕia˦˦"
"薑"	"薑"	"cia1"	"tɕia˦˦"
"疆"	"疆"	"cia1"	"tɕia˦˦"
"砸"	"砸"	"cia1"	"tɕia˦˦"
"抓"	"抓"	"cia3"	"tɕia˦˥"
"爪"	"爪"	"cia3"	"tɕia˦˥"
"找"	"找"	"cia3"	"tɕia˦˥"
"笊"	"笊"	"cia3"	"tɕia˦˥"
"炸"	"炸"	"cia5"	"tɕia˥˨"
"罩"	"罩"	"cia5"	"tɕia˥˨"
"眨"	"眨"	"cia7"	"tɕia˧˨˧"
"劄"	"劄"	"cia7"	"tɕia˧˨˧"
"紮"	"紮"	"cia7"	"tɕia˧˨˧"
"軋"	"軋"	"cia7"	"tɕia˧˨˧"
"腳"	"腳"	"cia7"	"tɕia˧˨˧"
"窄"	"窄"	"cia7"	"tɕia˧˨˧"
"抄"	"抄"	"chia1"	"tɕʰia˦˦"
"鈔"	"鈔"	"chia1"	"tɕʰia˦˦"
"羌"	"羌"	"chia1"	"tɕʰia˦˦"
"腔"	"腔"	"chia1"	"tɕʰia˦˦"
"撐"	"撐"	"chia1"	"tɕʰia˦˦"
"差"	"差"	"chia1"	"tɕʰia˦˦"
"炒"	"炒"	"chia3"	"tɕʰia˦˥"
"吵"	"吵"	"chia3"	"tɕʰia˦˥"
"牚"	"牚"	"chia5"	"tɕʰia˥˨"
"插"	"插"	"chia7"	"tɕʰia˧˨˧"
"卻"	"卻"	"chia7"	"tɕʰia˧˨˧"
"察"	"察"	"chia7"	"tɕʰia˧˨˧"
"擦"	"擦"	"chia7"	"tɕʰia˧˨˧"
"強"	"強"	"jia2"	"dʑia˧˩"
"強"	"強"	"jia4"	"dʑia˧˦"
"䂻"	"䂻"	"jia6"	"dʑia˨˨"
"鯰"	"鯰"	"gnia2"	"ȵia˧˩"
"仰"	"仰"	"gnia4"	"ȵia˧˦"
"釀"	"釀"	"gnia6"	"ȵia˨˨"
"鑷"	"鑷"	"gnia8"	"ȵia˨˩˨"
"業"	"業"	"gnia8"	"ȵia˨˩˨"
"捏"	"捏"	"gnia8"	"ȵia˨˩˨"
"虐"	"虐"	"gnia8"	"ȵia˨˩˨"
"瘧"	"瘧"	"gnia8"	"ȵia˨˩˨"
"孽"	"孽"	"gnia8"	"ȵia˨˩˨"
"香"	"香"	"shia1"	"ɕia˦˦"
"鄉"	"鄉"	"shia1"	"ɕia˦˦"
"享"	"享"	"shia3"	"ɕia˦˥"
"響"	"響"	"shia3"	"ɕia˦˥"
"曉"	"曉"	"shia3"	"ɕia˦˥"
"向"	"向"	"shia5"	"ɕia˥˨"
"餉"	"餉"	"shia5"	"ɕia˥˨"
"央"	"央"	"ia1"	"ʔia˦˦"
"秧"	"秧"	"ia1"	"ʔia˦˦"
"殃"	"殃"	"ia1"	"ʔia˦˦"
"養"	"養"	"ia3"	"ʔia˦˥"
"也"	"也"	"ia3"	"ʔia˦˥"
"約"	"約"	"ia7"	"ʔia˧˨˧"
"羊"	"羊"	"ya2"	"ja˧˩"
"洋"	"洋"	"ya2"	"ja˧˩"
"烊"	"烊"	"ya2"	"ja˧˩"
"揚"	"揚"	"ya2"	"ja˧˩"
"楊"	"楊"	"ya2"	"ja˧˩"
"瘍"	"瘍"	"ya2"	"ja˧˩"
"癢"	"癢"	"ya4"	"ja˧˦"
"樣"	"樣"	"ya6"	"ja˨˨"
"恰"	"恰"	"ya8"	"ja˨˩˨"
"協"	"協"	"ya8"	"ja˨˩˨"
"越"	"越"	"ya8"	"ja˨˩˨"
"藥"	"藥"	"ya8"	"ja˨˩˨"
"鑰"	"鑰"	"ya8"	"ja˨˩˨"
"躍"	"躍"	"ya8"	"ja˨˩˨"
"悅"	"悅"	"ya8"	"ja˨˩˨"
"閱"	"閱"	"ya8"	"ja˨˩˨"
"交"	"交"	"ka1"	"ka˦˦"
"郊"	"郊"	"ka1"	"ka˦˦"
"膠"	"膠"	"ka1"	"ka˦˦"
"更"	"更"	"ka1"	"ka˦˦"
"庚"	"庚"	"ka1"	"ka˦˦"
"耕"	"耕"	"ka1"	"ka˦˦"
"羹"	"羹"	"ka1"	"ka˦˦"
"粳"	"粳"	"ka1"	"ka˦˦"
"鰥"	"鰥"	"ka1"	"ka˦˦"
"絞"	"絞"	"ka3"	"ka˦˥"
"狡"	"狡"	"ka3"	"ka˦˥"
"鉸"	"鉸"	"ka3"	"ka˦˥"
"較"	"較"	"ka3"	"ka˦˥"
"哽"	"哽"	"ka3"	"ka˦˥"
"埂"	"埂"	"ka3"	"ka˦˥"
"梗"	"梗"	"ka3"	"ka˦˥"
"橄"	"橄"	"ka3"	"ka˦˥"
"校"	"校"	"ka3"	"ka˦˥"
"鎰"	"鎰"	"ka3"	"ka˦˥"
"教"	"教"	"ka5"	"ka˥˨"
"更"	"更"	"ka5"	"ka˥˨"
"校"	"校"	"ka5"	"ka˥˨"
"甲"	"甲"	"ka7"	"ka˧˨˧"
"胛"	"胛"	"ka7"	"ka˧˨˧"
"夾"	"夾"	"ka7"	"ka˧˨˧"
"襖"	"襖"	"ka7"	"ka˧˨˧"
"挾"	"挾"	"ka7"	"ka˧˨˧"
"峽"	"峽"	"ka7"	"ka˧˨˧"
"敲"	"敲"	"kha1"	"kʰa˦˦"
"鉛"	"鉛"	"kha1"	"kʰa˦˦"
"坑"	"坑"	"kha1"	"kʰa˦˦"
"巧"	"巧"	"kha3"	"kʰa˦˥"
"蚶"	"蚶"	"kha5"	"kʰa˥˨"
"掐"	"掐"	"kha7"	"kʰa˧˨˧"
"茄"	"茄"	"ga2"	"ga˧˩"
"何"	"何"	"ga2"	"ga˧˩"
"軋"	"軋"	"ga8"	"ga˨˩˨"
"崍"	"崍"	"ga8"	"ga˨˩˨"
"咬"	"咬"	"nga2"	"ŋa˧˩"
"硬"	"硬"	"nga6"	"ŋa˨˨"
"齧"	"齧"	"nga8"	"ŋa˨˩˨"
"呱"	"呱"	"kua1"	"kua˦˦"
"刮"	"刮"	"kua7"	"kua˧˨˧"
"括"	"括"	"kua7"	"kua˧˨˧"
"聒"	"聒"	"kua7"	"kua˧˨˧"
"闊"	"闊"	"khua7"	"kʰua˧˨˧"
"蛙"	"蛙"	"ua1"	"ua˦˦"
"窪"	"窪"	"ua1"	"ua˦˦"
"剜"	"剜"	"ua7"	"ʔua˧˨˧"
"行"	"行"	"gha2"	"ɦa˧˩"
"杏"	"杏"	"gha4"	"ɦa˧˦"
"幸"	"幸"	"gha4"	"ɦa˧˦"
"效"	"效"	"gha4"	"ɦa˧˦"
"校"	"校"	"gha6"	"ɦa˨˨"
"效"	"效"	"gha6"	"ɦa˨˨"
"行"	"行"	"gha6"	"ɦa˨˨"
"狹"	"狹"	"gha8"	"ɦa˨˩˨"
"匣"	"匣"	"gha8"	"ɦa˨˩˨"
"洽"	"洽"	"gha8"	"ɦa˨˩˨"
"阿"	"阿"	"a1"	"ʔa˦˦"
"鶯"	"鶯"	"a1"	"ʔa˦˦"
"罌"	"罌"	"a1"	"ʔa˦˦"
"鴨"	"鴨"	"a7"	"ʔa˧˨˧"
"押"	"押"	"a7"	"ʔa˧˨˧"
"壓"	"壓"	"a7"	"ʔa˧˨˧"
"巴"	"巴"	"pwa1"	"pɯa˦˦"
"芭"	"芭"	"pwa1"	"pɯa˦˦"
"疤"	"疤"	"pwa1"	"pɯa˦˦"
"把"	"把"	"pwa3"	"pɯa˦˥"
"霸"	"霸"	"pwa5"	"pɯa˥˨"
"壩"	"壩"	"pwa5"	"pɯa˥˨"
"八"	"八"	"pwa7"	"pɯa˧˨˧"
"怕"	"怕"	"phwa5"	"pʰɯa˥˨"
"爬"	"爬"	"bwa2"	"bɯa˧˩"
"琶"	"琶"	"bwa2"	"bɯa˧˩"
"杷"	"杷"	"bwa2"	"bɯa˧˩"
"耙"	"耙"	"bwa6"	"bɯa˨˨"
"拔"	"拔"	"bwa8"	"bɯa˨˩˨"
"鈸"	"鈸"	"bwa8"	"bɯa˨˩˨"
"媽"	"媽"	"mwa1"	"mɯa˦˦"
"麻"	"麻"	"mwa2"	"mɯa˧˩"
"痳"	"痳"	"mwa2"	"mɯa˧˩"
"擵"	"擵"	"mwa2"	"mɯa˧˩"
"馬"	"馬"	"mwa4"	"mɯa˧˦"
"碼"	"碼"	"mwa4"	"mɯa˧˦"
"襪"	"襪"	"mwa8"	"mɯa˨˩˨"
"花"	"花"	"fwa1"	"fɯa˦˦"
"化"	"化"	"fwa5"	"fɯa˥˨"
"華"	"華"	"vwa2"	"vɯa˧˩"
"榫"	"榫"	"vwa2"	"vɯa˧˩"
"鏵"	"鏵"	"vwa2"	"vɯa˧˩"
"劃"	"劃"	"vwa2"	"vɯa˧˩"
"畫"	"畫"	"vwa6"	"vɯa˨˨"
"話"	"話"	"vwa6"	"vɯa˨˨"
"刁"	"刁"	"twa1"	"tɯa˦˦"
"貂"	"貂"	"twa1"	"tɯa˦˦"
"雕"	"雕"	"twa1"	"tɯa˦˦"
"挑"	"挑"	"thwa1"	"tʰɯa˦˦"
"帖"	"帖"	"thwa7"	"tʰɯa˧˨˧"
"貼"	"貼"	"thwa7"	"tʰɯa˧˨˧"
"條"	"條"	"dwa2"	"dɯa˧˩"
"趒"	"趒"	"dwa2"	"dɯa˧˩"
"迭"	"迭"	"dwa8"	"dɯa˨˩˨"
"碟"	"碟"	"dwa8"	"dɯa˨˩˨"
"牒"	"牒"	"dwa8"	"dɯa˨˩˨"
"蝶"	"蝶"	"dwa8"	"dɯa˨˩˨"
"諜"	"諜"	"dwa8"	"dɯa˨˩˨"
"良"	"良"	"lwa2"	"lɯa˧˩"
"涼"	"涼"	"lwa2"	"lɯa˧˩"
"量"	"量"	"lwa2"	"lɯa˧˩"
"長"	"長"	"lwa2"	"lɯa˧˩"
"短"	"短"	"lwa2"	"lɯa˧˩"
"糧"	"糧"	"lwa2"	"lɯa˧˩"
"粱"	"粱"	"lwa2"	"lɯa˧˩"
"聊"	"聊"	"lwa2"	"lɯa˧˩"
"遼"	"遼"	"lwa2"	"lɯa˧˩"
"撩"	"撩"	"lwa2"	"lɯa˧˩"
"寥"	"寥"	"lwa2"	"lɯa˧˩"
"燎"	"燎"	"lwa2"	"lɯa˧˩"
"療"	"療"	"lwa2"	"lɯa˧˩"
"瞟"	"瞟"	"lwa2"	"lɯa˧˩"
"兩"	"兩"	"lwa4"	"lɯa˧˦"
"輛"	"輛"	"lwa4"	"lɯa˧˦"
"亮"	"亮"	"lwa6"	"lɯa˨˨"
"諒"	"諒"	"lwa6"	"lɯa˨˨"
"量"	"量"	"lwa6"	"lɯa˨˨"
"獵"	"獵"	"lwa8"	"lɯa˨˩˨"
"略"	"略"	"lwa8"	"lɯa˨˩˨"
"掠"	"掠"	"lwa8"	"lɯa˨˩˨"
"相"	"相"	"siwa1"	"siɯa˦˦"
"箱"	"箱"	"siwa1"	"siɯa˦˦"
"廂"	"廂"	"siwa1"	"siɯa˦˦"
"湘"	"湘"	"siwa1"	"siɯa˦˦"
"襄"	"襄"	"siwa1"	"siɯa˦˦"
"鑲"	"鑲"	"siwa1"	"siɯa˦˦"
"商"	"商"	"siwa1"	"siɯa˦˦"
"傷"	"傷"	"siwa1"	"siɯa˦˦"
"蕭"	"蕭"	"siwa1"	"siɯa˦˦"
"簫"	"簫"	"siwa1"	"siɯa˦˦"
"想"	"想"	"siwa3"	"siɯa˦˥"
"鯗"	"鯗"	"siwa3"	"siɯa˦˥"
"相"	"相"	"siwa5"	"siɯa˥˨"
"閃"	"閃"	"siwa7"	"siɯa˧˨˧"
"削"	"削"	"siwa7"	"siɯa˧˨˧"
"屑"	"屑"	"siwa7"	"siɯa˧˨˧"
"攝"	"攝"	"siwa7"	"siɯa˧˨˧"
"牆"	"牆"	"ziwa2"	"ziɯa˧˩"
"詳"	"詳"	"ziwa2"	"ziɯa˧˩"
"祥"	"祥"	"ziwa2"	"ziɯa˧˩"
"常"	"常"	"ziwa2"	"ziɯa˧˩"
"嘗"	"嘗"	"ziwa2"	"ziɯa˧˩"
"裳"	"裳"	"ziwa2"	"ziɯa˧˩"
"償"	"償"	"ziwa2"	"ziɯa˧˩"
"象"	"象"	"ziwa4"	"ziɯa˧˦"
"像"	"像"	"ziwa4"	"ziɯa˧˦"
"橡"	"橡"	"ziwa4"	"ziɯa˧˦"
"上"	"上"	"ziwa4"	"ziɯa˧˦"
"上"	"上"	"ziwa6"	"ziɯa˨˨"
"尚"	"尚"	"ziwa6"	"ziɯa˨˨"
"讓"	"讓"	"ziwa6"	"ziɯa˨˨"
"嚷"	"嚷"	"ziwa6"	"ziɯa˨˨"
"嚼"	"嚼"	"ziwa8"	"ziɯa˨˩˨"
"勺"	"勺"	"ziwa8"	"ziɯa˨˩˨"
"芍"	"芍"	"ziwa8"	"ziɯa˨˩˨"
"若"	"若"	"ziwa8"	"ziɯa˨˩˨"
"弱"	"弱"	"ziwa8"	"ziɯa˨˩˨"
"匠"	"匠"	"ziwa8"	"ziɯa˨˩˨"
"將"	"將"	"cwa1"	"tɕɯa˦˦"
"蔣"	"蔣"	"cwa1"	"tɕɯa˦˦"
"張"	"張"	"cwa1"	"tɕɯa˦˦"
"章"	"章"	"cwa1"	"tɕɯa˦˦"
"樟"	"樟"	"cwa1"	"tɕɯa˦˦"
"獎"	"獎"	"cwa3"	"tɕɯa˦˥"
"槳"	"槳"	"cwa3"	"tɕɯa˦˥"
"長"	"長"	"cwa3"	"tɕɯa˦˥"
"漲"	"漲"	"cwa3"	"tɕɯa˦˥"
"掌"	"掌"	"cwa3"	"tɕɯa˦˥"
"者"	"者"	"cwa3"	"tɕɯa˦˥"
"醬"	"醬"	"cwa5"	"tɕɯa˥˨"
"將"	"將"	"cwa5"	"tɕɯa˥˨"
"大"	"大"	"cwa5"	"tɕɯa˥˨"
"帳"	"帳"	"cwa5"	"tɕɯa˥˨"
"賬"	"賬"	"cwa5"	"tɕɯa˥˨"
"障"	"障"	"cwa5"	"tɕɯa˥˨"
"瘴"	"瘴"	"cwa5"	"tɕɯa˥˨"
"爵"	"爵"	"cwa7"	"tɕɯa˧˨˧"
"著"	"著"	"cwa7"	"tɕɯa˧˨˧"
"槍"	"槍"	"chwa1"	"tɕʰɯa˦˦"
"昌"	"昌"	"chwa1"	"tɕʰɯa˦˦"
"菖"	"菖"	"chwa1"	"tɕʰɯa˦˦"
"搶"	"搶"	"chwa3"	"tɕʰɯa˦˥"
"廠"	"廠"	"chwa3"	"tɕʰɯa˦˥"
"唱"	"唱"	"chwa5"	"tɕʰɯa˥˨"
"倡"	"倡"	"chwa5"	"tɕʰɯa˥˨"
"長"	"長"	"jwa2"	"dʑɯa˧˩"
"腸"	"腸"	"jwa2"	"dʑɯa˧˩"
"場"	"場"	"jwa2"	"dʑɯa˧˩"
"丈"	"丈"	"jwa4"	"dʑɯa˧˦"
"仗"	"仗"	"jwa4"	"dʑɯa˧˦"
"杖"	"杖"	"jwa4"	"dʑɯa˧˦"
"著"	"著"	"jwa8"	"dʑɯa˨˩˨"
"娘"	"娘"	"gnwa2"	"ȵɯa˧˩"
"壤"	"壤"	"gnwa6"	"ȵɯa˨˨"
"攘"	"攘"	"gnwa6"	"ȵɯa˨˨"
"雙"	"雙"	"suwa1"	"suɯa˦˦"
"霜"	"霜"	"suwa1"	"suɯa˦˦"
"孀"	"孀"	"suwa1"	"suɯa˦˦"
"慫"	"慫"	"suwa3"	"suɯa˦˥"
"從"	"從"	"zuwa2"	"zuɯa˧˩"
"松"	"松"	"zuwa2"	"zuɯa˧˩"
"床"	"床"	"zuwa2"	"zuɯa˧˩"
"誦"	"誦"	"zuwa6"	"zuɯa˨˨"
"頌"	"頌"	"zuwa6"	"zuɯa˨˨"
"訟"	"訟"	"zuwa6"	"zuɯa˨˨"
"狀"	"狀"	"zuwa6"	"zuɯa˨˨"
"椿"	"椿"	"cuwa1"	"tɕuɯa˦˦"
"鐘"	"鐘"	"cuwa1"	"tɕuɯa˦˦"
"茬"	"茬"	"cuwa1"	"tɕuɯa˦˦"
"縱"	"縱"	"cuwa3"	"tɕuɯa˦˥"
"塚"	"塚"	"cuwa3"	"tɕuɯa˦˥"
"種"	"種"	"cuwa3"	"tɕuɯa˦˥"
"種"	"種"	"cuwa5"	"tɕuɯa˥˨"
"壯"	"壯"	"cuwa5"	"tɕuɯa˥˨"
"縱"	"縱"	"cuwa5"	"tɕuɯa˥˨"
"窗"	"窗"	"chuwa1"	"tɕʰuɯa˦˦"
"闖"	"闖"	"chuwa3"	"tɕʰuɯa˦˥"
"重"	"重"	"jywa2"	"dʑuɯa˧˩"
"撞"	"撞"	"jywa6"	"dʑuɯa˨˨"
"瓜"	"瓜"	"kuwa1"	"kuɯa˦˦"
"寡"	"寡"	"kuwa3"	"kuɯa˦˥"
"卦"	"卦"	"kuwa5"	"kuɯa˥˨"
"掛"	"掛"	"kuwa5"	"kuɯa˥˨"
"誇"	"誇"	"khuwa1"	"kʰuɯa˦˦"
"垮"	"垮"	"khuwa1"	"kʰuɯa˦˦"
"跨"	"跨"	"khuwa1"	"kʰuɯa˦˦"
"忙"	"忙"	"mao2"	"mɔ˧˩"
"茫"	"茫"	"mao2"	"mɔ˧˩"
"芒"	"芒"	"mao2"	"mɔ˧˩"
"茅"	"茅"	"mao2"	"mɔ˧˩"
"矛"	"矛"	"mao2"	"mɔ˧˩"
"貓"	"貓"	"mao2"	"mɔ˧˩"
"錨"	"錨"	"mao2"	"mɔ˧˩"
"望"	"望"	"mao6"	"mɔ˨˨"
"方"	"方"	"fao1"	"fɔ˦˦"
"芳"	"芳"	"fao1"	"fɔ˦˦"
"肪"	"肪"	"fao1"	"fɔ˦˦"
"坊"	"坊"	"fao1"	"fɔ˦˦"
"枋"	"枋"	"fao1"	"fɔ˦˦"
"妨"	"妨"	"fao1"	"fɔ˦˦"
"仿"	"仿"	"fao3"	"fɔ˦˥"
"彷"	"彷"	"fao3"	"fɔ˦˥"
"紡"	"紡"	"fao3"	"fɔ˦˥"
"訪"	"訪"	"fao3"	"fɔ˦˥"
"放"	"放"	"fao5"	"fɔ˥˨"
"防"	"防"	"vao2"	"vɔ˧˩"
"房"	"房"	"vao2"	"vɔ˧˩"
"亡"	"亡"	"vao2"	"vɔ˧˩"
"忘"	"忘"	"vao2"	"vɔ˧˩"
"望"	"望"	"vao5"	"vɔ˥˨"
"當"	"當"	"tao1"	"tɔ˦˦"
"襠"	"襠"	"tao1"	"tɔ˦˦"
"黨"	"黨"	"tao3"	"tɔ˦˥"
"擋"	"擋"	"tao3"	"tɔ˦˥"
"當"	"當"	"tao5"	"tɔ˥˨"
"湯"	"湯"	"thao1"	"tʰɔ˦˦"
"倘"	"倘"	"thao3"	"tʰɔ˦˥"
"躺"	"躺"	"thao3"	"tʰɔ˦˥"
"儻"	"儻"	"thao3"	"tʰɔ˦˥"
"燙"	"燙"	"thao5"	"tʰɔ˥˨"
"趟"	"趟"	"thao5"	"tʰɔ˥˨"
"堂"	"堂"	"dao2"	"dɔ˧˩"
"棠"	"棠"	"dao2"	"dɔ˧˩"
"螳"	"螳"	"dao2"	"dɔ˧˩"
"唐"	"唐"	"dao2"	"dɔ˧˩"
"糖"	"糖"	"dao2"	"dɔ˧˩"
"塘"	"塘"	"dao2"	"dɔ˧˩"
"螗"	"螗"	"dao2"	"dɔ˧˩"
"溏"	"溏"	"dao2"	"dɔ˧˩"
"宕"	"宕"	"dao4"	"dɔ˧˦"
"蕩"	"蕩"	"dao4"	"dɔ˧˦"
"貌"	"貌"	"dao4"	"dɔ˧˦"
"瞠"	"瞠"	"dao6"	"dɔ˨˨"
"蕩"	"蕩"	"dao6"	"dɔ˨˨"
"逭"	"逭"	"dao6"	"dɔ˨˨"
"囊"	"囊"	"nao2"	"nɔ˧˩"
"撓"	"撓"	"nao2"	"nɔ˧˩"
"郎"	"郎"	"lao2"	"lɔ˧˩"
"廊"	"廊"	"lao2"	"lɔ˧˩"
"狼"	"狼"	"lao2"	"lɔ˧˩"
"娘"	"娘"	"lao2"	"lɔ˧˩"
"㫰"	"㫰"	"lao2"	"lɔ˧˩"
"榔"	"榔"	"lao2"	"lɔ˧˩"
"鋃"	"鋃"	"lao2"	"lɔ˧˩"
"稂"	"稂"	"lao2"	"lɔ˧˩"
"朗"	"朗"	"lao4"	"lɔ˧˦"
"狼"	"狼"	"lao6"	"lɔ˨˨"
"桑"	"桑"	"sao1"	"sɔ˦˦"
"梢"	"梢"	"sao1"	"sɔ˦˦"
"喪"	"喪"	"sao1"	"sɔ˦˦"
"筲"	"筲"	"sao1"	"sɔ˦˦"
"磉"	"磉"	"sao1"	"sɔ˦˦"
"爽"	"爽"	"sao3"	"sɔ˦˥"
"嗓"	"嗓"	"sao5"	"sɔ˥˨"
"嘯"	"嘯"	"sao5"	"sɔ˥˨"
"哨"	"哨"	"sao5"	"sɔ˥˨"
"藏"	"藏"	"zao2"	"zɔ˧˩"
"藏"	"藏"	"zao6"	"zɔ˨˨"
"髒"	"髒"	"zao6"	"zɔ˨˨"
"髒"	"髒"	"cao1"	"tɕɔ˦˦"
"莊"	"莊"	"cao1"	"tɕɔ˦˦"
"裝"	"裝"	"cao1"	"tɕɔ˦˦"
"恭"	"恭"	"cao1"	"tɕɔ˦˦"
"供"	"供"	"cao1"	"tɕɔ˦˦"
"龔"	"龔"	"cao1"	"tɕɔ˦˦"
"葬"	"葬"	"cao5"	"tɕɔ˥˨"
"壯"	"壯"	"cao5"	"tɕɔ˥˨"
"倉"	"倉"	"chao1"	"tɕʰɔ˦˦"
"蒼"	"蒼"	"chao1"	"tɕʰɔ˦˦"
"瘡"	"瘡"	"chao1"	"tɕʰɔ˦˦"
"匡"	"匡"	"chao1"	"tɕʰɔ˦˦"
"筐"	"筐"	"chao1"	"tɕʰɔ˦˦"
"眶"	"眶"	"chao1"	"tɕʰɔ˦˦"
"框"	"框"	"chao1"	"tɕʰɔ˦˦"
"創"	"創"	"chao5"	"tɕʰɔ˥˨"
"狂"	"狂"	"jao2"	"dʑɔ˧˩"
"逛"	"逛"	"jao2"	"dʑɔ˧˩"
"共"	"共"	"gao6"	"gɔ˨˨"
"堯"	"堯"	"gnao2"	"ȵɔ˧˩"
"匈"	"匈"	"shao1"	"ɕɔ˦˦"
"洶"	"洶"	"shao1"	"ɕɔ˦˦"
"胸"	"胸"	"shao1"	"ɕɔ˦˦"
"凶"	"凶"	"shao1"	"ɕɔ˦˦"
"兇"	"兇"	"shao1"	"ɕɔ˦˦"
"癰"	"癰"	"iao1"	"ʔyɔ˦˦"
"枉"	"枉"	"iao3"	"ʔyɔ˦˥"
"往"	"往"	"iao3"	"ʔyɔ˦˥"
"甬"	"甬"	"iao3"	"ʔyɔ˦˥"
