#名稱：肥東古城話
#來源：安徽肥東古城方言同音字彙
#調值	"³¹","³⁵","²¹³","","⁵³","","⁴⁴"
pɿ1	屄
pʰɔ2	袍刨
pʰɔ3	跑
pʰɔ5	炮泡
mɔ1	貓
mɔ2	毛茅錨矛
mɔ3	卯冇{遺漏}
mɔ5	冒帽貌茂貿
tɔ1	刀叨㧅{～菜}
tɔ3	禱島倒
tɔ5	到倒道稻盜導
tʰɔ1	滔掏濤
tʰɔ2	桃逃淘陶萄
tʰɔ3	討{把忘拿的東西拿回來}
tʰɔ5	套
lɔ1	撈嘮
lɔ2	勞牢澇撓
lɔ3	腦惱老
lɔ5	鬧□{膩:肥肉～人}□{塗抹}
ʦɔ1	遭糟
ʦɔ3	早棗澡
ʦɔ5	蚤竈皂皁造
ʦʰɔ1	操
ʦʰɔ2	曹槽慒{～心:胃難受}
ʦʰɔ3	草騲
ʦʰɔ5	糙䜈{批評；罵}
sɔ1	騷
sɔ3	掃嫂
sɔ5	臊潲𢜶
tʂɔ1	朝召昭招沼
tʂɔ3	爪找
tʂɔ5	罩笊趙兆詔照{好}
tʂʰɔ1	抄鈔超
tʂʰɔ2	巢朝
tʂʰɔ3	炒吵
tʂʰɔ5	□{不定時去觀察}
ʂɔ1	梢捎燒
ʂɔ2	韶紹□{喜歡顯擺}
ʂɔ3	少
ʂɔ5	少邵
ʐɔ2	熬1饒
ʐɔ3	擾繞{圍～}
ʐɔ5	繞{～線}
kɔ1	高膏羔糕
kɔ3	稿搞
kɔ5	告
kʰɔ1	敲1㤍{逗人上當:他就喜歡～人}
kʰɔ3	考烤
kʰɔ5	靠犒
ŋɔ2	熬2
ŋɔ3	襖
ŋɔ5	傲奧
xɔ1	蒿薅
xɔ2	豪壕毫
xɔ3	好
xɔ5	好浩號{量一量}
ɔ5	懊
piɔ1	膘標彪
piɔ3	表錶
piɔ5	摽{暗地裏察看:我一直在裏面～着他}
pʰiɔ1	飄
pʰiɔ2	瓢嫖
pʰiɔ3	漂
pʰiɔ5	票漂
miɔ2	苗描
miɔ3	藐渺秒
miɔ5	廟妙
tiɔ1	刁貂雕
tiɔ3	屌
tiɔ5	釣吊調
tʰiɔ1	挑
tʰiɔ2	條調
tʰiɔ3	挑{～明}
tʰiɔ5	跳
ʨiɔ1	交郊膠教蕉椒嬌澆
ʨiɔ3	絞狡鉸攪剿矯繳餃
ʨiɔ5	教校較窖覺轎叫嚼
ʨʰiɔ1	敲2鍬繰
ʨʰiɔ2	樵瞧喬僑蕎
ʨʰiɔ3	巧悄
ʨʰiɔ5	竅
ȵȡiɔ2	燎聊遼撩寥瞭
ȵȡiɔ3	燎鳥了
ȵȡiɔ5	尿2料尥廖撂
ɕiɔ1	淆宵硝銷枵囂蕭簫
ɕiɔ3	小僥曉
ɕiɔ5	酵孝效校笑鞘
iɔ1	妖邀腰要麼吆
iɔ2	餚搖謠姚
iɔ3	咬舀
iɔ5	要耀
po1	波菠跛玻
po3	簸
pʰo1	頗坡剖
pʰo2	婆
pʰo5	破
mo1	摸{做事慢慢吞吞}
mo2	魔磨摩饃模摹謀膜
mo3	某畝牡母拇
mo5	暮墓募幕
to1	多
to3	朵躲
to5	舵剁惰垛挆{放置}
tʰo1	拖
tʰo2	駝馱{拿:～起來}
tʰo3	妥橢
tʰo5	唾
lo1	囉
lo2	羅鑼籮騾螺腡
lo3	捋{用手把散開的物體聚集到一起}
lo5	糯
ʦo3	左佐
ʦo5	坐座做
ʦʰo1	搓初摴{～開:分開}
ʦʰo2	鋤昨
ʦʰo5	銼措錯
so1	梭唆梳□{劃,割,鋸:手指被刀片～到了}
so3	鎖瑣所數
ko1	歌哥過鍋戈
ko3	果裹餜
ko5	個1過□{家畜繁殖}
kʰo1	科窠棵顆□{砍、鋸樹木}
kʰo3	可
kʰo5	課□{熄滅:燈～的了}
xo1	呵{討好}
xo2	荷河何和
xo3	火伙夥攉{倒掉}
xo5	賀貨禾禍和{～麪}
o1	窩蝸
o2	蛾鵝俄訛
o3	我
o5	餓臥
pʉ3	捕
pʉ5	布佈{～置}怖部簿步埠
pʰʉ1	鋪潽
pʰʉ2	蒲菩
pʰʉ3	普浦脯
pʰʉ5	鋪
fʉ1	夫膚敷麩
fʉ2	俘扶芙浮
fʉ3	府腑俯甫斧撫釜腐輔
fʉ5	付賦傅赴訃符父附富副婦負阜
tʉ1	都
tʉ3	堵賭肚
tʉ5	妒杜度渡鍍
tʰʉ2	徒屠途塗圖
tʰʉ3	土吐
tʰʉ5	吐兔
lʉ2	奴盧爐蘆廬
lʉ3	努魯櫓虜滷
lʉ5	怒路露鷺
ʦʉ1	租瀦{堵在一個地方}
ʦʉ3	祖組阻
ʦʉ5	助
ʦʰʉ1	粗
ʦʰʉ3	楚礎
ʦʰʉ5	醋
sʉ1	酥疏蔬
sʉ5	素數漱朔
tʂʉ1	豬諸誅蛛株朱珠
tʂʉ3	煮主
tʂʉ5	著苧駐註{～解}柱住注蛀鑄
tʂʰʉ1	□{插,塞}
tʂʰʉ2	除廚
tʂʰʉ3	褚儲處暑鼠薯拄
tʂʰʉ5	處
ʂʉ1	書舒樞輸殊
ʂʉ3	署
ʂʉ5	庶恕豎樹
ʐʉ2	如
ʐʉ3	儒乳擩
kʉ1	姑孤箍{看～:劉海}
kʉ3	古估牯股鼓
kʉ5	故固僱顧
kʰʉ1	枯
kʰʉ3	苦
kʰʉ5	庫褲
xʉ1	呼乎烀□{用手推,橫掃}
xʉ2	胡湖狐壺葫鬍{～子}糊
xʉ3	虎滸
xʉ5	戶滬互護瓠
ʉ1	烏污塢巫誣侮
ʉ2	無吳蜈
ʉ3	五伍午武舞鵡
ʉ5	誤悟惡務霧戊
tɵ1	都兜
tɵ3	斗抖陡
tɵ5	鬥豆逗鬭{～着:點上火}
tʰɵ1	偷
tʰɵ2	頭投
tʰɵ3	敨
tʰɵ5	透
lɵ2	樓
lɵ3	摟耬簍
lɵ5	漏陋
ʦɵ1	鄒
ʦɵ3	走
ʦɵ5	皺縐驟
ʦʰɵ1	掫
ʦʰɵ2	愁
ʦʰɵ3	瞅
ʦʰɵ5	湊嗽2
sɵ1	搜颼餿
sɵ3	叟
sɵ5	嗽1瘦
tʂɵ1	周舟州洲
tʂɵ3	肘帚扭{擰；不順:這件事很～手}
tʂɵ5	晝紂宙咒
tʂʰɵ1	抽
tʂʰɵ2	綢稠籌仇酬
tʂʰɵ3	醜
tʂʰɵ5	臭
ʂɵ1	收
ʂɵ3	捨2手首守
ʂɵ5	獸受壽授售
ʐɵ2	柔揉
ʐɵ5	肉譳{做事不乾脆、不利落}
kɵ1	勾鉤溝
kɵ3	狗苟
kɵ5	夠{往上～}夠構購勾
kʰɵ1	摳瞘
kʰɵ3	口□{摳門}
kʰɵ5	扣寇
ŋɵ1	歐嘔毆漚慪
ŋɵ3	藕偶
xɵ1	齁
xɵ2	侯喉猴瘊
xɵ3	吼候{等待}
xɵ5	厚後候
tiɵ1	丟
ʨiɵ1	揪鬏鬮糾
ʨiɵ3	酒九久韭灸
ʨiɵ5	就救究臼舅舊㾭{～筋}
ʨʰiɵ1	秋丘煪{～眼:燻眼睛}
ʨʰiɵ2	囚泅鳩求球仇
ʨʰiɵ3	糗□{讒}
ʨʰiɵ5	湊{因爲某種原因而賴在一個人身邊不走}
ȵȡiɵ1	溜餾
ȵȡiɵ2	流劉留榴硫琉牛
ȵȡiɵ3	紐扭柳
ɕiɵ1	修羞休
ɕiɵ3	朽
ɕiɵ5	秀繡宿鏽袖嗅
iɵ1	憂優悠幽
iɵ2	尤郵由油遊猶
iɵ3	有友酉
iɵ5	又右佑誘釉幼
mɘ7	沒木1
tɘ7	獨讀犢督
tʰɘ7	突禿
lɘ7	肋2勒2鹿祿六陸綠錄
ʦɘ7	卒
ʦʰɘ7	猝族促觸2踧{暫時想不起來}
sɘ7	蟀速2肅2宿2俗2續2
tʂɘ7	蟄執汁侄質直值織職殖植擲隻炙
tʂʰɘ7	秩赤斥尺湁{潮溼使人難受:衣裳溼了～人}
ʂɘ7	溼十什拾實失室食蝕識飾適釋石
ʐɘ7	日
kɘ7	個2胳1哿{放在動詞形容詞前表疑問}
kʰɘ7	□{勒；保留}□{～凼子:水坑}
xɘ7	黑□{～旯子:縫隙處,拐角處}
piɘ7	鼻筆畢潷必弼逼碧璧壁
pʰiɘ7	匹闢劈擗{打人}
miɘ7	密蜜覓
tiɘ7	第2的滴嫡笛敵狄
tʰiɘ7	踢剔
ʨiɘ7	集輯急級及疾吉即極積跡脊藉績擊激
ʨʰiɘ7	緝{～鞋口}㬤七漆乞戚喫
ȵȡiɘ7	立笠粒栗慄律率力逆歷{經～}曆{日～}
ɕiɘ7	習襲吸悉膝息熄媳惜昔席夕錫析
iɘ7	沂揖乙一逸益亦譯
puɘ7	不1
pʰuɘ7	勃脖樸卜{～卦}撲仆{～倒}僕
muɘ7	木1目穆牧
fuɘ7	復佛福幅蝠複腹覆服伏復{～原}
ʦuɘ7	足窒{塞}捽{賄賂}
ʦʰuɘ7	捽{擠壓}
suɘ7	速1肅1宿1縮粟俗1續1
tʂuɘ7	竹築逐軸祝粥燭蜀
tʂʰuɘ7	出畜觸1
ʂuɘ7	術述叔熟淑贖束屬
ʐuɘ7	入辱褥
kuɘ7	骨谷
kʰuɘ7	窟哭酷
xuɘ7	忽核斛
uɘ7	物勿握1屋沃
ʨyɘ7	橘菊局
ʨʰyɘ7	黢屈掘曲
ɕyɘ7	戌恤畜蓄
yɘ7	域疫役育獄欲欲浴𢺴{把彎了的物體弄直}
pɐ7	薄八拔鉢撥博泊薄縛剝駁北蔔{蘿～}百伯白□{把收拾乾淨的動物放在水中浸泡以除去其身上的血水}
pʰɐ7	帕潑柏迫拍魄
mɐ7	蟆抹末沫莫寞墨默陌
fɐ7	法乏髮發{～財}伐
tɐ7	答搭達掇奪得德耷{扔；倒；顛簸}𧞐{用縫紉機做衣服}
tʰɐ7	踏沓塔榻塌搨脫託托特庹搨
lɐ7	納臘蠟捺辣諾落烙駱洛絡樂肋1勒1
ʦɐ7	雜作鑿則賊1澤擇宅窄摘責
ʦʰɐ7	廁1擦撮側測策冊
sɐ7	澀撒2{～手}薩蝨索塞2色靸
tʂɐ7	眨閘煠折褶軋2鍘哲折浙
tʂʰɐ7	插徹撤拆□{來不～:來不及}
ʂɐ7	攝殺舌設折{弄～了}
ʐɐ7	熱
kɐ7	合鴿割葛各閣擱胳2角1格革隔軛
kʰɐ7	咳磕渴殼刻克客
ŋɐ7	鄂惡額扼
xɐ7	喝合盒還{～有}郝鶴霍藿赫嚇{～一跳}
piɐ7	鱉憋別{～開:撬開}
pʰiɐ7	撇{舀出最上層液體}
miɐ7	滅篾
tiɐ7	跌疊碟牒蝶諜
tʰiɐ7	帖貼
ʨiɐ7	夾甲匣接捷劫挾傑揭節截結潔蟄*
ʨʰiɐ7	恰洽妾切
ȵȡiɐ7	聶鑷獵列烈裂孽捏劣略掠虐瘧
ɕiɐ7	下諧2狹峽脅協瞎轄歇蠍
iɐ7	鴨押壓葉頁業噎
suɐ7	箾{用條狀物抽打}
tʂuɐ7	着酌桌卓琢啄濁捉鐲
tʂʰuɐ7	戳
ʂuɐ7	刷說勺芍搠{打人}
ʐuɐ7	若弱匿
kuɐ7	刮郭國
kʰuɐ7	括闊廓擴
xuɐ7	豁活滑猾或惑獲
uɐ7	挖2襪握2
ʨyɐ7	絕掘決訣爵腳覺角2吷{罵}□{～子:剩下來的不好的東西}
ʨʰyɐ7	怯缺雀鵲確
ɕyɐ7	薛泄屑楔雪血穴削學
yɐ7	悅閱月越曰粵藥嶽
pᴀ1	巴芭疤琶杷□{粘}□{～邊:旁邊}
pᴀ3	把{～握，～守，一～}
pᴀ5	霸把{柄}壩耙罷□{～～:故意}
pʰᴀ1	趴
pʰᴀ2	爬鈀
pʰᴀ5	怕
mᴀ1	媽
mᴀ2	麻痳
mᴀ3	馬碼
mᴀ5	罵
tᴀ1	大{父親}
tᴀ3	打
tᴀ5	大
tʰᴀ1	他
lᴀ1	拉
lᴀ2	拿
lᴀ3	哪
lᴀ5	那
ʦʰᴀ2	昨*
sᴀ3	灑撒{～種子}
tʂᴀ1	挓查渣
tʂᴀ3	拃㷢{～肉:蒸肉}
tʂᴀ5	詐榨炸乍
tʂʰᴀ1	叉杈差□{腳亂蹬；亂說話}
tʂʰᴀ2	茶搽茬查
tʂʰᴀ3	蹅{不小心踩到糞便或泥水}
tʂʰᴀ5	岔
ʂᴀ1	沙紗
ʂᴀ3	傻
ʂᴀ5	廈□{去除}
kᴀ5	尬
kʰᴀ3	□{坑害別人:他給人～了}
xᴀ1	颬{撓癢}
ᴀ2	兒
ᴀ3	惹汝爾而耳餌
ᴀ5	二貳
ʨiᴀ1	家加痂嘉傢佳
ʨiᴀ3	假賈
ʨiᴀ5	架駕嫁稼價
ʨʰiᴀ5	揢跙{跨}
ɕiᴀ1	蝦閕{開一點縫}
ɕiᴀ2	斜2
ɕiᴀ5	夏廈下夏
iᴀ1	鴉丫椏涯崖□{從中間插進去或擠}
iᴀ2	牙芽衙伢
iᴀ3	雅啞
iᴀ5	砑亞軋1
tʂʰuᴀ1	抓{用手～牌}
ʂuᴀ3	耍
kuᴀ1	瓜
kuᴀ3	寡
kuᴀ5	掛卦
kʰuᴀ1	誇
kʰuᴀ3	侉垮
kʰuᴀ5	跨
xuᴀ1	花
xuᴀ2	華鏵划
xuᴀ5	化華畫話劃
uᴀ1	蛙挖2
uᴀ3	瓦搲
uᴀ5	瓦{動詞}窪
pei1	杯碑卑悲
pei5	貝蔽弊幣閉1背焙臂被避
pʰei2	陪賠裴
pʰei5	沛配
mei2	梅枚媒煤眉楣黴眉
mei3	每美
mei5	妹昧
fei1	非飛妃
fei2	肥
fei3	匪
fei5	廢肺吠痱費䛍{非常調皮}
tei1	堆
tei3	㨃{兩訖}
tei5	對碓隊兌
tʰei1	推
tʰei3	腿
tʰei5	退蛻
lei1	耒{鏟}頪{低頭疾走；鑽進去}
lei2	雷
lei3	儡累壘
lei5	內累類淚
ʦei2	賊2
ʦei3	嘴
ʦei5	最醉
ʦʰei1	催崔槯{水～:水壺}
ʦʰei2	隨1
ʦʰei5	脆翠粹
sei1	雖尿1
sei2	隨2
sei3	髓
sei5	碎歲遂隧穗
tʂʰei3	逞
tʂuei1	追錐
tʂuei5	贅墜□{犟}
tʂʰuei1	吹炊
tʂʰuei2	垂槌錘
ʂuei2	誰
ʂuei3	水
ʂuei5	稅睡瑞1
ʐuei5	芮銳瑞2蕊
kuei1	閨規龜歸
kuei3	詭軌鬼
kuei5	鱖桂貴
kʰuei1	盔虧
kʰuei2	魁傀奎癸逵葵
kʰuei5	潰跪愧櫃
xuei1	恢灰揮輝徽
xuei2	回
xuei3	悔毀
xuei5	賄晦匯檜會繪穢惠慧諱匯
uei1	煨威
uei2	危爲維惟唯微違圍
uei3	桅僞萎委尾{頭～}偉葦緯
uei5	衛喂位未味魏畏慰胃謂蝟
ʂĩ5	射2
piɪ̃1	鞭邊蝙
piɪ̃3	貶扁匾
piɪ̃5	變辨辯汴便遍辮
pʰiɪ̃1	篇偏
pʰiɪ̃2	便
pʰiɪ̃5	騙遍片聘
miɪ̃2	綿棉眠
miɪ̃3	免勉娩
miɪ̃5	緬面麪{～粉}
tiɪ̃1	掂顛
tiɪ̃3	點典
tiɪ̃5	店電殿奠佃墊
tʰiɪ̃1	添天
tʰiɪ̃2	甜田填
tʰiɪ̃3	舔
tʰiɪ̃5	掭
tʂiɪ̃1	遮2沾粘
tʂiɪ̃5	佔2顫2
tʂʰiɪ̃2	纏□{把穀物屯起來}
tʂʰiɪ̃5	纏{被某人或某事拖住}
ʂiɪ̃1	賒2羶扇
ʂiɪ̃5	舍2扇善鱔膳
ʐiɪ̃3	染冉
ʨiɪ̃1	監尖殲兼間奸澗煎肩堅
ʨiɪ̃3	減鹼檢儉簡柬揀諫剪踐1繭趼
ʨiɪ̃5	鑑艦漸劍箭濺踐2賤件鍵健薦見
ʨʰiɪ̃1	鵮籤謙遷譴箋牽鉛
ʨʰiɪ̃2	鉗錢乾前
ʨʰiɪ̃3	潛淺
ʨʰiɪ̃5	欠
ȵȡiɪ̃1	拈{撿}
ȵȡiɪ̃2	黏廉鐮簾鮎連聯年憐蓮
ȵȡiɪ̃3	鯉臉碾輦捻攆
ȵȡiɪ̃5	念練煉楝
ɕiɪ̃1	杴掀
ɕiɪ̃2	鹹銜嫌閒賢
ɕiɪ̃3	險顯
ɕiɪ̃5	陷餡限莧線憲獻縣
iɪ̃1	淹閹醃蔫焉煙燕
iɪ̃2	炎鹽閻檐嚴顏延言研沿
iɪ̃3	掩魘眼演
iɪ̃5	驗厭豔雁硯燕咽宴
ʨyɪ̃1	絹捐
ʨyɪ̃3	卷
ʨyɪ̃5	腱眷卷圈{豬～}倦
ʨʰyɪ̃1	圈{圓～}
ʨʰyɪ̃2	全泉拳權
ʨʰyɪ̃3	犬
ʨʰyɪ̃5	勸券
ɕyɪ̃1	仙鮮{新～}軒先宣喧揎{摘下植物的葉子}
ɕyɪ̃2	弦旋玄懸
ɕyɪ̃3	鮮{～少}癬選
ɕyɪ̃5	羨現鏇楦炫鏾{～雞：閹割公雞}
yɪ̃1	冤淵
yɪ̃2	圓員緣元原源袁轅園援
yɪ̃3	遠
yɪ̃5	堰院願怨
pã1	班斑頒扳幫母般1{很一～}
pã3	板版拌{扔}
pã5	扮瓣辦
pʰã1	攀
pʰã5	盼襻爿絆判叛牉{一～子:一段時間}
mã1	矕{瞪眼}
mã2	蠻
mã5	慢漫幔蔓
fã1	帆藩翻番
fã2	凡煩礬繁
fã3	反
fã5	泛範犯販嬎飯
tã1	耽擔{～任}丹單
tã3	膽撣
tã5	擔{挑～}淡旦誕但彈{子～}蛋
tʰã1	貪坍灘攤
tʰã2	潭譚談痰檀壇彈{～琴}
tʰã3	毯坦
tʰã5	探炭嘆
lã2	南男藍籃難蘭攔欄
lã3	覽攬纜
lã5	濫難
ʦã1	簪
ʦã2	㜺{美好的樣子：這丫頭長得真～；有意思：你真～，這事也就你能做得出來}
ʦã3	攢
ʦã5	暫贊灒{濺}蹔{碰：走路沒注意～牆上了}□{雲～:雲彩}
ʦʰã1	參餐
ʦʰã2	蠶慚殘
ʦʰã3	慘
ʦʰã5	燦
sã1	三
sã2	㥇{努力,使勁:～跑}
sã3	散{鞋帶～了}傘
sã5	散{分～}
tʂã1	瞻氈劖{剁}
tʂã3	斬盞展
tʂã5	站{立}站{車～}蘸占{～卜}佔1綻棧戰
tʂʰã1	攙
tʂʰã2	讒饞蟾蟬禪{～宗}
tʂʰã3	鏟產{～婦}
tʂʰã5	顫2
ʂã1	杉衫珊山刪
ʂã5	單{姓}
ʐã3	然燃
kã1	甘柑泔尷干肝乾{～溼}
kã3	感敢杆稈擀趕
kã5	幹{～活}
kʰã1	堪勘看{～守}刊
kʰã3	坎砍
kʰã5	看
ŋã1	庵安鞍
ŋã3	唵{舔}
ŋã5	暗岸按案
xã1	憨鼾
xã2	含函寒韓
xã3	喊罕
xã5	撼憾漢旱汗焊翰
ȵȡiã3	兩{～個}
ʂuã1	閂栓
ʂuã5	疝涮
ʐuã3	阮
kuã1	關
kuã5	慣摜
kʰuã1	圈{一～線；～子；～出}
kʰuã2	蜷{蜷曲：他睡覺時喜歡～着；私藏：這些年她～了不少私房錢}
kʰuã5	擓{用胳膊挎着:～個籃子去買菜}
xuã2	還{動詞}環
uã1	彎灣
uã2	玩頑
uã3	皖晚挽宛
uã5	萬
pɑ̃1	幫邦浜
pɑ̃3	榜綁
pɑ̃5	謗傍棒蚌2
pʰɑ̃2	旁龐
pʰɑ̃3	□{西～:西邊}
pʰɑ̃5	胖
mɑ̃1	□{用力打}
mɑ̃2	忙芒茫
mɑ̃3	莽蟒
fɑ̃1	方芳
fɑ̃2	房防
fɑ̃3	肪仿妨紡訪
fɑ̃5	放
tɑ̃1	當
tɑ̃3	黨擋
tɑ̃5	當蕩
tʰɑ̃1	湯
tʰɑ̃2	堂棠唐糖塘搪
tʰɑ̃3	倘躺
tʰɑ̃5	趟
lɑ̃1	齉
lɑ̃2	囊郎廊狼螂𢳑{打～:收拾}
lɑ̃3	朗攮𪮡{水洗容器內壁}
lɑ̃5	浪
ʦɑ̃1	贓髒
ʦɑ̃5	葬藏髒
ʦʰɑ̃1	倉蒼
ʦʰɑ̃2	藏
ʦʰɑ̃5	磢{～癢}
sɑ̃1	桑喪
sɑ̃3	嗓搡
sɑ̃5	喪
tʂɑ̃1	張章樟
tʂɑ̃3	長漲掌
tʂɑ̃5	帳賬脹丈仗杖障瘴
tʂʰɑ̃1	昌菖
tʂʰɑ̃2	長腸場1常嘗償
tʂʰɑ̃3	場2廠
tʂʰɑ̃5	暢唱倡
ʂɑ̃1	商傷裳
ʂɑ̃3	賞晌
ʂɑ̃5	上尚
ʐɑ̃2	穰瓤{不結實}
ʐɑ̃3	壤嚷
ʐɑ̃5	讓
kɑ̃1	岡剛綱鋼缸䟘{擠進來}
kɑ̃3	崗港□{蛀噬}
kɑ̃5	鋼槓虹䟘{走}□{結～:結實}
kʰɑ̃1	康糠
kʰɑ̃2	扛□{昂}
kʰɑ̃3	慷□{焦煳}
kʰɑ̃5	抗炕
ŋɑ̃1	骯
ŋɑ̃2	昂
ŋɑ̃3	炴{慢慢地燃燒}
xɑ̃1	夯□{瞎～:瞎湊熱鬧}
xɑ̃2	行航杭
ʨiɑ̃1	將漿疆僵繮姜薑{生～}江豇
ʨiɑ̃3	蔣獎槳講
ʨiɑ̃5	醬將匠降
ʨʰiɑ̃1	槍腔
ʨʰiɑ̃2	牆詳祥強□{躲起來}
ʨʰiɑ̃3	搶強
ʨʰiɑ̃5	嗆
ȵȡiɑ̃2	娘良涼量糧梁粱
ȵȡiɑ̃3	兩輛仰1
ȵȡiɑ̃5	釀亮諒輛量
ɕiɑ̃1	相箱廂湘襄鑲香鄉
ɕiɑ̃2	降
ɕiɑ̃3	想餉享響
ɕiɑ̃5	相象像橡向項巷
iɑ̃1	央秧殃抰{利用人情關係強迫他人做某事}
iɑ̃2	羊洋楊陽揚瘍
iɑ̃3	仰2養癢
iɑ̃5	樣㨾{作勢}
tʂuɑ̃1	莊裝樁
tʂuɑ̃3	奘
tʂuɑ̃5	壯狀撞□{湊；湊足}
tʂʰuɑ̃1	創瘡窗
tʂʰuɑ̃2	牀□{用力晃動}
tʂʰuɑ̃3	闖
tʂʰuɑ̃5	創
