"繁體"	"简体"	"音標"	"注釋"	"声"	"韵"	"调"
"借"	"借"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"且"	"且"	"tsʰei˧˥"		"tsʰ"	"ei"	"˧˥"
"藉"	"藉"	"tsei˨˩˩"		"ts"	"ei"	"˧˨˨"
"褯"	"褯"	"zei˨˨"		"z"	"ei"	"˨˨"
"□"	"□"	"sei˦˦"	"搞亂東西"	"s"	"ei"	"˦˦"
"些"	"些"	"sei˦˦"		"s"	"ei"	"˦˦"
"寫"	"写"	"sei˧˥"		"s"	"ei"	"˧˥"
"瀉"	"泻"	"sei˥˨"		"s"	"ei"	"˥˨"
"卸"	"卸"	"sei˥˨"		"s"	"ei"	"˥˨"
"卸"	"卸"	"ɕia˨˩˩"	"卸貨，上海話借詞"	"ɕ"	"ia"	"˧˨˨"
"邪"	"邪"	"zei˧˩"		"z"	"ei"	"˧˩"
"斜"	"斜"	"zei˧˩"		"z"	"ei"	"˧˩"
"謝"	"谢"	"zei˨˨"		"z"	"ei"	"˨˨"
"爹"	"爹"	"tei˦˦"		"t"	"ei"	"˦˦"
"遮"	"遮"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"者"	"者"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"蔗"	"蔗"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"車"	"车"	"tsʰu˦˦"		"tsʰ"	"u"	"˦˦"
"車"	"车"	"tsʰei˦˦"		"tsʰ"	"ei"	"˦˦"
"□"	"□"	"tsʰei˦˦"	"斜著"	"tsʰ"	"ei"	"˦˦"
"扯"	"扯"	"tsʰei˧˥"		"tsʰ"	"ei"	"˧˥"
"□"	"□"	"tsʰei˨˩˩"	"斜著"	"tsʰ"	"ei"	"˧˨˨"
"蛇"	"蛇"	"zei˧˩"		"z"	"ei"	"˧˩"
"射"	"射"	"zei˨˨"		"z"	"ei"	"˨˨"
"□"	"□"	"zei˨˩˩"	"跑步"	"z"	"ei"	"˨˩˩"
"奢"	"奢"	"sei˦˦"		"s"	"ei"	"˦˦"
"賒"	"赊"	"sei˦˦"		"s"	"ei"	"˦˦"
"舍"	"舍"	"sei˧˥"		"s"	"ei"	"˧˥"
"赦"	"赦"	"sei˥˨"		"s"	"ei"	"˥˨"
"舍"	"舍"	"sei˧˥"		"s"	"ei"	"˧˥"
"社"	"社"	"zei˩˧"		"z"	"ei"	"˩˧"
"惹"	"惹"	"zei˩˧"		"z"	"ei"	"˩˧"
"耶"	"耶"	"ji˧˩"		"j"	"i"	"˧˩"
"椰"	"椰"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"爺"	"爷"	"ji˧˩"		"j"	"i"	"˧˩"
"冶"	"冶"	"ji˩˧"		"j"	"i"	"˩˧"
"也"	"也"	"ɦa˩˧"		"ɦ"	"a"	"˩˧"
