"繁體"	"简体"	"音標"	"注釋"	"声"	"韵"	"调"
"滯"	"滞"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"制"	"制"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"制"	"制"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"勢"	"势"	"sei˥˨"		"s"	"ei"	"˥˨"
"世"	"世"	"sei˥˨"		"s"	"ei"	"˥˨"
"誓"	"誓"	"sei˥˨"		"s"	"ei"	"˥˨"
"逝"	"逝"	"sei˥˨"		"s"	"ei"	"˥˨"
"藝"	"艺"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"囈"	"呓"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"刈"	"刈"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"閉"	"闭"	"pei˥˨"		"p"	"ei"	"˥˨"
"箅"	"箅"	"pei˥˨"		"p"	"ei"	"˥˨"
"批"	"批"	"pʰei˦˦"		"pʰ"	"ei"	"˦˦"
"陛"	"陛"	"bei˩˧"		"b"	"ei"	"˩˧"
"迷"	"迷"	"mei˧˩"		"m"	"ei"	"˧˩"
"米"	"米"	"mei˩˧"		"m"	"ei"	"˩˧"
"謎"	"谜"	"mei˧˩"		"m"	"ei"	"˧˩"
"堤"	"堤"	"tei˦˦"		"t"	"ei"	"˦˦"
"低"	"低"	"tei˦˦"		"t"	"ei"	"˦˦"
"底"	"底"	"tei˧˥"		"t"	"ei"	"˧˥"
"抵"	"抵"	"tei˥˨"		"t"	"ei"	"˥˨"
"渧"	"渧"	"tei˥˨"	"滴也"	"t"	"ei"	"˥˨"
"帝"	"帝"	"tei˥˨"		"t"	"ei"	"˥˨"
"梯"	"梯"	"tʰei˦˦"		"tʰ"	"ei"	"˦˦"
"體"	"体"	"tʰei˧˥"		"tʰ"	"ei"	"˧˥"
"替"	"替"	"tʰei˥˨"		"tʰ"	"ei"	"˥˨"
"涕"	"涕"	"tʰei˥˨"		"tʰ"	"ei"	"˥˨"
"剃"	"剃"	"tʰei˥˨"		"tʰ"	"ei"	"˥˨"
"提"	"提"	"dei˧˩"		"d"	"ei"	"˧˩"
"題"	"题"	"dei˧˩"		"d"	"ei"	"˧˩"
"蹄"	"蹄"	"di˧˩"	"豬腳蹄兒"	"d"	"i"	"˧˩"
"蹄"	"蹄"	"dei˧˩"		"d"	"ei"	"˧˩"
"啼"	"啼"	"dei˧˩"		"d"	"ei"	"˧˩"
"弟"	"弟"	"dei˩˧"		"d"	"ei"	"˩˧"
"第"	"第"	"dei˨˨"		"d"	"ei"	"˨˨"
"遞"	"递"	"dei˨˨"		"d"	"ei"	"˨˨"
"泥"	"泥"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"犁"	"犁"	"lei˧˩"		"l"	"ei"	"˧˩"
"黎"	"黎"	"lei˧˩"		"l"	"ei"	"˧˩"
"禮"	"礼"	"lei˩˧"		"l"	"ei"	"˩˧"
"麗"	"丽"	"lei˩˧"		"l"	"ei"	"˩˧"
"麗"	"丽"	"lei˨˨"		"l"	"ei"	"˨˨"
"隸"	"隶"	"lei˨˨"		"l"	"ei"	"˨˨"
"擠"	"挤"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"濟"	"济"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"妻"	"妻"	"tsʰei˦˦"		"tsʰ"	"ei"	"˦˦"
"淒"	"凄"	"tsʰei˦˦"		"tsʰ"	"ei"	"˦˦"
"砌"	"砌"	"tsʰei˥˨"		"tsʰ"	"ei"	"˥˨"
"齊"	"齐"	"zei˧˩"		"z"	"ei"	"˧˩"
"臍"	"脐"	"zei˧˩"		"z"	"ei"	"˧˩"
"薺"	"荠"	"zei˧˩"		"z"	"ei"	"˧˩"
"薺"	"荠"	"zei˩˧"		"z"	"ei"	"˩˧"
"西"	"西"	"sei˦˦"		"s"	"ei"	"˦˦"
"棲"	"栖"	"sei˦˦"		"s"	"ei"	"˦˦"
"犀"	"犀"	"sei˦˦"		"s"	"ei"	"˦˦"
"洗"	"洗"	"sei˧˥"		"s"	"ei"	"˧˥"
"細"	"细"	"sei˥˨"		"s"	"ei"	"˥˨"
"婿"	"婿"	"sei˥˨"		"s"	"ei"	"˥˨"
"雞"	"鸡"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"稽"	"稽"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"計"	"计"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"繼"	"继"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"繋"	"繋"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"溪"	"溪"	"tɕʰi˦˦"		"tɕʰ"	"i"	"˦˦"
"啟"	"启"	"tɕʰi˧˥"		"tɕʰ"	"i"	"˧˥"
"契"	"契"	"tɕʰi˥˨"		"tɕʰ"	"i"	"˥˨"
"倪"	"倪"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"詣"	"诣"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"兮"	"兮"	"ji˧˩"		"j"	"i"	"˧˩"
"奚"	"奚"	"ji˧˩"		"j"	"i"	"˧˩"
"系"	"系"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"系"	"系"	"ji˨˨"		"j"	"i"	"˨˨"
"系"	"系"	"ji˨˨"		"j"	"i"	"˨˨"
"系"	"系"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"縊"	"缢"	"ʔi˥˨"		"ʔ"	"i"	"˥˨"
"瞖"	"瞖"	"ʔi˥˨"		"ʔ"	"i"	"˥˨"
"杯"	"杯"	"pai˦˦"		"p"	"ai"	"˦˦"
"背"	"背"	"pai˦˦"		"p"	"ai"	"˦˦"
"輩"	"辈"	"pai˥˨"		"p"	"ai"	"˥˨"
"背"	"背"	"pai˥˨"		"p"	"ai"	"˥˨"
"坯"	"坯"	"pʰai˦˦"		"pʰ"	"ai"	"˦˦"
"胚"	"胚"	"pʰai˦˦"		"pʰ"	"ai"	"˦˦"
"配"	"配"	"pʰai˥˨"		"pʰ"	"ai"	"˥˨"
"培"	"培"	"bai˧˩"		"b"	"ai"	"˧˩"
"陪"	"陪"	"bai˧˩"		"b"	"ai"	"˧˩"
"賠"	"赔"	"bai˧˩"		"b"	"ai"	"˧˩"
"倍"	"倍"	"bai˩˧"		"b"	"ai"	"˩˧"
"佩"	"佩"	"bei˨˨"		"b"	"ei"	"˨˨"
"媒"	"媒"	"mei˧˩"		"m"	"ei"	"˧˩"
"枚"	"枚"	"mai˧˩"		"m"	"ai"	"˧˩"
"玫"	"玫"	"mai˧˩"		"m"	"ai"	"˧˩"
"娒"	"娒"	"ʔme˦˦"	"孩子"	"ʔm"	"e"	"˦˦"
"梅"	"梅"	"mei˧˩"		"m"	"ei"	"˧˩"
"每"	"每"	"mei˩˧"		"m"	"ei"	"˩˧"
"昧"	"昧"	"mei˨˨"		"m"	"ei"	"˨˨"
"妹"	"妹"	"mei˨˨"		"m"	"ei"	"˨˨"
"堆"	"堆"	"tai˦˦"		"t"	"ai"	"˦˦"
"對"	"对"	"tai˥˨"		"t"	"ai"	"˥˨"
"推"	"推"	"tʰai˦˦"		"tʰ"	"ai"	"˦˦"
"腿"	"腿"	"tʰai˧˥"		"tʰ"	"ai"	"˧˥"
"退"	"退"	"tʰai˥˨"		"tʰ"	"ai"	"˥˨"
"頹"	"颓"	"dai˧˩"		"d"	"ai"	"˧˩"
"隊"	"队"	"dai˨˨"		"d"	"ai"	"˨˨"
"餒"	"馁"	"nai˩˧"		"n"	"ai"	"˩˧"
"內"	"内"	"nai˨˨"		"n"	"ai"	"˨˨"
"雷"	"雷"	"lai˧˩"		"l"	"ai"	"˧˩"
"儡"	"儡"	"lai˩˧"		"l"	"ai"	"˩˧"
"催"	"催"	"tsʰai˦˦"		"tsʰ"	"ai"	"˦˦"
"崔"	"崔"	"tsʰai˦˦"		"tsʰ"	"ai"	"˦˦"
"罪"	"罪"	"zai˩˧"		"z"	"ai"	"˩˧"
"罪"	"罪"	"zei˩˧"	"罪過"	"z"	"ei"	"˩˧"
"碎"	"碎"	"sai˥˨"		"s"	"ai"	"˥˨"
"瑰"	"瑰"	"kai˦˦"	"玫瑰"	"k"	"ai"	"˦˦"
"盔"	"盔"	"kʰai˦˦"		"kʰ"	"ai"	"˦˦"
"魁"	"魁"	"kʰai˧˥"		"kʰ"	"ai"	"˧˥"
"詼"	"诙"	"fai˦˦"		"f"	"ai"	"˦˦"
"詼"	"诙"	"kʰai˦˦"		"kʰ"	"ai"	"˦˦"
"恢"	"恢"	"kʰai˦˦"		"kʰ"	"ai"	"˦˦"
"傀"	"傀"	"kʰai˧˥"		"kʰ"	"ai"	"˧˥"
"塊"	"块"	"kʰai˥˨"		"kʰ"	"ai"	"˥˨"
"桅"	"桅"	"vai˧˩"		"v"	"ai"	"˧˩"
"灰"	"灰"	"fai˦˦"		"f"	"ai"	"˦˦"
"悔"	"悔"	"fai˧˥"		"f"	"ai"	"˧˥"
"賄"	"贿"	"fai˧˥"		"f"	"ai"	"˧˥"
"晦"	"晦"	"fai˥˨"		"f"	"ai"	"˥˨"
"回"	"回"	"vai˧˩"		"v"	"ai"	"˧˩"
"匯"	"汇"	"vai˩˧"		"v"	"ai"	"˩˧"
"潰"	"溃"	"kʰai˥˨"		"kʰ"	"ai"	"˥˨"
"煨"	"煨"	"ʔʋai˦˦"		"ʔʋ"	"ai"	"˦˦"
"□"	"□"	"ʔʋai˥˨"	"膩了"	"ʔʋ"	"ai"	"˥˨"
"兌"	"兑"	"dai˨˨"		"d"	"ai"	"˨˨"
"兌"	"兑"	"tai˥˨"		"t"	"ai"	"˥˨"
"最"	"最"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"最"	"最"	"tsai˥˨"		"ts"	"ai"	"˥˨"
"劊"	"刽"	"kai˥˨"		"k"	"ai"	"˥˨"
"會"	"会"	"kai˥˨"		"k"	"ai"	"˥˨"
"外"	"外"	"ŋa˨˨"		"ŋ"	"a"	"˨˨"
"會"	"会"	"vai˨˨"	"會市：集會"	"v"	"ai"	"˨˨"
"繪"	"绘"	"vai˨˨"		"v"	"ai"	"˨˨"
"乖"	"乖"	"ka˦˦"		"k"	"a"	"˦˦"
"怪"	"怪"	"ka˥˨"		"k"	"a"	"˥˨"
"蒯"	"蒯"	"kʰa˥˨"		"kʰ"	"a"	"˥˨"
"淮"	"淮"	"va˧˩"		"v"	"a"	"˧˩"
"懷"	"怀"	"va˧˩"		"v"	"a"	"˧˩"
"槐"	"槐"	"va˧˩"		"v"	"a"	"˧˩"
"壞"	"坏"	"va˨˨"		"v"	"a"	"˨˨"
"拐"	"拐"	"ka˧˥"		"k"	"a"	"˧˥"
"掛"	"挂"	"ku˥˨"		"k"	"u"	"˥˨"
"卦"	"卦"	"ku˥˨"		"k"	"u"	"˥˨"
"歪"	"歪"	"ʔʋa˦˦"		"ʔʋ"	"a"	"˦˦"
"畫"	"画"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"蛙"	"蛙"	"ʔu˦˦"		"ʔ"	"u"	"˦˦"
"快"	"快"	"kʰau˥˨"	"快活"	"kʰ"	"au"	"˥˨"
"快"	"快"	"kʰa˥˨"		"kʰ"	"a"	"˥˨"
"筷"	"筷"	"kʰa˥˨"		"kʰ"	"a"	"˥˨"
"話"	"话"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"脆"	"脆"	"tsʰai˥˨"		"tsʰ"	"ai"	"˥˨"
"歲"	"岁"	"sɵʉ˥˨"	"歲大：過輩，老了"	"s"	"ɵʉ"	"˥˨"
"彗"	"彗"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"綴"	"缀"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"贅"	"赘"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"稅"	"税"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"說"	"说"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"鱖"	"鳜"	"tɕy˥˨"		"tɕ"	"y"	"˥˨"
"衛"	"卫"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"鋭"	"鋭"	"zai˨˨"		"z"	"ai"	"˨˨"
"廢"	"废"	"fai˥˨"		"f"	"ai"	"˥˨"
"肺"	"肺"	"fai˥˨"		"f"	"ai"	"˥˨"
"吠"	"吠"	"vai˨˨"		"v"	"ai"	"˨˨"
"穢"	"秽"	"ʔʋʉ˥˨"		"ʔʋ"	"ʉ"	"˥˨"
"圭"	"圭"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"閨"	"闺"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"桂"	"桂"	"tɕy˥˨"		"tɕ"	"y"	"˥˨"
"奎"	"奎"	"kʰai˦˦"		"kʰ"	"ai"	"˦˦"
"攜"	"携"	"zei˧˩"		"z"	"ei"	"˧˩"
"攜"	"携"	"ɕi˨˩˩"		"ɕ"	"i"	"˧˨˨"
"攜"	"携"	"ji˧˩"		"j"	"i"	"˧˩"
"攜"	"携"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"慧"	"慧"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"惠"	"惠"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"卑"	"卑"	"pei˦˦"		"p"	"ei"	"˦˦"
"碑"	"碑"	"pei˦˦"		"p"	"ei"	"˦˦"
"裨"	"裨"	"pei˦˦"		"p"	"ei"	"˦˦"
"彼"	"彼"	"pei˧˥"		"p"	"ei"	"˧˥"
"俾"	"俾"	"pei˧˥"		"p"	"ei"	"˧˥"
"臂"	"臂"	"pei˥˨"		"p"	"ei"	"˥˨"
"披"	"披"	"pʰei˦˦"		"pʰ"	"ei"	"˦˦"
"譬"	"譬"	"pʰei˧˩"		"pʰ"	"ei"	"˧˩"
"皮"	"皮"	"bei˧˩"		"b"	"ei"	"˧˩"
"疲"	"疲"	"bei˧˩"		"b"	"ei"	"˧˩"
"脾"	"脾"	"bei˩˧"		"b"	"ei"	"˩˧"
"被"	"被"	"bei˩˧"		"b"	"ei"	"˩˧"
"婢"	"婢"	"bei˩˧"		"b"	"ei"	"˩˧"
"避"	"避"	"bei˨˨"		"b"	"ei"	"˨˨"
"糜"	"糜"	"mei˧˩"		"m"	"ei"	"˧˩"
"彌"	"弥"	"mei˧˩"		"m"	"ei"	"˧˩"
"靡"	"靡"	"mei˩˧"		"m"	"ei"	"˩˧"
"籬"	"篱"	"lei˧˩"		"l"	"ei"	"˧˩"
"離"	"离"	"lei˧˩"		"l"	"ei"	"˧˩"
"璃"	"璃"	"lei˧˩"		"l"	"ei"	"˧˩"
"荔"	"荔"	"lei˨˨"		"l"	"ei"	"˨˨"
"紫"	"紫"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"雌"	"雌"	"tsʰɿ˦˦"		"tsʰ"	"ɿ"	"˦˦"
"此"	"此"	"tsʰɿ˧˥"		"tsʰ"	"ɿ"	"˧˥"
"刺"	"刺"	"tsʰɿ˥˨"		"tsʰ"	"ɿ"	"˥˨"
"疵"	"疵"	"tsʰɿ˦˦"		"tsʰ"	"ɿ"	"˦˦"
"斯"	"斯"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"撕"	"撕"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"廝"	"厮"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"璽"	"玺"	"sei˧˥"		"s"	"ei"	"˧˥"
"徙"	"徙"	"sei˧˥"		"s"	"ei"	"˧˥"
"賜"	"赐"	"tsʰɿ˦˦"		"tsʰ"	"ɿ"	"˦˦"
"知"	"知"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"智"	"智"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"池"	"池"	"dzei˧˩"		"dz"	"ei"	"˧˩"
"池"	"池"	"zei˧˩"	"上岸池"	"z"	"ei"	"˧˩"
"馳"	"驰"	"dzɿ˧˩"		"z"	"ɿ"	"˧˩"
"篩"	"筛"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"支"	"支"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"枝"	"枝"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"肢"	"肢"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"只"	"只"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"只"	"只"	"tsɿ˨˩˩"		"ts"	"ɿ"	"˧˨˨"
"紙"	"纸"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"侈"	"侈"	"tsʰɿ˧˥"		"tsʰ"	"ɿ"	"˧˥"
"施"	"施"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"豕"	"豕"	"sɿ˥˨"		"s"	"ɿ"	"˥˨"
"啻"	"啻"	"sei˥˨"		"s"	"ei"	"˥˨"
"翅"	"翅"	"tsʰɿ˥˨"		"tsʰ"	"ɿ"	"˥˨"
"匙"	"匙"	"zei˧˩"		"z"	"ei"	"˧˩"
"是"	"是"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"氏"	"氏"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"豉"	"豉"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"兒"	"儿"	"ŋ˧˩"		"Ø"	"ŋ"	"˧˩"
"爾"	"尔"	"ŋ˩˧"		"Ø"	"ŋ"	"˩˧"
"羈"	"羁"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"寄"	"寄"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"企"	"企"	"dʑi˩˧"		"dʑ"	"i"	"˩˧"
"企"	"企"	"tɕʰi˧˥"		"tɕʰ"	"i"	"˧˥"
"奇"	"奇"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"騎"	"骑"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"岐"	"岐"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"技"	"技"	"dʑi˨˨"		"dʑ"	"i"	"˨˨"
"妓"	"妓"	"dʑi˩˧"		"dʑ"	"i"	"˩˧"
"宜"	"宜"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"儀"	"仪"	"ȵi˩˧"		"ȵ"	"i"	"˩˧"
"蟻"	"蚁"	"ŋa˩˧"		"ŋ"	"a"	"˩˧"
"義"	"义"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"義"	"义"	"ȵi˨˨"		"ȵ"	"i"	"˨˨"
"議"	"议"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"誼"	"谊"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"犧"	"牺"	"ɕi˦˦"		"ɕ"	"i"	"˦˦"
"戲"	"戏"	"ɕi˥˨"		"ɕ"	"i"	"˥˨"
"椅"	"椅"	"ʔi˧˥"		"ʔ"	"i"	"˧˥"
"移"	"移"	"ji˧˩"		"j"	"i"	"˧˩"
"易"	"易"	"ji˨˨"		"j"	"i"	"˨˨"
"悲"	"悲"	"pei˦˦"		"p"	"ei"	"˦˦"
"鄙"	"鄙"	"pei˧˥"		"p"	"ei"	"˧˥"
"比"	"比"	"pei˧˥"		"p"	"ei"	"˧˥"
"庇"	"庇"	"pei˥˨"		"p"	"ei"	"˥˨"
"痹"	"痹"	"pei˥˨"		"p"	"ei"	"˥˨"
"泌"	"泌"	"mei˨˨"		"m"	"ei"	"˨˨"
"秘"	"秘"	"mei˨˨"		"m"	"ei"	"˨˨"
"轡"	"辔"	"pei˥˨"		"p"	"ei"	"˥˨"
"丕"	"丕"	"pʰei˦˦"		"pʰ"	"ei"	"˦˦"
"屁"	"屁"	"pʰei˥˨"		"pʰ"	"ei"	"˥˨"
"琵"	"琵"	"bei˧˩"		"b"	"ei"	"˧˩"
"牝"	"牝"	"bei˩˧"		"b"	"ei"	"˩˧"
"備"	"备"	"bei˨˨"		"b"	"ei"	"˨˨"
"鼻"	"鼻"	"bei˨˩˩"		"b"	"ei"	"˨˩˩"
"篦"	"篦"	"bei˨˨"		"b"	"ei"	"˨˨"
"眉"	"眉"	"mei˧˩"		"m"	"ei"	"˧˩"
"楣"	"楣"	"mei˧˩"		"m"	"ei"	"˧˩"
"黴"	"霉"	"mei˧˩"		"m"	"ei"	"˧˩"
"美"	"美"	"mei˩˧"		"m"	"ei"	"˩˧"
"媚"	"媚"	"mei˨˨"		"m"	"ei"	"˨˨"
"寐"	"寐"	"mei˨˨"		"m"	"ei"	"˨˨"
"地"	"地"	"dei˨˨"		"d"	"ei"	"˨˨"
"尼"	"尼"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"呢"	"呢"	"neiØ"		"ʔn"	"ei"	"Ø"
"呢"	"呢"	"ȵi˧˩"		"ȵ"	"i"	"˧˩"
"膩"	"腻"	"ȵi˩˧"		"ȵ"	"i"	"˩˧"
"梨"	"梨"	"lei˧˩"		"l"	"ei"	"˧˩"
"履"	"履"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"利"	"利"	"lei˨˨"		"l"	"ei"	"˨˨"
"痢"	"痢"	"lei˨˨"		"l"	"ei"	"˨˨"
"諮"	"咨"	"tsɿ˦˦"		"s"	"ɿ"	"˦˦"
"資"	"资"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"姿"	"姿"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"姊"	"姊"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"次"	"次"	"tsʰɿ˥˨"		"tsʰ"	"ɿ"	"˥˨"
"瓷"	"瓷"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"糍"	"糍"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"自"	"自"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"私"	"私"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"死"	"死"	"sɿ˧˥"		"s"	"ɿ"	"˧˥"
"四"	"四"	"sɿ˥˨"		"s"	"ɿ"	"˥˨"
"肆"	"肆"	"sɿ˥˨"		"s"	"ɿ"	"˥˨"
"致"	"致"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"遲"	"迟"	"dzɿ˧˩"		"z"	"ɿ"	"˧˩"
"雉"	"雉"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"稚"	"稚"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"師"	"师"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"獅"	"狮"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"脂"	"脂"	"tsei˦˦"	"胭脂"	"ts"	"ei"	"˦˦"
"脂"	"脂"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"指"	"指"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"旨"	"旨"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"至"	"至"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"鴟"	"鸱"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"示"	"示"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"屍"	"尸"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"鈰"	"铈"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"矢"	"矢"	"sɿ˧˥"		"s"	"ɿ"	"˧˥"
"屎"	"屎"	"sɿ˧˥"		"s"	"ɿ"	"˧˥"
"嗜"	"嗜"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"視"	"视"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"二"	"二"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"貳"	"贰"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"肌"	"肌"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"饑"	"饥"	"tɕi˦˦"		"tɕ"	"i"	"˦˦"
"幾"	"几"	"ke˧˥"		"k"	"e"	"˧˥"
"幾"	"几"	"tɕi˧˥"		"tɕ"	"i"	"˧˥"
"冀"	"冀"	"tɕi˥˨"		"tɕ"	"i"	"˥˨"
"器"	"器"	"tɕʰi˥˨"		"tɕʰ"	"i"	"˥˨"
"棄"	"弃"	"tɕʰi˥˨"		"tɕʰ"	"i"	"˥˨"
"祈"	"祈"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"鰭"	"鳍"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"耆"	"耆"	"dʑi˧˩"		"dʑ"	"i"	"˧˩"
"伊"	"伊"	"ʔi˦˦"		"ʔ"	"i"	"˦˦"
"懿"	"懿"	"ji˧˩"		"j"	"i"	"˧˩"
"懿"	"懿"	"ji˨˨"		"j"	"i"	"˨˨"
"夷"	"夷"	"ji˧˩"		"j"	"i"	"˧˩"
"姨"	"姨"	"ji˧˩"		"j"	"i"	"˧˩"
"肄"	"肄"	"ji˨˨"		"j"	"i"	"˨˨"
"你"	"你"	"ȵi˩˧"		"ȵ"	"i"	"˩˧"
"厘"	"厘"	"lei˧˩"		"l"	"ei"	"˧˩"
"李"	"李"	"lei˩˧"		"l"	"ei"	"˩˧"
"理"	"理"	"lei˩˧"		"l"	"ei"	"˩˧"
"裡"	"里"	"lei˩˧"		"l"	"ei"	"˩˧"
"裡"	"里"	"lei˩˧"		"l"	"ei"	"˩˧"
"鯉"	"鲤"	"lei˩˧"		"l"	"ei"	"˩˧"
"吏"	"吏"	"lei˨˨"		"l"	"ei"	"˨˨"
"茲"	"兹"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"滋"	"滋"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
"子"	"子"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"梓"	"梓"	"tsɿ˧˥"		"ts"	"ɿ"	"˧˥"
"磁"	"磁"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"慈"	"慈"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"字"	"字"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"司"	"司"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"絲"	"丝"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"思"	"思"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"伺"	"伺"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"辭"	"辞"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"詞"	"词"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"祠"	"祠"	"zɿ˧˩"		"z"	"ɿ"	"˧˩"
"巳"	"巳"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"祀"	"祀"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"似"	"似"	"zɿ˩˧"		"z"	"ɿ"	"˩˧"
"寺"	"寺"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"嗣"	"嗣"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"飼"	"饲"	"zɿ˨˨"		"z"	"ɿ"	"˨˨"
"置"	"置"	"tsɿ˥˨"		"ts"	"ɿ"	"˥˨"
"癡"	"痴"	"tsʰɿ˦˦"		"tsʰ"	"ɿ"	"˦˦"
"恥"	"耻"	"tsʰɿ˧˥"		"tsʰ"	"ɿ"	"˧˥"
"持"	"持"	"dzɿ˧˩"		"z"	"ɿ"	"˧˩"
"峙"	"峙"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"痔"	"痔"	"dzɿ˩˧"		"dz"	"ɿ"	"˩˧"
"治"	"治"	"dzɿ˨˨"		"dz"	"ɿ"	"˨˨"
"輜"	"辎"	"tsɿ˦˦"		"ts"	"ɿ"	"˦˦"
