"繁體"	"簡體"	"拼音"	"音標"
"香"	"香"	"shi1"	"ɕi˧˧"
"鄉"	"鄉"	"shi1"	"ɕi˧˧"
"廂"	"廂"	"shi1"	"ɕi˧˧"
"湘"	"湘"	"shi1"	"ɕi˧˧"
"箱"	"箱"	"shi1"	"ɕi˧˧"
"襄"	"襄"	"shi1"	"ɕi˧˧"
"軒"	"軒"	"shi1"	"ɕi˧˧"
"沿"	"沿"	"shi1"	"ɕi˧˧"
"陝"	"陝"	"shi3"	"ɕi˧˥"
"閃"	"閃"	"shi3"	"ɕi˧˥"
"賞"	"賞"	"shi3"	"ɕi˧˥"
"髓"	"髓"	"shi3"	"ɕi˧˥"
"鮮"	"鮮"	"shi3"	"ɕi˧˥"
"筅"	"筅"	"shi3"	"ɕi˧˥"
"險"	"險"	"shi3"	"ɕi˧˥"
"狝"	"狝"	"shi3"	"ɕi˧˥"
"顯"	"顯"	"shi3"	"ɕi˧˥"
"享"	"享"	"shi3"	"ɕi˧˥"
"想"	"想"	"shi3"	"ɕi˧˥"
"餉"	"餉"	"shi3"	"ɕi˧˥"
"鯗"	"鯗"	"shi3"	"ɕi˧˥"
"響"	"響"	"shi3"	"ɕi˧˥"
"癬"	"癬"	"shi3"	"ɕi˧˥"
"煽"	"煽"	"shi5"	"ɕi˥˨"
"扇"	"扇"	"shi5"	"ɕi˥˨"
"系"	"系"	"shi5"	"ɕi˥˨"
"莧"	"莧"	"shi5"	"ɕi˥˨"
"線"	"線"	"shi5"	"ɕi˥˨"
"憲"	"憲"	"shi5"	"ɕi˥˨"
"霰"	"霰"	"shi5"	"ɕi˥˨"
"獻"	"獻"	"shi5"	"ɕi˥˨"
"相"	"相"	"shi5"	"ɕi˥˨"
"餉"	"餉"	"shi5"	"ɕi˥˨"
"向"	"向"	"shi5"	"ɕi˥˨"
"歇"	"歇"	"shi7"	"ɕi˨˩˧"
"脅"	"脅"	"shi7"	"ɕi˨˩˧"
"屑"	"屑"	"shi7"	"ɕi˨˩˧"
"蔫"	"蔫"	"yi1"	"ʔji˧˧"
"咽"	"咽"	"yi1"	"ʔji˧˧"
"胭"	"胭"	"yi1"	"ʔji˧˧"
"焉"	"焉"	"yi1"	"ʔji˧˧"
"淹"	"淹"	"yi1"	"ʔji˧˧"
"煙"	"煙"	"yi1"	"ʔji˧˧"
"醃"	"醃"	"yi1"	"ʔji˧˧"
"閹"	"閹"	"yi1"	"ʔji˧˧"
"燕"	"燕"	"yi1"	"ʔji˧˧"
"央"	"央"	"yi1"	"ʔji˧˧"
"殃"	"殃"	"yi1"	"ʔji˧˧"
"秧"	"秧"	"yi1"	"ʔji˧˧"
"伊"	"伊"	"yi1"	"ʔji˧˧"
"衣"	"衣"	"yi1"	"ʔji˧˧"
"依"	"依"	"yi1"	"ʔji˧˧"
"醫"	"醫"	"yi1"	"ʔji˧˧"
"堙"	"堙"	"yi1"	"ʔji˧˧"
"掩"	"掩"	"yi3"	"ʔji˧˥"
"燕"	"燕"	"yi3"	"ʔji˧˥"
"養"	"養"	"yi3"	"ʔji˧˥"
"野"	"野"	"yi3"	"ʔji˧˥"
"倚"	"倚"	"yi3"	"ʔji˧˥"
"椅"	"椅"	"yi3"	"ʔji˧˥"
"魘"	"魘"	"yi5"	"ʔji˥˨"
"宴"	"宴"	"yi5"	"ʔji˥˨"
"堰"	"堰"	"yi5"	"ʔji˥˨"
"厭"	"厭"	"yi5"	"ʔji˥˨"
"燕"	"燕"	"yi5"	"ʔji˥˨"
"樣"	"樣"	"yi5"	"ʔji˥˨"
"意"	"意"	"yi5"	"ʔji˥˨"
"億"	"億"	"yi5"	"ʔji˥˨"
"瞖"	"瞖"	"yi5"	"ʔji˥˨"
"憶"	"憶"	"yi5"	"ʔji˥˨"
"咽"	"咽"	"yi7"	"ʔji˨˩˧"
"噎"	"噎"	"yi7"	"ʔji˨˩˧"
"頁"	"頁"	"yi7"	"ʔji˨˩˧"
"靨"	"靨"	"yi7"	"ʔji˨˩˧"
"一"	"一"	"yi7"	"ʔji˨˩˧"
"禪"	"禪"	"yi2"	"ji˧˩"
"蟬"	"蟬"	"yi2"	"ji˧˩"
"蟾"	"蟾"	"yi2"	"ji˧˩"
"常"	"常"	"yi2"	"ji˧˩"
"嘗"	"嘗"	"yi2"	"ji˧˩"
"償"	"償"	"yi2"	"ji˧˩"
"降"	"降"	"yi2"	"ji˧˩"
"畦"	"畦"	"yi2"	"ji˧˩"
"鉛"	"鉛"	"yi2"	"ji˧˩"
"前"	"前"	"yi2"	"ji˧˩"
"潛"	"潛"	"yi2"	"ji˧˩"
"牆"	"牆"	"yi2"	"ji˧˩"
"牆"	"牆"	"yi2"	"ji˧˩"
"然"	"然"	"yi2"	"ji˧˩"
"燃"	"燃"	"yi2"	"ji˧˩"
"裳"	"裳"	"yi2"	"ji˧˩"
"蛇"	"蛇"	"yi2"	"ji˧˩"
"兮"	"兮"	"yi2"	"ji˧˩"
"兮"	"兮"	"yi2"	"ji˧˩"
"奚"	"奚"	"yi2"	"ji˧˩"
"弦"	"弦"	"yi2"	"ji˧˩"
"涎"	"涎"	"yi2"	"ji˧˩"
"涎"	"涎"	"yi2"	"ji˧˩"
"嫌"	"嫌"	"yi2"	"ji˧˩"
"賢"	"賢"	"yi2"	"ji˧˩"
"祥"	"祥"	"yi2"	"ji˧˩"
"詳"	"詳"	"yi2"	"ji˧˩"
"焉"	"焉"	"yi2"	"ji˧˩"
"延"	"延"	"yi2"	"ji˧˩"
"炎"	"炎"	"yi2"	"ji˧˩"
"沿"	"沿"	"yi2"	"ji˧˩"
"蜒"	"蜒"	"yi2"	"ji˧˩"
"筵"	"筵"	"yi2"	"ji˧˩"
"閻"	"閻"	"yi2"	"ji˧˩"
"鹽"	"鹽"	"yi2"	"ji˧˩"
"羊"	"羊"	"yi2"	"ji˧˩"
"垟"	"垟"	"yi2"	"ji˧˩"
"洋"	"洋"	"yi2"	"ji˧˩"
"陽"	"陽"	"yi2"	"ji˧˩"
"揚"	"揚"	"yi2"	"ji˧˩"
"楊"	"楊"	"yi2"	"ji˧˩"
"耶"	"耶"	"yi2"	"ji˧˩"
"椰"	"椰"	"yi2"	"ji˧˩"
"爺"	"爺"	"yi2"	"ji˧˩"
"夷"	"夷"	"yi2"	"ji˧˩"
"怡"	"怡"	"yi2"	"ji˧˩"
"宜"	"宜"	"yi2"	"ji˧˩"
"姨"	"姨"	"yi2"	"ji˧˩"
"移"	"移"	"yi2"	"ji˧˩"
"貽"	"貽"	"yi2"	"ji˧˩"
"懿"	"懿"	"yi2"	"ji˧˩"
"單"	"單"	"yi4"	"ji˧˥"
"漸"	"漸"	"yi4"	"ji˧˥"
"冉"	"冉"	"yi4"	"ji˧˥"
"善"	"善"	"yi4"	"ji˧˥"
"膳"	"膳"	"yi4"	"ji˧˥"
"鱔"	"鱔"	"yi4"	"ji˧˥"
"上"	"上"	"yi4"	"ji˧˥"
"象"	"象"	"yi4"	"ji˧˥"
"像"	"像"	"yi4"	"ji˧˥"
"橡"	"橡"	"yi4"	"ji˧˥"
"衍"	"衍"	"yi4"	"ji˧˥"
"演"	"演"	"yi4"	"ji˧˥"
"冶"	"冶"	"yi4"	"ji˧˥"
"已"	"已"	"yi4"	"ji˧˥"
"以"	"以"	"yi4"	"ji˧˥"
"矣"	"矣"	"yi4"	"ji˧˥"
"禪"	"禪"	"yi6"	"ji˨˨"
"單"	"單"	"yi6"	"ji˨˨"
"賤"	"賤"	"yi6"	"ji˨˨"
"踐"	"踐"	"yi6"	"ji˨˨"
"匠"	"匠"	"yi6"	"ji˨˨"
"壤"	"壤"	"yi6"	"ji˨˨"
"攘"	"攘"	"yi6"	"ji˨˨"
"嚷"	"嚷"	"yi6"	"ji˨˨"
"擅"	"擅"	"yi6"	"ji˨˨"
"贍"	"贍"	"yi6"	"ji˨˨"
"上"	"上"	"yi6"	"ji˨˨"
"尚"	"尚"	"yi6"	"ji˨˨"
"射"	"射"	"yi6"	"ji˨˨"
"系"	"系"	"yi6"	"ji˨˨"
"現"	"現"	"yi6"	"ji˨˨"
"羨"	"羨"	"yi6"	"ji˨˨"
"鹽"	"鹽"	"yi6"	"ji˨˨"
"焰"	"焰"	"yi6"	"ji˨˨"
"豔"	"豔"	"yi6"	"ji˨˨"
"養"	"養"	"yi6"	"ji˨˨"
"樣"	"樣"	"yi6"	"ji˨˨"
"夜"	"夜"	"yi6"	"ji˨˨"
"易"	"易"	"yi6"	"ji˨˨"
"異"	"異"	"yi6"	"ji˨˨"
"肄"	"肄"	"yi6"	"ji˨˨"
"懿"	"懿"	"yi6"	"ji˨˨"
"仗"	"仗"	"yi6"	"ji˨˨"
"捷"	"捷"	"yi8"	"ji˨˩˧"
"截"	"截"	"yi8"	"ji˨˩˧"
"舌"	"舌"	"yi8"	"ji˨˩˧"
"涉"	"涉"	"yi8"	"ji˨˩˧"
"俠"	"俠"	"yi8"	"ji˨˩˧"
"協"	"協"	"yi8"	"ji˨˩˧"
"挾"	"挾"	"yi8"	"ji˨˩˧"
"葉"	"葉"	"yi8"	"ji˨˩˧"
"折"	"折"	"yi8"	"ji˨˩˧"
"該"	"該"	"ki1"	"ki˧˧"
"幾"	"幾"	"ki3"	"ki˧˥"
"改"	"改"	"ki3"	"ki˧˥"
"蓋"	"蓋"	"ki5"	"ki˥˨"
"概"	"概"	"ki5"	"ki˥˨"
"居"	"居"	"ki7"	"ki˨˩˧"
"開"	"開"	"khi1"	"kʰi˧˧"
"去"	"去"	"khi5"	"kʰi˥˨"
"渠"	"渠"	"ɡi2"	"ɡi˧˩"
"徛"	"徛"	"gi4"	"gi˧˥"
"隑"	"隑"	"gi6"	"gi˨˨"
"許"	"許"	"hi3"	"hi˧˥"
"波"	"波"	"pu1"	"pu˧˧"
"玻"	"玻"	"pu1"	"pu˧˧"
"菠"	"菠"	"pu1"	"pu˧˧"
"播"	"播"	"pu1"	"pu˧˧"
"簸"	"簸"	"pu1"	"pu˧˧"
"坡"	"坡"	"pu1"	"pu˧˧"
"跛"	"跛"	"pu3"	"pu˧˥"
"圃"	"圃"	"pu3"	"pu˧˥"
"播"	"播"	"pu5"	"pu˥˨"
"簸"	"簸"	"pu5"	"pu˥˨"
"陂"	"陂"	"phu1"	"pʰu˧˧"
"坡"	"坡"	"phu1"	"pʰu˧˧"
"頗"	"頗"	"phu1"	"pʰu˧˧"
"頗"	"頗"	"phu3"	"pʰu˧˥"
"埔"	"埔"	"phu3"	"pʰu˧˥"
"圃"	"圃"	"phu3"	"pʰu˧˥"
"浦"	"浦"	"phu3"	"pʰu˧˥"
"普"	"普"	"phu3"	"pʰu˧˥"
"覆"	"覆"	"phu7"	"pʰu˨˩˧"
"撲"	"撲"	"phu7"	"pʰu˨˩˧"
"樸"	"樸"	"phu7"	"pʰu˨˩˧"
"薄"	"薄"	"bu2"	"bu˧˩"
"莆"	"莆"	"bu2"	"bu˧˩"
"菩"	"菩"	"bu2"	"bu˧˩"
"脯"	"脯"	"bu2"	"bu˧˩"
"蒲"	"蒲"	"bu2"	"bu˧˩"
"部"	"部"	"bu4"	"bu˧˥"
"簿"	"簿"	"bu4"	"bu˧˥"
"菢"	"菢"	"bu6"	"bu˨˨"
"捕"	"捕"	"bu6"	"bu˨˨"
"哺"	"哺"	"bu6"	"bu˨˨"
"蔔"	"蔔"	"bu8"	"bu˨˩˧"
"栿"	"栿"	"bu8"	"bu˨˩˧"
"僕"	"僕"	"bu8"	"bu˨˩˧"
"瀑"	"瀑"	"bu8"	"bu˨˩˧"
"曝"	"曝"	"bu8"	"bu˨˩˧"
"模"	"模"	"mu2"	"mu˧˩"
"膜"	"膜"	"mu2"	"mu˧˩"
"摩"	"摩"	"mu2"	"mu˧˩"
"姥"	"姥"	"mu4"	"mu˧˥"
"某"	"某"	"mu4"	"mu˧˥"
"母"	"母"	"mu4"	"mu˧˥"
"拇"	"拇"	"mu4"	"mu˧˥"
"姆"	"姆"	"mu4"	"mu˧˥"
"募"	"募"	"mu6"	"mu˨˨"
"墓"	"墓"	"mu6"	"mu˨˨"
"幕"	"幕"	"mu6"	"mu˨˨"
"慕"	"慕"	"mu6"	"mu˨˨"
"暮"	"暮"	"mu6"	"mu˨˨"
"莫"	"莫"	"mu8"	"mu˨˩˧"
"漠"	"漠"	"mu8"	"mu˨˩˧"
"木"	"木"	"mu8"	"mu˨˩˧"
"目"	"目"	"mu8"	"mu˨˩˧"
"沐"	"沐"	"mu8"	"mu˨˩˧"
"牧"	"牧"	"mu8"	"mu˨˩˧"
"睦"	"睦"	"mu8"	"mu˨˩˧"
"穆"	"穆"	"mu8"	"mu˨˩˧"
"夫"	"夫"	"fu1"	"fu˧˧"
"跗"	"跗"	"fu1"	"fu˧˧"
"孵"	"孵"	"fu1"	"fu˧˧"
"麩"	"麩"	"fu1"	"fu˧˧"
"敷"	"敷"	"fu1"	"fu˧˧"
"膚"	"膚"	"fu1"	"fu˧˧"
"俘"	"俘"	"fu1"	"fu˧˧"
"呼"	"呼"	"fu1"	"fu˧˧"
"滹"	"滹"	"fu1"	"fu˧˧"
"不"	"不"	"fu3"	"fu˧˥"
"甫"	"甫"	"fu3"	"fu˧˥"
"斧"	"斧"	"fu3"	"fu˧˥"
"俯"	"俯"	"fu3"	"fu˧˥"
"釜"	"釜"	"fu3"	"fu˧˥"
"輔"	"輔"	"fu3"	"fu˧˥"
"撫"	"撫"	"fu3"	"fu˧˥"
"父"	"父"	"fu3"	"fu˧˥"
"虎"	"虎"	"fu3"	"fu˧˥"
"滸"	"滸"	"fu3"	"fu˧˥"
"火"	"火"	"fu3"	"fu˧˥"
"夥"	"夥"	"fu3"	"fu˧˥"
"脯"	"脯"	"fu3"	"fu˧˥"
"咐"	"咐"	"fu5"	"fu˥˨"
"赴"	"赴"	"fu5"	"fu˥˨"
"訃"	"訃"	"fu5"	"fu˥˨"
"荷"	"荷"	"fu5"	"fu˥˨"
"戽"	"戽"	"fu5"	"fu˥˨"
"貨"	"貨"	"fu5"	"fu˥˨"
"幅"	"幅"	"fu7"	"fu˨˩˧"
"福"	"福"	"fu7"	"fu˨˩˧"
"蝠"	"蝠"	"fu7"	"fu˨˩˧"
"輻"	"輻"	"fu7"	"fu˨˩˧"
"腹"	"腹"	"fu7"	"fu˨˩˧"
"複"	"複"	"fu7"	"fu˨˩˧"
"蝮"	"蝮"	"fu7"	"fu˨˩˧"
"覆"	"覆"	"fu7"	"fu˨˩˧"
"阿"	"阿"	"vu1"	"ʔvu˧˧"
"威"	"威"	"vu1"	"ʔvu˧˧"
"倭"	"倭"	"vu1"	"ʔvu˧˧"
"萵"	"萵"	"vu1"	"ʔvu˧˧"
"渦"	"渦"	"vu1"	"ʔvu˧˧"
"窩"	"窩"	"vu1"	"ʔvu˧˧"
"蝸"	"蝸"	"vu1"	"ʔvu˧˧"
"踒"	"踒"	"vu1"	"ʔvu˧˧"
"烏"	"烏"	"vu1"	"ʔvu˧˧"
"嗚"	"嗚"	"vu1"	"ʔvu˧˧"
"塢"	"塢"	"vu1"	"ʔvu˧˧"
"迂"	"迂"	"vu1"	"ʔvu˧˧"
"於"	"於"	"vu1"	"ʔvu˧˧"
"淤"	"淤"	"vu1"	"ʔvu˧˧"
"委"	"委"	"vu3"	"ʔvu˧˥"
"萎"	"萎"	"vu3"	"ʔvu˧˥"
"惡"	"惡"	"vu5"	"ʔvu˥˨"
"穢"	"穢"	"vu5"	"ʔvu˥˨"
"畏"	"畏"	"vu5"	"ʔvu˥˨"
"尉"	"尉"	"vu5"	"ʔvu˥˨"
"喂"	"喂"	"vu5"	"ʔvu˥˨"
"蔚"	"蔚"	"vu5"	"ʔvu˥˨"
"慰"	"慰"	"vu5"	"ʔvu˥˨"
"屋"	"屋"	"vu7"	"ʔvu˨˩˧"
"夫"	"夫"	"vu2"	"vu˧˩"
"扶"	"扶"	"vu2"	"vu˧˩"
"禾"	"禾"	"vu2"	"vu˧˩"
"何"	"何"	"vu2"	"vu˧˩"
"和"	"和"	"vu2"	"vu˧˩"
"河"	"河"	"vu2"	"vu˧˩"
"荷"	"荷"	"vu2"	"vu˧˩"
"乎"	"乎"	"vu2"	"vu˧˩"
"狐"	"狐"	"vu2"	"vu˧˩"
"弧"	"弧"	"vu2"	"vu˧˩"
"胡"	"胡"	"vu2"	"vu˧˩"
"壺"	"壺"	"vu2"	"vu˧˩"
"葫"	"葫"	"vu2"	"vu˧˩"
"湖"	"湖"	"vu2"	"vu˧˩"
"瑚"	"瑚"	"vu2"	"vu˧˩"
"蝴"	"蝴"	"vu2"	"vu˧˩"
"糊"	"糊"	"vu2"	"vu˧˩"
"胡"	"胡"	"vu2"	"vu˧˩"
"圩"	"圩"	"vu2"	"vu˧˩"
"為"	"為"	"vu2"	"vu˧˩"
"韋"	"韋"	"vu2"	"vu˧˩"
"唯"	"唯"	"vu2"	"vu˧˩"
"帷"	"帷"	"vu2"	"vu˧˩"
"惟"	"惟"	"vu2"	"vu˧˩"
"圍"	"圍"	"vu2"	"vu˧˩"
"為"	"為"	"vu2"	"vu˧˩"
"違"	"違"	"vu2"	"vu˧˩"
"維"	"維"	"vu2"	"vu˧˩"
"濰"	"濰"	"vu2"	"vu˧˩"
"偉"	"偉"	"vu2"	"vu˧˩"
"葦"	"葦"	"vu2"	"vu˧˩"
"巫"	"巫"	"vu2"	"vu˧˩"
"誣"	"誣"	"vu2"	"vu˧˩"
"梧"	"梧"	"vu2"	"vu˧˩"
"無"	"無"	"vu2"	"vu˧˩"
"蕪"	"蕪"	"vu2"	"vu˧˩"
"遺"	"遺"	"vu2"	"vu˧˩"
"盂"	"盂"	"vu2"	"vu˧˩"
"舁"	"舁"	"vu2"	"vu˧˩"
"俞"	"俞"	"vu2"	"vu˧˩"
"逾"	"逾"	"vu2"	"vu˧˩"
"渝"	"渝"	"vu2"	"vu˧˩"
"愉"	"愉"	"vu2"	"vu˧˩"
"榆"	"榆"	"vu2"	"vu˧˩"
"餘"	"餘"	"vu2"	"vu˧˩"
"輿"	"輿"	"vu2"	"vu˧˩"
"負"	"負"	"Vu4"	"vu˧˥"
"戶"	"戶"	"Vu4"	"vu˧˥"
"滬"	"滬"	"Vu4"	"vu˧˥"
"禍"	"禍"	"Vu4"	"vu˧˥"
"唯"	"唯"	"Vu4"	"vu˧˥"
"武"	"武"	"Vu4"	"vu˧˥"
"侮"	"侮"	"Vu4"	"vu˧˥"
"舞"	"舞"	"Vu4"	"vu˧˥"
"鵡"	"鵡"	"Vu4"	"vu˧˥"
"予"	"予"	"Vu4"	"vu˧˥"
"宇"	"宇"	"Vu4"	"vu˧˥"
"羽"	"羽"	"Vu4"	"vu˧˥"
"雨"	"雨"	"Vu4"	"vu˧˥"
"禹"	"禹"	"Vu4"	"vu˧˥"
"與"	"與"	"Vu4"	"vu˧˥"
"愈"	"愈"	"Vu4"	"vu˧˥"
"過"	"過"	"vu6"	"vu˨˨"
"和"	"和"	"vu6"	"vu˨˨"
"荷"	"荷"	"vu6"	"vu˨˨"
"賀"	"賀"	"vu6"	"vu˨˨"
"糊"	"糊"	"vu6"	"vu˨˨"
"互"	"互"	"vu6"	"vu˨˨"
"瓠"	"瓠"	"vu6"	"vu˨˨"
"護"	"護"	"vu6"	"vu˨˨"
"惠"	"惠"	"vu6"	"vu˨˨"
"慧"	"慧"	"vu6"	"vu˨˨"
"為"	"為"	"vu6"	"vu˨˨"
"為"	"為"	"vu6"	"vu˨˨"
"位"	"位"	"vu6"	"vu˨˨"
"胃"	"胃"	"vu6"	"vu˨˨"
"渭"	"渭"	"vu6"	"vu˨˨"
"衛"	"衛"	"vu6"	"vu˨˨"
"謂"	"謂"	"vu6"	"vu˨˨"
"遺"	"遺"	"vu6"	"vu˨˨"
"逾"	"逾"	"vu6"	"vu˨˨"
"與"	"與"	"vu6"	"vu˨˨"
"芋"	"芋"	"vu6"	"vu˨˨"
"喻"	"喻"	"vu6"	"vu˨˨"
"裕"	"裕"	"vu6"	"vu˨˨"
"預"	"預"	"vu6"	"vu˨˨"
"豫"	"豫"	"vu6"	"vu˨˨"
"譽"	"譽"	"vu6"	"vu˨˨"
"籲"	"籲"	"vu6"	"vu˨˨"
"伏"	"伏"	"Vu8"	"vu˨˩˧"
"服"	"服"	"Vu8"	"vu˨˩˧"
"栿"	"栿"	"Vu8"	"vu˨˩˧"
"複"	"複"	"Vu8"	"vu˨˩˧"
"複"	"複"	"Vu8"	"vu˨˩˧"
"袱"	"袱"	"Vu8"	"vu˨˩˧"
"斛"	"斛"	"Vu8"	"vu˨˩˧"
"戈"	"戈"	"ku1"	"ku˧˧"
"哥"	"哥"	"ku1"	"ku˧˧"
"歌"	"歌"	"ku1"	"ku˧˧"
"估"	"估"	"ku1"	"ku˧˧"
"咕"	"咕"	"ku1"	"ku˧˧"
"沽"	"沽"	"ku1"	"ku˧˧"
"孤"	"孤"	"ku1"	"ku˧˧"
"姑"	"姑"	"ku1"	"ku˧˧"
"菇"	"菇"	"ku1"	"ku˧˧"
"辜"	"辜"	"ku1"	"ku˧˧"
"箍"	"箍"	"ku1"	"ku˧˧"
"蠱"	"蠱"	"ku1"	"ku˧˧"
"鍋"	"鍋"	"ku1"	"ku˧˧"
"裹"	"裹"	"ku1"	"ku˧˧"
"堝"	"堝"	"ku1"	"ku˧˧"
"古"	"古"	"ku3"	"ku˧˥"
"股"	"股"	"ku3"	"ku˧˥"
"牯"	"牯"	"ku3"	"ku˧˥"
"鼓"	"鼓"	"ku3"	"ku˧˥"
"盬"	"盬"	"ku3"	"ku˧˥"
"蠱"	"蠱"	"ku3"	"ku˧˥"
"剮"	"剮"	"ku3"	"ku˧˥"
"果"	"果"	"ku3"	"ku˧˥"
"裹"	"裹"	"ku3"	"ku˧˥"
"賈"	"賈"	"ku3"	"ku˧˥"
"攪"	"攪"	"ku3"	"ku˧˥"
"固"	"固"	"ku5"	"ku˥˨"
"故"	"故"	"ku5"	"ku˥˨"
"崮"	"崮"	"ku5"	"ku˥˨"
"雇"	"雇"	"ku5"	"ku˥˨"
"錮"	"錮"	"ku5"	"ku˥˨"
"顧"	"顧"	"ku5"	"ku˥˨"
"過"	"過"	"ku5"	"ku˥˨"
"鋸"	"鋸"	"ku5"	"ku˥˨"
"穀"	"穀"	"ku7"	"ku˨˩˧"
"估"	"估"	"khu1"	"kʰu˧˧"
"苛"	"苛"	"khu1"	"kʰu˧˧"
"柯"	"柯"	"khu1"	"kʰu˧˧"
"科"	"科"	"khu1"	"kʰu˧˧"
"棵"	"棵"	"khu1"	"kʰu˧˧"
"窠"	"窠"	"khu1"	"kʰu˧˧"
"蝌"	"蝌"	"khu1"	"kʰu˧˧"
"顆"	"顆"	"khu1"	"kʰu˧˧"
"坷"	"坷"	"khu1"	"kʰu˧˧"
"枯"	"枯"	"khu1"	"kʰu˧˧"
"苦"	"苦"	"khu3"	"kʰu˧˥"
"課"	"課"	"khu5"	"kʰu˥˨"
"庫"	"庫"	"khu5"	"kʰu˥˨"
"褲"	"褲"	"khu5"	"kʰu˥˨"
"哭"	"哭"	"khu7"	"kʰu˨˩˧"
"酷"	"酷"	"khu7"	"kʰu˨˩˧"
"跔"	"跔"	"ɡu2"	"ɡu˧˩"
"車"	"車"	"ciu1"	"tɕy˧˧"
"圭"	"圭"	"ciu1"	"tɕy˧˧"
"規"	"規"	"ciu1"	"tɕy˧˧"
"閨"	"閨"	"ciu1"	"tɕy˧˧"
"龜"	"龜"	"ciu1"	"tɕy˧˧"
"歸"	"歸"	"ciu1"	"tɕy˧˧"
"軌"	"軌"	"ciu1"	"tɕy˧˧"
"拘"	"拘"	"ciu1"	"tɕy˧˧"
"居"	"居"	"ciu1"	"tɕy˧˧"
"裾"	"裾"	"ciu1"	"tɕy˧˧"
"駒"	"駒"	"ciu1"	"tɕy˧˧"
"俱"	"俱"	"ciu1"	"tɕy˧˧"
"捐"	"捐"	"ciu1"	"tɕy˧˧"
"娟"	"娟"	"ciu1"	"tɕy˧˧"
"鵑"	"鵑"	"ciu1"	"tɕy˧˧"
"矽"	"矽"	"ciu1"	"tɕy˧˧"
"專"	"專"	"ciu1"	"tɕy˧˧"
"磚"	"磚"	"ciu1"	"tɕy˧˧"
"軌"	"軌"	"ciu3"	"tɕy˧˥"
"鬼"	"鬼"	"ciu3"	"tɕy˧˥"
"癸"	"癸"	"ciu3"	"tɕy˧˥"
"詭"	"詭"	"ciu3"	"tɕy˧˥"
"矩"	"矩"	"ciu3"	"tɕy˧˥"
"舉"	"舉"	"ciu3"	"tɕy˧˥"
"卷"	"卷"	"ciu3"	"tɕy˧˥"
"愧"	"愧"	"ciu3"	"tɕy˧˥"
"轉"	"轉"	"ciu3"	"tɕy˧˥"
"桂"	"桂"	"ciu5"	"tɕy˥˨"
"貴"	"貴"	"ciu5"	"tɕy˥˨"
"鱖"	"鱖"	"ciu5"	"tɕy˥˨"
"季"	"季"	"ciu5"	"tɕy˥˨"
"句"	"句"	"ciu5"	"tɕy˥˨"
"據"	"據"	"ciu5"	"tɕy˥˨"
"鋸"	"鋸"	"ciu5"	"tɕy˥˨"
"卷"	"卷"	"ciu5"	"tɕy˥˨"
"眷"	"眷"	"ciu5"	"tɕy˥˨"
"絹"	"絹"	"ciu5"	"tɕy˥˨"
"轉"	"轉"	"ciu5"	"tɕy˥˨"
"訣"	"訣"	"ciu7"	"tɕy˨˩˧"
"厥"	"厥"	"ciu7"	"tɕy˨˩˧"
"蕨"	"蕨"	"ciu7"	"tɕy˨˩˧"
"綴"	"綴"	"ciu7"	"tɕy˨˩˧"
"拙"	"拙"	"ciu7"	"tɕy˨˩˧"
"茁"	"茁"	"ciu7"	"tɕy˨˩˧"
"川"	"川"	"chiu1"	"tɕʰy˧˧"
"穿"	"穿"	"chiu1"	"tɕʰy˧˧"
"窺"	"窺"	"chiu1"	"tɕʰy˧˧"
"虧"	"虧"	"chiu1"	"tɕʰy˧˧"
"區"	"區"	"chiu1"	"tɕʰy˧˧"
"嶇"	"嶇"	"chiu1"	"tɕʰy˧˧"
"軀"	"軀"	"chiu1"	"tɕʰy˧˧"
"驅"	"驅"	"chiu1"	"tɕʰy˧˧"
"圈"	"圈"	"chiu1"	"tɕʰy˧˧"
"痊"	"痊"	"chiu1"	"tɕʰy˧˧"
"樞"	"樞"	"chiu1"	"tɕʰy˧˧"
"揣"	"揣"	"chiu3"	"tɕʰy˧˥"
"喘"	"喘"	"chiu3"	"tɕʰy˧˥"
"犬"	"犬"	"chiu3"	"tɕʰy˧˥"
"串"	"串"	"chiu5"	"tɕʰy˥˨"
"去"	"去"	"chiu5"	"tɕʰy˥˨"
"券"	"券"	"chiu5"	"tɕʰy˥˨"
"勸"	"勸"	"chiu5"	"tɕʰy˥˨"
"出"	"出"	"chiu7"	"tɕʰy˨˩˧"
"焌"	"焌"	"chiu7"	"tɕʰy˨˩˧"
"屈"	"屈"	"chiu7"	"tɕʰy˨˩˧"
"黢"	"黢"	"chiu7"	"tɕʰy˨˩˧"
"缺"	"缺"	"chiu7"	"tɕʰy˨˩˧"
"纏"	"纏"	"jiu2"	"dʑy˧˩"
"椽"	"椽"	"jiu2"	"dʑy˧˩"
"傳"	"傳"	"jiu2"	"dʑy˧˩"
"逵"	"逵"	"jiu2"	"dʑy˧˩"
"馗"	"馗"	"jiu2"	"dʑy˧˩"
"葵"	"葵"	"jiu2"	"dʑy˧˩"
"渠"	"渠"	"jiu2"	"dʑy˧˩"
"瞿"	"瞿"	"jiu2"	"dʑy˧˩"
"衢"	"衢"	"jiu2"	"dʑy˧˩"
"拳"	"拳"	"jiu2"	"dʑy˧˩"
"權"	"權"	"jiu2"	"dʑy˧˩"
"顴"	"顴"	"jiu2"	"dʑy˧˩"
"瘸"	"瘸"	"jiu2"	"dʑy˧˩"
