"繁體"	"簡體"	"拼音"	"音標"
"撇"	"撇"	"phi7"	"pʰi˨˩˧"
"便"	"便"	"bi2"	"bi˧˩"
"辨"	"辨"	"bi4"	"bi˧˥"
"辮"	"辮"	"bi4"	"bi˧˥"
"辯"	"辯"	"bi4"	"bi˧˥"
"汴"	"汴"	"bi6"	"bi˨˨"
"便"	"便"	"bi6"	"bi˨˨"
"鼻"	"鼻"	"bi8"	"bi˨˩˧"
"弼"	"弼"	"bi8"	"bi˨˩˧"
"別"	"別"	"bi8"	"bi˨˩˧"
"眠"	"眠"	"mi2"	"mi˧˩"
"棉"	"棉"	"mi2"	"mi˧˩"
"綿"	"綿"	"mi2"	"mi˧˩"
"免"	"免"	"mi4"	"mi˧˥"
"勉"	"勉"	"mi4"	"mi˧˥"
"娩"	"娩"	"mi4"	"mi˧˥"
"緬"	"緬"	"mi4"	"mi˧˥"
"面"	"面"	"mi6"	"mi˨˨"
"泌"	"泌"	"mi8"	"mi˨˩˧"
"秘"	"秘"	"mi8"	"mi˨˩˧"
"覓"	"覓"	"mi8"	"mi˨˩˧"
"密"	"密"	"mi8"	"mi˨˩˧"
"蜜"	"蜜"	"mi8"	"mi˨˩˧"
"搣"	"搣"	"mi8"	"mi˨˩˧"
"滅"	"滅"	"mi8"	"mi˨˩˧"
"蔑"	"蔑"	"mi8"	"mi˨˩˧"
"篾"	"篾"	"mi8"	"mi˨˩˧"
"掂"	"掂"	"ti1"	"ti˧˧"
"顛"	"顛"	"ti1"	"ti˧˧"
"巔"	"巔"	"ti1"	"ti˧˧"
"典"	"典"	"ti3"	"ti˧˥"
"碘"	"碘"	"ti3"	"ti˧˥"
"點"	"點"	"ti3"	"ti˧˥"
"玷"	"玷"	"ti3"	"ti˧˥"
"點"	"點"	"ti5"	"ti˥˨"
"店"	"店"	"ti5"	"ti˥˨"
"跌"	"跌"	"ti7"	"ti˨˩˧"
"梯"	"梯"	"thi1"	"tʰi˧˧"
"天"	"天"	"thi1"	"tʰi˧˧"
"添"	"添"	"thi1"	"tʰi˧˧"
"忝"	"忝"	"thi3"	"tʰi˧˥"
"腆"	"腆"	"thi3"	"tʰi˧˥"
"舔"	"舔"	"thi3"	"tʰi˧˥"
"㮇"	"㮇"	"thi5"	"tʰi˥˨"
"帖"	"帖"	"thi7"	"tʰi˨˩˧"
"貼"	"貼"	"thi7"	"tʰi˨˩˧"
"鐵"	"鐵"	"thi7"	"tʰi˨˩˧"
"滇"	"滇"	"di2"	"di˧˩"
"佃"	"佃"	"di2"	"di˧˩"
"錢"	"錢"	"di2"	"di˧˩"
"田"	"田"	"di2"	"di˧˩"
"恬"	"恬"	"di2"	"di˧˩"
"甜"	"甜"	"di2"	"di˧˩"
"填"	"填"	"di2"	"di˧˩"
"墊"	"墊"	"di4"	"di˧˥"
"簟"	"簟"	"di4"	"di˧˥"
"佃"	"佃"	"di6"	"di˨˨"
"甸"	"甸"	"di6"	"di˨˨"
"奠"	"奠"	"di6"	"di˨˨"
"電"	"電"	"di6"	"di˨˨"
"殿"	"殿"	"di6"	"di˨˨"
"墊"	"墊"	"di6"	"di˨˨"
"澱"	"澱"	"di6"	"di˨˨"
"狄"	"狄"	"di8"	"di˨˩˧"
"笛"	"笛"	"di8"	"di˨˩˧"
"滌"	"滌"	"di8"	"di˨˩˧"
"敵"	"敵"	"di8"	"di˨˩˧"
"迭"	"迭"	"di8"	"di˨˩˧"
"牒"	"牒"	"di8"	"di˨˩˧"
"蝶"	"蝶"	"di8"	"di˨˩˧"
"諜"	"諜"	"di8"	"di˨˩˧"
"連"	"連"	"li2"	"li˧˩"
"蓮"	"蓮"	"li2"	"li˧˩"
"廉"	"廉"	"li2"	"li˧˩"
"憐"	"憐"	"li2"	"li˧˩"
"聯"	"聯"	"li2"	"li˧˩"
"簾"	"簾"	"li2"	"li˧˩"
"鐮"	"鐮"	"li2"	"li˧˩"
"良"	"良"	"li2"	"li˧˩"
"梁"	"梁"	"li2"	"li˧˩"
"粱"	"粱"	"li2"	"li˧˩"
"糧"	"糧"	"li2"	"li˧˩"
"量"	"量"	"li2"	"li˧˩"
"斂"	"斂"	"li4"	"li˧˥"
"臉"	"臉"	"li4"	"li˧˥"
"兩"	"兩"	"li4"	"li˧˥"
"倆"	"倆"	"li4"	"li˧˥"
"輛"	"輛"	"li4"	"li˧˥"
"輦"	"輦"	"li4"	"li˧˥"
"斂"	"斂"	"li6"	"li˨˨"
"楝"	"楝"	"li6"	"li˨˨"
"煉"	"煉"	"li6"	"li˨˨"
"練"	"練"	"li6"	"li˨˨"
"殮"	"殮"	"li6"	"li˨˨"
"戀"	"戀"	"li6"	"li˨˨"
"亮"	"亮"	"li6"	"li˨˨"
"量"	"量"	"li6"	"li˨˨"
