"#注释"	"《瑞安湖岭方言音系（太田斋）》，转录者落橙，校对者阿缨"
"ˀn"	"[5]□{没有}"
"ˀl"	"[1]搂{挖}[3]缕{丝缕}篓"
"l"	"[2]楼[6]漏陋"
"ts"	"[1]邹雏[3]走[5]奏皱绉"
"tsʰ"	"[5]凑"
"dz"	"[6]宙骤"
"s"	"[1]搜飕馒[3]叟[5]嗽{咳～}瘦"
"z"	"[2]愁"
"tʃ"	"[1]鸠纠[3]九久韭灸[5]救究"
"tʃʰ"	"[1]丘[3]娶"
"dʒ"	"[2]求球[4]臼舅咎柩[6]旧"
"ʃ"	"[1]休[3]朽[5]嗅"
"ˀj"	"[1]忧优幽悠幼[3]有友酉"
"j"	"[2]邮由油游犹尤[6]又右佑柚釉诱"
"ˀɲ"	"[3]纽扭[7]□{～个：哪个}"
"k"	"[1]勾钩沟[3]狗苟[5]够构购勾{～当}□{这里}"
"kʰ"	"[3]口[5]扣寇叩{～头}"
"ɡ"	"[2]□{～背:驼背}[4]厚臼"
"ˀŋ"	"[3]藕偶"
"ŋ"	"[2]牛喉{咙～}"
"h"	"[1]哈{～感本字为𨉣}[3]□{那里}[5]鲎{彩虹}吼"
"ˀ"	"[1]欧瓯滙惬呕殴[3]□{萎}后"
"ɦ"	"[2]侯喉猴痕[4]后[6]候"
"#ai"	""
"p"	"[1]杯背{背东西}碑卑悲[5]贝辈背{脊背}"
"pʰ"	"[1]胚坯丕[5]配沛"
"b"	"[2]陪赔[4]倍培[6]佩背{背诵}焙"
"m"	"[2]枚"
"f"	"[1]灰徽□{不要}[3]贿[5]悔"
"ˀʋ"	"[1]煨"
"ʋ"	"[2]桅回茴[6]溃会汇"
"t"	"[1]堆[5]对碓"
"tʰ"	"[1]推□{～猪：杀猪}[3]腿[5]唾退蜕□{～怯：畏怯}"
"d"	"[2]□{成年人的阴茎}[6]队兑"
"n"	"[6]内"
"ˀl"	"[3]儡累垒"
"l"	"[2]雷膈擂[6]泪□{跌：摔倒}"
"ts"	"[5]醉最"
"tsʰ"	"[1]摧崔[3]脆[5]翠□{砍}"
"s"	"[1]衰[3]□{小}[5]碎{细}粹"
"z"	"[4]罪[6]锐睡"
"k"	"[1]归[5]个会{～计，～稽山}刽桧绘"
"kʰ"	"[1]盔魁恢亏奎[5]块傀"
"ŋ"	"[6]魏"
"h"	"[3]嗨"
"#e"	""
"p"	"[7]北"
"b"	"[8]鼻"
"ˀm"	"[3]每[7]墨"
"m"	"[2]梅媒煤[6]妹昧[8]墨"
"ʋ"	"[6]□{饿}"
"t"	"[5]戴[7]得德"
"tʰ"	"[1]胎台{天～}[5]殆{百战不～}态贷"
"d"	"[2]台苔抬潭[4]待怠[6]代袋埭{碓～：堰}□{介词，把}[8]特"
"ˀn"	"[1]□{～～：乳}"
"n"	"[2]南男囡{～儿:男孩}[6]□{湿}[8]日{今～：白日；半～}"
"l"	"[2]来[8]劣栗肋勒"
"ts"	"[1]灾栽[5]宰载{年载，载重}再最[7]则"
"tsʰ"	"[1]猜[3]采睬彩株[5]菜[7]厕側侧测"
"s"	"[5]赛[7]塞色"
"z"	"[2]才材财裁[4]在[6]□{性交，亦用于骂人(方言字写作“儼”)}[8]杂贼"
"k"	"[1]该柑泔[3]改感敢几{～来：多少}[5]概溉盖[7]合{十合一升}鸽国"
"kʰ"	"[1]开[3]凯[5]慨坎墈[7]咳{～嗽}磕刻克"
"ɡ"	"[2]□{的：表示领属关系的助词}[4]颧{面～珠儿：额骨}该𥩲徛{站，方言字写作“𥩲”}"
"ŋ"	"[2]呆耐"
"h"	"[1]蛤{～蜊：蚬子}[3]海[7]黑"
"ˀ"	"[1]哀庵[5]爱暗"
"ɦ"	"[4]孩亥核骇[6]害[8]合□{又}核{～桃}"
"#ie"	""
"p"	"[1]标彪鞭编边蝙[3]毙{枪～}表贬扁匾比[5]变遍票"
"pʰ"	"[1]飘漂篇偏[5]票骗片[7]撇匹蹩"
"b"	"[2]嫖藻{浮萍}[4]辨辩辫{～儿：辫子}□{□ˀiɛ³¹～:蜥蜴}[6]便[8]鼻别弼"
"ˀm"	"[7]灭蔑密蜜默牡{～丹，又}"
"m"	"[2]苗描绵棉眠[4]藐渺秒免勉娩觅[6]庙妙谬缅渑面[8]灭蔑密蜜默牡{～丹，又}"
"t"	"[1]颠爹[7]跌"
"tʰ"	"[1]梯天[7]铁"
"d"	"[2]田填钿佃[6]殿奠豆{～腐。老，又}[8]电"
"ˀl"	"[3]脸[7]例立列烈裂力律率"
"l"	"[2]廉镰帘连联莲恋[6]练炼楝殓[8]例立列烈裂力律率"
"tʃ"	"[1]遮尖占{占卜}瞻兼煎肩坚毽毡[3]检俭茧{趼}剪[5]借占{占据}见剑溅箭饯建荐战颤毡{草～}[7]接折{～断，折叠}褶节劫结洁锲{稻～：镰刀}羯{阉割。～牯：骗公黄牛}戟击哲蜇{海～}"
"tʃʰ"	"[1]携千歼签谦迁牵车{～水}矸{油～}[3]浅[5]欠歉[7]揭切戚"
"dʒ"	"[2]茄{六(绿)～:茄子}钳钱乾{～坤}[4]件[6]键健腱[8]彻撤辙舌杰□{抱}剧激"
"ʃ"	"[1]些奢赊携仙鲜轩先[3]写舍{勿～的：舍不得}险癣显□{很(险)}[5]泻陕{～西}苑线宪献扇[7]□{癮腿}歇蝎胁"
"ˀj"	"[1]烟爷{阿～}□{食物变质}[3]阉掩演燕宴[5]厌艳咽{狼吞虎～}[7]页噎{～住了}咽{哽咽}"
"j"	"[2]前贤弦砚炎盐阎檐沿蛇蝉禅然燃延筵单{姓}爷{外公～}[4]善膳[6]夜渐贱现腌[8]潜捷叶饴涉协腋液亦截"
"ˀɲ"	"[1]粘[7]业热孽匿"
"ɲ"	"[2]言年谚[4]染冉[6]验[8]业热孽匿"
"#ɛ"	""
"p"	"[3]保堡宝[5]报[7]笔"
"pʰ"	"[3]剖"
"b"	"[2]袍暴瓢爆瀑[4]抱曝"
"ˀm"	"[1]娒[3]亩娒{～儿：小孩儿}[7]娒{～儿：男孩子}"
"m"	"[2]毛谋牡{～丹，～蛎}□{差,凶}[6]冒帽茂贸"
"f"	"[7]否勿"
"ˀv"	"[7]□{溺}"
"v"	"[2]浮[4]阜沃[7]□{溺}[8]佛{～教，仿～}物"
"t"	"[1]刀[3]祷岛倒{打～，颠～}[5]到倒{～水}[7]啄"
"tʰ"	"[1]叨滔[3]讨[5]套[7]脱"
"d"	"[2]桃逃淘陶萄涛□{推}[4]道稻[6]掏盗导[8]夺"
"ˀn"	"[3]脑恼"
"ˀl"	"[3]老[7]笠捋□{㽱子}"
"l"	"[2]劳捞牢唠涝[8]笠捋□{㽱子}"
"ts"	"[1]遭糟[3]早枣蚤澡[5]□{发怒，本字疑为躁}躁灶[7]执汁质卒猝"
"tsʰ"	"[1]糙[3]草驛[5]操糙[7]撮七漆"
"dz"	"[8]侄秩"
"s"	"[1]骚[3]嫂[5]扫燥{渴：口～}[7]摔涩湿瑟虱失室率{率领}蟀"
"z"	"[2]曹槽[4]皂造[8]集习袭十什{～物}拾{～起来}入疾实日□{砍}"
"k"	"[1]高膏篙羔糕□{稻～：稗子}[3]稿搞[5]告"
"kʰ"	"[3]考烤[5]靠"
"ŋ"	"[2]熬昂{～首}[6]傲鑿熬艾"
"h"	"[1]蒿[3]好[5]耗"
"ˀ"	"[3]袄[5]袄奥懊"
"ɦ"	"[2]豪壕毫嚎{大声喊}[4]浩[6]号"
"#iɛ"	""
"t"	"[3]掂典点[5]店"
"tʰ"	"[1]添[3]舔"
"d"	"[2]甜[4]簟[6]垫"
"ˀl"	"[3]两辆"
"l"	"[2]良凉量{动词}粮粱梁[6]亮谅量{名词}"
"tʃ"	"[1]将{将来}张章樟障瘴疆僵姜僵缰浆[3]蒋奖桨长{生～}涨掌者[5]仗帐账胀酱将{大～}涨{面煮涨了}[7]急级给{供～}吉桔曱{～甴：蟬螂}"
"tʃʰ"	"[1]枪倡昌菖羌腔[3]抢厂[5]窍畅唱[7]泣讫屈辑"
"dʒ"	"[2]长{～短}肠场强[4]丈杖[8]及"
"ʃ"	"[1]相{互～}箱厢湘襄镶商伤香乡□{喷～：打喷嚏}□{能,乖}[3]想養饷赏响晌享[5]相{～貌}向[7]吸"
"j"	"[2]墙详祥常尝裳偿壤攘嚷羊洋烽坪杨阳扬疡降{投降}垟□{～□bʱie³¹³ ¹³蜥蜴}[4]象像橡[6]尚上{～山，～下}样"
"ˀɲ"	"[3]仰[5]□{～儿：谁}[7]□{阿～：姑妈}逆日{生～；～头}"
"ɲ"	"[2]娘□{～啊ɦa⁰：什么}[6]念酿让[8]逆日{生～；～头}"
"ˀ"	"[1]也央秧殃[3]养痒[7]乙一郁"
"#ei"	""
"p"	"[1]屄[3]比[5]闭蔽鄙憋庇痹[7]臂秘泌鳖毕必逼碧璧壁陛彼"
"pʰ"	"[1]批披[3]屁{股团～：屁股}譬[5]屁譬{～喻}[7]僻辟"
"b"	"[2]皮疲脾琵枇肥{～肉}[4]被婢稗[6]敝弊币菌避备篦"
"ˀm"	"[3]米美尾"
"m"	"[2]迷糜靡媚寐眉楣霉弥[6]谜未味昧"
"f"	"[1]非飞妃翡[3]匪榧[5]废肺痱费"
"v"	"[2]吠肥微"
"t"	"[1]低爹[3]底抵[5]帝滴嫡[7]的"
"tʰ"	"[1]梯屉[3]体[5]算{～子}涕剃[7]踢剔替"
"d"	"[2]堤题提蹄啼[4]弟第[6]递地[8]笛敌狄条"
"ˀl"	"[3]礼李里理鲤[8]辇力历"
"l"	"[2]来梨犁黎璃厘狸离篱[6]丽隶荔利痢吏厉励蛎{～灰}[8]辇力历"
"tsʰ"	"[3]草{～鞋}[5]雌{～鸡}"
"k"	"[1]今{～日}"
"kʰ"	"[5]去"
"#əu"	""
"t"	"[1]多[5]剁[7]笃督"
"tʰ"	"[1]拖[3]妥椭秃[7]□{太}"
"d"	"[2]驼驮{拿～起来}徒□{抱：～小孩}[4]舵惰坠[6]大驮{驮子}[8]独读牍犊毒"
"n"	"[6]奴努怒"
"ˀl"	"[3]鲁橹虏裸[7]鹿禄六陆 □{~茄：茄子}"
"l"	"[2]罗锣箩骡螺囉[7]鹿禄六陆□{～茄：茄子}"
"ts"	"[3]左佐阻组[5]做[7]竹筑祝粥菊掬"
"tsʰ"	"[1]初[3]楚础[5]铿[7]措畜{～牲}曲{曲霉}促"
"dz"	"[8]逐轴"
"s"	"[1]梭唆靴梳疏蔬[5]数{名词}素[7]速肃宿叔畜{～牧}蓄"
"z"	"[6]锄助柔揉[8]就族熟淑辱褥"
"tʃ"	"[1]周舟州洲[3]酒肘帚[5]咒昼[7]粥"
"tʃʰ"	"[1]秋瞅{牛～}抽锹[3]丑[5]臭"
"dʒ"	"[2]囚绸稠筹仇酬售"
"ʃ"	"[1]修羞收[3]手首守[5]秀绣宿{星～}锈兽"
"j"	"[2]游[4]受授[6]袖寿[8]育"
"ˀɲ"	"[7]肉"
"ɲ"	"[8]肉"
"#eu"	""
"ˀl"	"[1]溜{～走}[3]柳"
"l"	"[2]流刘留榴硫琉馅[6]溜{东西从高处到低处滑下去}"
"#ieu"	""
"t"	"[1]丢"
"d"	"[2]头[6]豆"
"#øʏ"	""
"t"	"[1]都[3]堵赌肚{鱼肚，猪肚}妒屠"
"tʰ"	"[3]土吐{～痰}"
"d"	"[2]涂途图大{～后日}[4]杜肚{腹肚}[6]度渡镀踱"
"l"	"[2]卢炉芦鹃驴庐[4]吕相旅屡卤履[6]虑泸路露鹭类"
"#ɔ"	""
"t"	"[1]耽担{～任}丹单□{～半蹩：跛子}[3]胆揮[5]担{～子}诞旦[7]搭"
"tʰ"	"[1]他坍塌滩摊[3]毯榻[5]炭叹[7]拓{～片}塔獭"
"d"	"[2]谈痰檀坛谭[4]淡□{嗽口}[6]坦弹{子～，～琴}蛋但[8]踏达"
"ˀn"	"[7]捺"
"n"	"[2]难[4]哪那[6]闹奈[8]拿捺"
"ˀl"	"[1]拉[3]览揽榄懒濱{口水～：涎}[7]腊蜡鑛辣痢□{～叉下：腋窝}"
"l"	"[2]蓝篮兰拦栏[6]癞滥缆烂[8]腊蜡鑛辣痢□ {～叉下：腋窝}"
"ts"	"[1]抓□{～实：坚固}[3]爪找笊斩盏[5]蘸赞罩[7]扎眨札"
"tsʰ"	"[1]抄剿餐□{藏在袖筒里}掺[3]炒吵铲[5]灿[7]插擦察"
"dz"	"[6]暂栈站{车～}"
"s"	"[1]三杉衫珊山删疝[3]散{鞋带～了}伞产[5]散{分～}撒[7]萨杀"
"z"	"[2]巢谗馋残[4]渐[8]闸□{～刀：側刀}甴{曱～：蟑螂}"
"tʃ"	"[7]爵酌脚"
"tʃʰ"	"[7]怯{退～：畏怯}却"
"dʒ"	"[8]着□{剪}眨"
"ʃ"	"[7]闪屑"
"ˀɲ"	"[7]捏虐疟箬"
"ɲ"	"[2]尧饶{上～：江西地名}[4]鸟尿[6]鮎[8]捏虐疟箬"
"ˀj"	"[1]丫{～头}[7]约{动词}"
"j"	"[8]若弱耀药钥约{大概}嚼"
"k"	"[1]交郊胶艰间奸[3]绞狡钗橄{～榄}尴减简裥柬拣谏涧锏简□{～～:玩儿}[5]教校{～对上～}较窖碱监鉴[7]峡甲胛夹"
"kʰ"	"[1]敲[3]巧恰舰[5]嵌[7]掐"
"ɡ"	"[2]衔□{助词，相当于普通话“了”}□{～～抖；发抖}[4]□{背孩子}[8]□{碾：～米}□{挤}"
"ˀŋ"	"[3]咬眼"
"ŋ"	"[2]岩颜涯崖昂{气～～}[6]雁"
"h"	"[3]喊□{枇子}[5]孝酵[7]喝谎"
"ˀ"	"[1]坳凹□{喊}[7]鸭押压"
"ɦ"	"[2]盒{～儿}咸嫌闲黄{～昏}[4] 效函限晏{晚}[6]肴淆校{学～}陷馅[8]洽匣狭"
"#oɔ"	""
"p"	"[1]包胞班斑颁扳帮邦[3]饱板版榜绑[5]豹扮"
"pʰ"	"[1]抛攀□{卵～：青年人的阴茎}[3]跑[5]泡炮□{鱼鰾}盼"
"b"	"[2]瓣片滂旁螃谤傍[4]鲍庞棒[6]刨办"
"ˀm"	"[1]猫"
"m"	"[2]茅锚矛蛮顽[4]卯晚挽[6]貌慢万蔓漫"
"f"	"[1]翻番方肪芳妨□{躺}[3]反仿纺彷访[5]泛贩放[7]法发"
"k"	"[1]关[5]惯[7]刮"
"kʰ"	"[1]夸传跨宽[7]阔"
"ˀ"	"[1]弯湾[3]皖幻枉饭"
"v"	"[2]凡帆藩烦矶繁还房防亡忘妄患[4]范犯[6]换饭{兜～：盛饭，陈～：上一顿剩下的饭}望"
"#o"	""
"p"	"[1]巴芭疤[3]把[5]霸把{刀～}坝[7]八博剥驳卜扑酸仆"
"pʰ"	"[5]怕[7]帕泊朴"
"b"	"[2]爬琶杷罢[6]薄{～荷}耙[8]拔薄雹瀑"
"ˀm"	"[1]妈[3]马码网摸{～子儿：抓子儿}□{～来：我们}[7]袜摸"
"m"	"[2]麻蟆忙芒茫[8]袜摸"
"f"	"[1]花[5]讹化花{～钱}"
"t"	"[1]当{当时，应当}[3]朵躲党挡[5]当{当作，典当}"
"tʰ"	"[1]汤[3]倘趟[5]烫[7]托"
"d"	"[2]堂棠螳唐糖塘[4]宕[6]荡{逛：～街}□{鑒：～刀}[8]铎"
"ˀn"	"[7]诺"
"n"	"[2]囊[8]□{骂}"
"k"	"[1]家加痂嘉傢稼箍{金～棒}佳冈岗刚纲钢缸光江寡竦[3]假{真～}暇广讲港[5]贾{姓}假{放～}驾嫁价 挂卦降{下降}饺{～儿：饺子}[7]揭{用刀刮}括聒各阁搁胳觉{知觉}角搅廓岗{量词}"
"kʰ"	"[1]康糠[3]可[5]慷抗园{藏，放}旷扩矿[7]确壳"
"ˀŋ"	"[7]粤鄂鹤岳乐{音～，～清：地名}"
"ŋ"	"[2]牙芽衙[4]雅瓦[6]砰[8]粤鄂鹤岳乐{音～，～清：地名}"
"h"	"[1]虾荒慌谎[3]□{脱:～帽}[5]晃[7]吓霍蕾"
"ˀ"	"[1]鸦丫{树～}桠蛙洼屙肮汪[3]哑下[5]亚□{眼～:羡慕}[7]恶□{都}"
"ɦ"	"[2]行{行列}航杭黄簧皇蝗笑{～干}[4]下项厦{～门}[6]霞瑕遐夏旺巷[8]蛤{～蟆}镶学並"
"#uo"	""
"k"	"[1]瓜"
"ˀ"	"[5]□{一～儿：一会儿}"
"ɦ"	"[2]华铮花{黄～：乐清镇名}桦[6]画话[8]滑猾活伐筏罚缚乏"
"#yo"	""
"l"	"[2]龙[4]垄[8]绿录"
"tʃ"	"[1]桩纵{～横}庄{芳～乡：当地乡名}怂钟恭供{～给：～不起}□{做}[3]种{～类}肿[5]壮{肥}□{山～：栖于小山涧里的一种蛙}种{～树}供{～养，上～}[7]绰桌卓琢啄捉烛足"
"tʃʰ"	"[1]匡筐眶窗[3]闯恐[7]戳触曲"
"dʒ"	"[2]狂逛茬{麦～，草～，竹～}[4]重{轻～}[6]状共撞重{～复}[8]浊嘱蜀属鋦局煽"
"ʃ"	"[1]霜孀双胸凶[3]爽[5]况[7]缩粟束朔□{躲藏}"
"ˀɲ"	"[7]玉狱"
"ɲ"	"[2]浓[8]玉狱"
"ˀ"	"[1]痈[3]甬勇涌[5]壅"
"ɦ"	"[2]床王松{～树}[4]往诵颂讼[6]从{跟从}用[8]籰俗续赎欲浴"
"#ø"	""
"p"	"[1]□{后～：后边}[3]□{女阴}[5]半[7]钵拨"
"pʰ"	"[1]潘[3]□{束寻～：儿童游戏之一}[5]判[7]泼"
"b"	"[2]搬盘盆[4]绊伴拌叛胖[6]般[8]皺"
"ˀm"	"[7]抹末沫没物{～事}"
"m"	"[2]瞒馒[4]满□{淹}[8]抹末沫没物{～事}"
"t"	"[1]端{东西的头}敦墩□{阉}[3]短[5]锻[7]答掇端{动词}"
"tʰ"	"[1]贫吞[5]探[7]脱"
"d"	"[2]团屯豚臀囤沌[4]断[6]段缎椴钝遁[8]夺突"
"ˀn"	"[7]纳□{～～：小猪，录者以为囡}"
"n"	"[4]暖[6]嫩[8]纳□{～～儿：小猪}"
"ˀl"	"[7]粒"
"l"	"[2]鸾[4]卵{男阴}[6]乱论[8]粒"
"ts"	"[1]簪尊遵[5]钻"
"tsʰ"	"[1]参汆{～丸子}村焯[3]惨窜篡忖[5]寸"
"dz"	"[6]揣{藏在衣服里}"
"s"	"[1]酸闩拴孙[3]损逊[5]算蒜[7]涮刷"
"z"	"[2]蚕存[8]凿"
"kʰ"	"[1]堪刊□{脚～头：膝盖}[3]砍勘款[5]看困{睡}[7]丐{～儿：叫花子}窟"
"h"	"[1]憨酣鼾[3]罕[5]汉[7]喝"
"ˀ"	"[1]安鞍恩[3]豌碗腕宛远[5]按案[7]蔼哕"
"ɦ"	"[2]寒韩痕含撼翰[4]旱[6]憾汗焊岸[8]核{果核}"
"#ʏø"	""
"ɕ"	"[1]欢昏婚荤[3]蛛{糖～：蚯蚓}[5]唤焕[7]血忽"
"ɲ"	"[2]玩"
"k"	"[1]甘干肝官棺观冠根[3]竿杆秆擀赶干{～部}管馆[5]贯灌罐[7]割葛骨"
"ˀ"	"[1]冤渊温瘟[3]豌碗腕宛远稳[5]怨"
"ɦ"	"[2]完丸圆员缘园魂[6]县眩院玄悬媛{～主：老姑娘}[8]悦阅越穴"
"#yø"	""
"tʃ"	"[3]卷转[5]眷倦[7]厥憋决诀輙拙咄{吸}□{笨，本字或许是拙}蕨"
"tʃʰ"	"[1]穿川圈[3]犬喘[5]劝券[7]缺出"
"dʒ"	"[2]传椽篆拳权[8]术{白～}"
"ʃ"	"[1]宣喧植[3]选[7]雪说戌恤"
"ˀɲ"	"[3]阮软阮{疲倦}[8]月"
"ɲ"	"[2]元原源[6]愿[8]月"
"j"	"[2]船全泉袁辕援[4]缓[6]旋鏇[8]绝术述秫"
"#yœ"	""
"t"	"[1]刁貂雕[3]鸟{～儿}[5]钓吊"
"tʰ"	"[1]挑[5]跳衆[7]帖贴"
"d"	"[2]条□{走，去，录者以为趒}[6]调掉[8]叠碟牒蝶谍"
"ˀl"	"[3]了□{狗～～：狗尾草}□{～箸：干净}[7]猎略掠□{水～：夸}"
"l"	"[6]料廖{姓}燎疗聊辽撩{撩起来}寥[8]猎略掠□{水～：夸}"
"tʃ"	"[1]焦蕉椒朝{明～}昭招沼骄娇浇绢捐专砖矫[5]照叫[7]着{穿：～衣裳}□{砍}"
"tʃʰ"	"[1]繰超铲[7]雀鹊"
"dʒ"	"[2]朝{～代}潮乔侨桥荞椽[4]赵兆[6]召轿[8]着{时态助词}"
"ʃ"	"[1]悄消宵霄硝销烧嚣箫萧梢捎稍[3]小少晓[5]笑鞘[7]削闪{～龙：闪电}"
"ɲ"	"[2]浓[6]绕{～线，～脚}"
"ˀ"	"[1]妖邀腰吆{～喝}[3]扰绕{围～}舀[5]要"
"j"	"[2]摇谣窑[6]韶{～关}绍邵姚[8]勺芍噍{牛倒～}嚼"
"#aŋ"	""
"p"	"[1]奔錛[3]本畚[5]粪"
